date,open,high,low,close,volume
2021-07-21,81.82,82.805,81.82,82.59,30596
2021-07-22,82.42,82.45,81.17,81.66,41670
2021-07-23,82.08,82.18,81.18,81.78,38197
2021-07-26,81.52,82.48,81.29,82.08,62483
2021-07-27,81.195,82.55,80.95,82.02,80283
2021-07-28,82.42,83.66,81.905,83.265,78898
2021-07-29,84.23,85.52,82.64,85.02,157601
2021-07-30,84.96,85.01,83.54,84.88,35042
2021-08-02,85.56,87.31,83.42,83.6,41411
2021-08-03,83.43,85.82,83.07,85.49,46153
2021-08-04,84.95,86.1,84.79,84.82,33356
2021-08-05,86.05,86.52,85.48,86.1,75246
2021-08-06,86.49,86.78,85.76,86.085,92387
2021-08-09,85.54,87.0,85.51,86.725,55010
2021-08-10,86.68,88.025,86.245,87.75,61663
2021-08-11,87.63,89.53,87.61,89.51,40173
2021-08-12,89.345,89.345,88.11,89.0,20800
2021-08-13,88.865,88.99,88.09,88.94,18046
2021-08-16,88.22,89.5,87.97,88.955,41079
2021-08-17,88.32,89.08,87.47,88.46,33251
2021-08-18,87.72,88.765,87.63,87.86,30936
2021-08-19,87.19,88.225,85.38,85.38,67697
2021-08-20,85.505,86.19,85.16,85.69,111263
2021-08-23,86.54,87.66,86.37,87.43,211352
2021-08-24,87.925,88.405,87.045,87.14,344427
2021-08-25,87.21,87.885,87.11,87.64,343493
2021-08-26,87.92,88.68,87.29,88.12,159805
2021-08-27,89.13,90.58,89.02,90.11,37890
2021-08-30,90.3,90.43,89.59,89.61,67003
2021-08-31,89.725,89.915,88.84,89.875,48718
2021-09-01,89.925,89.985,88.03,88.69,50470
2021-09-02,89.135,90.88,89.135,90.6,48980
2021-09-03,91.05,91.05,89.96,90.18,18018
2021-09-07,90.02,90.22,88.25,88.635,57995
2021-09-08,88.5,89.18,87.61,89.18,33117
2021-09-09,89.14,90.06,88.88,89.31,43741
2021-09-10,90.24,90.24,89.07,89.26,51418
2021-09-13,90.115,90.74,89.575,90.35,130462
2021-09-14,90.89,90.89,89.05,89.4,49981
2021-09-15,89.47,90.89,89.47,90.59,38542
2021-09-16,90.69,90.785,88.65,88.65,50441
2021-09-17,88.13,88.13,86.95,87.46,57190
2021-09-20,85.5,86.55,84.59,86.38,51742
2021-09-21,86.86,86.86,85.095,85.8,40577
2021-09-22,86.39,87.88,86.39,86.83,21052
2021-09-23,88.32,89.96,88.32,89.38,45183
2021-09-24,89.14,89.67,88.89,89.44,16744
2021-09-27,89.71,90.82,89.47,90.095,35052
2021-09-28,89.99,90.325,88.455,88.475,62569
2021-09-29,88.85,88.85,87.58,88.08,58666
2021-09-30,88.06,88.31,86.03,86.29,44369
2021-10-01,87.07,89.07,86.81,88.5,32137
2021-10-04,88.395,89.53,88.12,88.97,47475
2021-10-05,88.92,90.385,88.51,89.53,37044
2021-10-06,88.32,89.15,87.12,88.9,84453
2021-10-07,90.0,90.68,89.565,90.34,41509
2021-10-08,90.22,90.38,89.585,89.67,19403
2021-10-11,89.79,90.365,89.26,89.34,36755
2021-10-12,89.315,90.05,89.2,89.91,30691
2021-10-13,90.05,90.12,88.87,89.49,18088
2021-10-14,90.1,91.46,90.0,91.08,46435
2021-10-15,91.72,92.365,91.45,92.01,22732
2021-10-18,91.21,91.595,90.87,91.19,25859
2021-10-19,91.71,92.12,91.15,91.825,27989
2021-10-20,91.98,93.89,91.71,93.32,36815
2021-10-21,93.34,93.5,92.65,92.96,37439
2021-10-22,93.14,93.285,91.99,92.4,40687
2021-10-26,92.64,93.385,91.595,91.68,70809
2021-10-27,90.35,91.4,88.59,88.92,104462
2021-10-28,88.955,90.955,88.955,90.87,48408
2021-10-29,90.45,91.75,90.21,90.76,157428
2021-11-01,91.135,91.72,90.52,90.52,61270
2021-11-02,90.21,91.28,90.21,91.16,31911
2021-11-03,90.99,93.26,90.99,92.55,60646
2021-11-04,92.78,93.05,91.66,91.98,21556
2021-11-05,93.21,94.71,93.005,94.2,77579
2021-11-08,96.41,97.595,96.41,97.11,111871
2021-11-09,97.04,97.13,95.7,96.515,48624
2021-11-10,96.56,97.65,96.07,96.39,91059
2021-11-11,96.82,97.42,96.395,97.06,49011
2021-11-12,97.39,97.39,96.29,97.11,27315
2021-11-15,97.15,97.185,95.66,95.89,27059
2021-11-16,95.91,96.77,95.68,95.68,43299
2021-11-17,95.27,95.515,94.32,95.12,16997
2021-11-18,95.34,95.34,94.02,94.55,68414
2021-11-19,94.05,95.7,93.84,95.34,51840
2021-11-22,95.49,97.09,95.49,95.95,68797
2021-11-23,95.66,96.415,95.215,96.06,50485
2021-11-24,95.635,96.59,95.62,96.16,28368
2021-11-26,92.705,94.035,90.3,93.06,35221
2021-11-29,93.87,93.87,91.41,92.47,37556
2021-11-30,91.83,91.83,88.4,88.76,84666
2021-12-01,90.72,91.17,87.1,87.1,55796
2021-12-02,87.62,90.78,87.62,90.49,35174
2021-12-03,90.67,90.67,87.96,88.41,39483
2021-12-06,89.41,90.56,88.93,89.67,48151
2021-12-07,91.23,92.02,91.15,91.535,30383
2021-12-08,91.645,92.07,91.065,91.33,33709
2021-12-09,90.72,92.565,90.36,91.56,89316
2021-12-10,91.885,91.995,90.415,90.98,72327
2021-12-13,90.9,91.41,89.0,89.5,22553
2021-12-14,89.325,90.06,88.22,88.8,35957
2021-12-15,89.185,89.285,87.81,89.04,35113
2021-12-16,89.72,90.21,88.99,89.42,21819
2021-12-17,88.86,89.96,87.39,88.98,58931
2021-12-20,87.17,87.36,85.22,86.81,47891
2021-12-21,88.18,89.38,88.18,89.24,47234
2021-12-22,89.34,89.74,89.02,89.72,35595
2021-12-23,90.53,90.92,89.86,89.86,49023
2021-12-27,89.37,91.04,89.37,91.02,21148
2021-12-28,90.875,91.53,90.875,91.2,25414
2021-12-29,91.625,92.19,91.525,91.94,22153
2021-12-30,92.24,92.75,91.67,91.695,18987
2021-12-31,91.8,92.61,91.475,92.1,23599
2022-01-03,93.27,93.63,92.29,92.29,32886
2022-01-04,93.83,98.095,93.83,97.685,79846
2022-01-05,98.315,98.98,96.51,96.51,40384
2022-01-06,96.435,97.2,95.68,96.42,61631
2022-01-07,95.815,95.885,94.57,95.08,86911
2022-01-10,95.28,95.28,93.165,94.41,38261
2022-01-11,94.07,94.08,92.01,92.35,76699
2022-01-12,92.705,93.16,91.56,91.89,57271
2022-01-13,92.165,93.92,92.165,93.49,81348
2022-01-14,93.24,95.765,93.24,95.75,62134
2022-01-18,95.68,95.68,92.62,93.14,29559
2022-01-19,93.26,93.26,90.96,91.925,76034
2022-01-20,92.69,94.25,91.66,91.86,78029
2022-01-21,90.8,92.02,89.555,90.4,40729
2022-01-24,88.11,89.07,86.46,88.67,15841
2022-01-25,88.4,89.84,87.06,89.12,53723
2022-01-26,89.72,91.81,89.64,89.93,38680
2022-01-27,90.41,91.195,86.63,87.31,44430
2022-01-28,85.53,87.86,84.85,87.84,45445
2022-01-31,87.36,88.99,86.7,88.83,39846
2022-02-01,89.81,90.12,88.415,89.84,48931
2022-02-02,89.77,91.225,88.83,90.73,27561
2022-02-03,90.09,90.65,88.73,88.91,42389
2022-02-04,88.72,88.95,87.135,87.98,46698
2022-02-07,87.875,89.57,87.015,88.51,93029
2022-02-08,89.08,90.63,88.8,90.3,51541
2022-02-09,91.9,93.175,91.75,92.64,77807
2022-02-10,91.01,92.35,89.31,89.88,88424
2022-02-11,89.94,90.695,87.2,87.81,90559
2022-02-14,88.17,88.285,86.575,87.51,71619
2022-02-15,88.815,90.29,88.42,89.83,77817
2022-02-16,91.77,95.87,91.77,95.49,172499
2022-02-17,94.705,96.3,93.21,96.0,123605
2022-02-18,96.355,97.74,95.7,96.87,144625
2022-02-22,96.49,97.39,94.3,94.67,201673
2022-02-23,95.26,95.26,91.19,91.44,96201
2022-02-24,89.42,93.23,88.97,93.02,100901
2022-02-25,93.92,94.67,92.96,94.34,115453
2022-02-28,93.5,94.085,91.53,92.86,128471
2022-03-01,92.29,92.29,86.86,88.78,121679
2022-03-02,89.83,93.82,89.31,93.13,73630
2022-03-03,92.99,93.7,91.65,93.06,49709
2022-03-04,91.83,91.97,89.45,91.52,58569
2022-03-07,90.995,91.58,89.81,89.81,86394
2022-03-09,94.56,94.85,92.545,92.91,119946
2022-03-10,90.87,91.01,87.03,89.03,107925
2022-03-11,90.05,90.38,88.96,89.0,59462
2022-03-14,89.01,90.2,88.52,89.06,56723
2022-03-15,89.71,90.01,89.01,89.62,40137
2022-03-16,90.6,93.66,90.6,93.65,97441
2022-03-17,93.35,94.23,92.655,94.23,48380
2022-03-18,93.95,96.38,93.8,96.12,226122
2022-03-21,96.87,98.26,96.305,96.55,137464
2022-03-22,96.7,97.99,95.4,95.69,59243
2022-03-23,95.44,96.575,95.22,95.78,48427
2022-03-24,95.87,96.97,95.74,96.94,83631
