date,open,high,low,close,volume
2021-07-21,93.64,93.83,92.08,92.08,34117
2021-07-22,92.3,92.73,92.01,92.46,20457
2021-07-23,92.74,94.07,92.74,94.045,14216
2021-07-26,93.91,94.52,93.21,94.17,29075
2021-07-27,94.17,96.66,93.88,96.49,44738
2021-07-28,95.82,96.07,93.86,94.445,48645
2021-07-29,94.54,94.84,93.91,94.54,47807
2021-07-30,95.065,95.31,93.98,94.105,67773
2021-08-02,94.38,95.17,93.99,94.72,69926
2021-08-03,95.0,97.01,94.94,95.59,79210
2021-08-04,95.01,95.9,94.15,95.9,39467
2021-08-05,95.64,96.52,95.21,96.52,23864
2021-08-06,96.24,96.9,95.79,96.25,45816
2021-08-09,96.34,96.43,95.61,96.4,12280
2021-08-10,96.06,96.25,95.72,96.145,16357
2021-08-11,96.3,97.01,96.27,96.4,16726
2021-08-12,95.735,96.36,95.59,95.59,14746
2021-08-13,95.68,96.45,95.68,96.16,12797
2021-08-16,96.265,97.37,96.13,97.185,34088
2021-08-17,97.17,97.72,96.51,97.34,26772
2021-08-18,97.07,97.3,95.84,96.45,29704
2021-08-19,96.96,97.715,96.55,96.97,52581
2021-08-20,96.31,98.04,96.31,97.54,36069
2021-08-23,97.305,97.5,95.7,95.77,29339
2021-08-24,95.65,95.65,94.095,94.45,31139
2021-08-25,94.21,94.9,93.97,94.62,20987
2021-08-26,94.41,94.77,94.04,94.34,23483
2021-08-27,94.38,94.6,94.06,94.43,15446
2021-08-30,94.53,95.2,94.53,95.01,19212
2021-08-31,94.86,95.37,94.065,94.45,25253
2021-09-01,94.83,96.225,94.765,95.91,41666
2021-09-02,96.21,96.795,96.095,96.795,82632
2021-09-03,96.6,96.93,96.05,96.05,24376
2021-09-07,96.16,96.16,94.04,94.07,36429
2021-09-08,94.11,96.545,94.11,96.42,27076
2021-09-09,96.34,96.405,95.63,95.95,42617
2021-09-10,95.42,95.69,94.68,94.86,30174
2021-09-13,95.28,95.53,93.605,93.65,38743
2021-09-14,93.69,94.33,93.305,93.39,28201
2021-09-15,93.265,93.57,91.67,92.01,66467
2021-09-16,92.55,92.55,91.17,91.54,27482
2021-09-17,91.13,91.67,90.72,90.73,41638
2021-09-20,90.835,91.82,90.21,90.99,26291
2021-09-21,91.11,92.01,91.11,91.395,44314
2021-09-22,91.13,91.79,90.78,91.225,44961
2021-09-23,90.88,91.77,90.05,90.25,39802
2021-09-24,90.47,91.22,89.95,90.0,42222
2021-09-27,90.2,90.79,88.245,88.315,31202
2021-09-28,88.3,88.41,86.98,87.745,47556
2021-09-29,87.86,89.55,87.86,89.0,28029
2021-09-30,88.76,89.08,87.9,88.17,38998
2021-10-01,88.35,88.58,87.5,87.56,25417
2021-10-04,88.36,89.7,87.72,89.42,53270
2021-10-05,89.05,89.33,88.465,88.88,85679
2021-10-06,88.52,90.61,88.52,90.58,18775
2021-10-07,90.87,91.4,89.55,89.73,22317
2021-10-08,89.25,89.62,88.68,88.84,30250
2021-10-11,88.56,88.7,87.19,87.37,49259
2021-10-12,87.225,87.92,87.225,87.85,54806
2021-10-13,87.885,89.01,87.18,89.0,59436
2021-10-14,89.42,90.39,89.42,89.93,66903
2021-10-15,89.83,90.54,89.5,90.08,53765
2021-10-18,88.98,89.65,88.775,88.85,26474
2021-10-19,89.91,89.91,89.185,89.85,40851
2021-10-20,90.48,91.695,90.47,91.09,24993
2021-10-21,91.045,91.56,90.985,91.22,16045
2021-10-22,91.54,91.97,91.28,91.66,18468
2021-10-26,90.5,91.6,90.17,90.73,26421
2021-10-27,91.31,91.31,89.84,89.99,50496
2021-10-28,90.06,90.53,89.59,90.53,46073
2021-10-29,90.275,91.29,89.655,90.07,62536
2021-11-01,89.81,90.48,89.32,90.35,34205
2021-11-02,90.64,91.48,90.45,90.91,43937
