date,open,high,low,close,volume
2021-07-21,88.18,89.42,87.8,87.98,74972
2021-07-22,87.26,87.36,86.73,87.3,41980
2021-07-23,88.185,88.185,87.12,87.71,40073
2021-07-26,87.97,88.17,86.28,87.59,98864
2021-07-27,86.84,88.57,86.785,88.22,98186
2021-07-28,88.12,88.37,86.95,87.41,34412
2021-07-29,87.44,88.58,87.44,87.68,45140
2021-07-30,88.98,89.385,86.81,86.84,282485
2021-08-02,87.95,89.14,86.185,86.28,58779
2021-08-03,87.0,87.21,86.13,87.12,66527
2021-08-04,86.83,87.03,84.96,85.13,93820
2021-08-05,85.8,86.59,85.4,86.59,115070
2021-08-06,87.16,87.31,84.905,85.23,64823
2021-08-09,84.93,85.65,84.71,85.6,143459
2021-08-10,85.41,85.88,84.95,85.03,85132
2021-08-11,84.76,84.85,83.84,83.96,125467
2021-08-12,84.035,84.09,83.3,83.73,67211
2021-08-13,83.79,85.155,83.79,85.11,84846
2021-08-16,84.92,85.79,84.53,85.25,64923
2021-08-17,84.65,85.8,84.33,85.59,52781
2021-08-18,85.08,85.365,84.155,84.29,67956
2021-08-19,84.0,84.86,83.06,84.12,96239
2021-08-20,83.12,84.72,82.67,84.24,62904
2021-08-23,84.455,84.93,83.495,84.18,65802
2021-08-24,84.18,84.63,83.44,84.505,54909
2021-08-25,84.33,85.715,84.33,84.93,49437
2021-08-26,85.305,85.71,84.49,84.66,46336
2021-08-27,85.27,86.5,85.01,85.61,42776
2021-08-30,85.13,85.98,85.13,85.8,59727
2021-08-31,85.62,87.66,85.62,87.57,88920
2021-09-01,87.92,88.97,87.26,88.17,116273
2021-09-02,88.37,88.5,86.94,87.77,98567
2021-09-03,87.08,87.14,85.73,86.75,63964
2021-09-07,86.53,86.53,84.345,85.09,121771
2021-09-08,84.76,86.48,84.76,86.01,42353
2021-09-09,85.35,87.645,85.35,86.135,79160
2021-09-10,85.92,87.625,85.43,86.7,81420
2021-09-13,87.51,88.775,87.21,88.2,107658
2021-09-14,88.35,88.54,86.55,87.53,62269
2021-09-15,87.02,87.535,86.73,86.89,55792
2021-09-16,87.005,88.06,86.42,87.8,38541
2021-09-17,87.105,87.21,85.6,85.8,49813
2021-09-20,85.23,86.72,84.64,85.845,37557
2021-09-21,86.41,87.63,85.92,85.92,69331
2021-09-22,86.55,86.55,85.29,85.44,37584
2021-09-23,85.605,86.81,85.57,85.79,53802
2021-09-24,85.255,85.49,82.62,83.35,88499
2021-09-27,83.54,85.04,82.81,82.815,39373
2021-09-28,82.08,83.485,81.745,83.13,79981
2021-09-29,83.285,84.21,83.285,83.77,66764
2021-09-30,83.945,84.085,82.24,82.42,99142
2021-10-01,82.78,84.24,82.55,83.81,21670
2021-10-04,83.605,84.43,83.21,83.74,70699
2021-10-05,83.54,83.54,81.73,81.73,64005
2021-10-06,81.21,83.4,80.02,83.215,65008
2021-10-07,83.36,84.3,82.72,82.93,39092
