date,open,high,low,close,volume
2021-07-21,370.96,370.96,362.51,367.8,19929
2021-07-22,370.745,374.91,368.38,374.245,22957
2021-07-23,376.51,381.34,374.65,381.18,17132
2021-07-26,376.995,377.185,373.83,377.185,13613
2021-07-27,376.715,379.27,374.885,378.345,9982
2021-07-28,378.46,385.255,377.85,383.66,36724
2021-07-29,389.82,406.76,389.82,405.27,55277
2021-07-30,406.605,412.8,403.65,411.43,21133
2021-08-02,412.72,416.395,404.975,415.47,21092
2021-08-03,415.93,422.56,415.375,421.98,20698
2021-08-04,421.895,429.9,420.09,428.64,21022
2021-08-05,428.14,429.92,420.55,425.35,14596
2021-08-06,419.98,428.7,419.98,427.91,16624
2021-08-09,427.925,429.75,426.505,429.21,19885
2021-08-10,429.725,429.725,425.13,425.13,7684
2021-08-11,422.82,424.24,420.7,422.61,8884
2021-08-12,421.98,430.21,421.705,429.08,12903
2021-08-13,429.41,434.5,428.7,434.285,22966
2021-08-16,435.59,441.94,434.78,441.72,12404
2021-08-17,440.235,443.55,437.28,441.81,19242
2021-08-18,440.89,445.135,440.89,442.23,9304
2021-08-19,443.83,449.71,443.83,446.915,17073
2021-08-20,445.93,450.24,444.55,449.8,21806
2021-08-23,446.04,448.99,446.04,447.03,9506
2021-08-24,447.785,447.785,443.625,445.89,20240
2021-08-25,445.94,445.955,440.755,444.5,23129
2021-08-26,444.465,447.7,443.085,446.26,20941
2021-08-27,446.36,449.28,444.47,446.92,19571
2021-08-30,448.855,452.44,448.17,451.51,36611
2021-08-31,452.73,456.64,448.33,451.67,23018
2021-09-01,447.405,454.42,442.43,452.62,31765
2021-09-02,455.75,459.645,455.38,458.97,17505
2021-09-03,458.1,465.04,457.65,464.38,7751
2021-09-07,462.01,462.99,457.59,462.255,9920
2021-09-08,460.2,470.355,460.01,468.81,14866
2021-09-09,470.97,474.34,461.21,461.21,23373
2021-09-10,464.92,464.92,459.27,459.27,9339
2021-09-13,462.08,462.08,437.79,442.49,31292
2021-09-14,445.63,454.39,444.225,452.02,14895
2021-09-15,451.83,458.47,451.83,452.815,14497
2021-09-16,453.4,455.74,448.43,454.46,11334
2021-09-17,449.385,454.65,447.64,448.47,21281
2021-09-20,448.83,449.27,441.45,444.95,16302
2021-09-21,445.99,451.0,445.99,448.83,10512
2021-09-22,448.0,450.055,440.13,449.58,16664
2021-09-23,451.535,459.62,451.535,454.99,9902
2021-09-24,455.64,458.58,454.45,458.0,9068
2021-09-27,447.165,447.17,441.82,442.12,22391
2021-09-28,436.0,436.0,421.68,427.4,20413
2021-09-29,430.39,435.14,426.18,432.58,15179
2021-09-30,437.47,439.25,424.36,424.36,19646
2021-10-01,424.17,424.17,407.2,419.245,34372
2021-10-04,417.24,417.24,406.17,409.73,35981
2021-10-05,413.58,419.85,413.49,413.49,15763
2021-10-06,411.545,413.52,405.87,413.32,12791
2021-10-07,418.04,422.77,415.95,417.515,17821
2021-10-08,418.14,418.14,406.99,407.07,14567
2021-10-11,402.92,411.78,402.92,403.27,10083
2021-10-12,405.495,407.735,402.99,403.175,12308
2021-10-13,408.06,409.42,399.39,401.61,20069
2021-10-14,406.9,409.09,405.12,407.44,22559
2021-10-15,406.52,407.475,404.06,404.78,7710
2021-10-18,403.34,408.635,403.3,408.635,18083
2021-10-19,415.73,422.85,415.33,417.83,17339
2021-10-20,422.85,422.85,413.345,414.04,14919
2021-10-21,415.0,422.33,413.755,422.33,9052
2021-10-22,422.9,424.355,419.675,421.03,19706
2021-10-26,419.995,424.875,417.855,420.81,17310
2021-10-27,417.85,424.96,417.85,422.19,15009
2021-10-28,419.39,424.05,406.37,419.94,50456
2021-10-29,421.0,431.45,421.0,429.82,24144
2021-11-01,429.34,429.34,419.81,426.74,46312
2021-11-02,424.07,439.005,422.68,438.13,27097
2021-11-03,438.22,438.22,430.16,437.97,52726
2021-11-04,436.07,436.07,426.025,432.745,51248
2021-11-05,429.945,429.945,401.33,403.91,102232
2021-11-08,404.69,413.36,400.145,412.96,25699
2021-11-09,416.54,416.54,409.4,413.83,21403
2021-11-10,411.535,412.41,406.23,409.31,49434
2021-11-11,412.11,416.855,408.935,416.23,20338
2021-11-12,420.2,420.2,413.315,419.455,12584
2021-11-15,417.995,422.73,417.94,422.4,19469
2021-11-16,423.66,442.31,423.66,442.29,32006
2021-11-17,443.69,449.13,440.06,444.83,20696
2021-11-18,447.635,450.26,444.665,449.44,33193
2021-11-19,453.65,454.87,446.21,448.35,30500
2021-11-22,450.95,451.21,437.525,437.765,29927
2021-11-23,431.38,435.01,423.5,430.79,18848
2021-11-24,427.17,434.0,426.245,433.53,11361
2021-11-26,448.84,455.15,438.64,439.68,14542
2021-11-29,437.435,454.95,437.435,447.88,27851
2021-11-30,447.81,457.99,439.58,442.99,31653
2021-12-01,443.205,444.79,427.47,435.71,16933
2021-12-02,436.03,442.07,433.74,436.2,34031
2021-12-03,444.7,445.24,428.83,434.5,22575
2021-12-06,433.26,433.26,419.87,423.87,22430
2021-12-07,429.87,435.57,427.2,429.55,19584
2021-12-08,431.725,435.735,427.05,435.63,17730
2021-12-09,436.24,437.85,429.29,429.53,22604
2021-12-10,428.735,434.14,428.18,431.5,11114
2021-12-13,435.08,442.035,433.25,441.21,12716
2021-12-14,435.62,437.17,424.07,428.39,36012
2021-12-15,434.615,445.205,429.96,443.59,25673
2021-12-16,445.89,452.53,441.83,444.88,28896
