date,open,high,low,close,volume
2021-07-21,107.845,109.91,107.35,109.51,84917
2021-07-22,108.07,109.08,106.2,107.52,185306
2021-07-23,107.615,107.615,103.4,103.47,156293
2021-07-26,102.64,104.46,100.81,104.17,209653
2021-07-27,101.05,102.65,98.45,100.33,185724
2021-07-28,101.4,103.0,99.86,102.135,135731
2021-07-29,102.84,102.84,99.63,99.77,130480
2021-07-30,98.89,101.01,97.92,98.35,114492
2021-08-02,98.655,101.74,98.17,98.42,134611
2021-08-03,97.88,97.88,93.4,95.04,221934
2021-08-04,94.095,95.45,90.295,91.05,303111
2021-08-05,92.53,98.86,92.255,98.79,207675
2021-08-06,99.61,100.48,97.89,98.89,106139
2021-08-09,96.17,97.03,93.63,96.09,128956
2021-08-10,96.395,97.84,96.395,97.45,64139
2021-08-11,97.11,98.02,96.29,97.88,96512
2021-08-12,97.88,97.9,95.95,97.2,52938
2021-08-13,96.55,96.79,95.19,95.5,51619
2021-08-16,94.35,94.4,92.56,93.65,70984
2021-08-17,92.27,92.47,90.34,91.91,110490
2021-08-18,92.145,93.73,91.28,92.3,76411
2021-08-19,90.25,90.93,87.55,88.685,149792
2021-08-20,88.62,89.065,87.84,88.31,83657
2021-08-23,90.44,92.97,89.83,92.94,107807
2021-08-24,96.16,100.33,96.16,99.43,244639
2021-08-25,99.2,101.81,98.46,100.83,83362
2021-08-26,100.025,102.91,99.05,99.65,94606
2021-08-27,99.73,101.79,99.73,101.02,78974
2021-08-30,101.75,101.81,99.74,99.9,133244
2021-08-31,100.385,102.5,100.22,101.71,70599
2021-09-01,102.41,103.04,100.61,100.94,91161
2021-09-02,101.16,102.785,100.36,101.98,75459
2021-09-03,101.91,102.61,99.3,100.34,90743
2021-09-07,100.42,106.52,100.37,105.915,198281
2021-09-08,106.16,107.36,102.5,104.635,97483
2021-09-09,104.515,105.86,103.3,103.91,124664
2021-09-10,104.48,104.48,101.1,101.53,62317
2021-09-13,102.0,104.2,99.76,103.47,88396
2021-09-14,95.43,95.48,89.3,92.26,851378
2021-09-15,85.69,86.47,82.61,86.44,855234
2021-09-16,84.09,85.22,82.82,84.365,417807
2021-09-17,84.32,84.9,82.9,83.265,402525
2021-09-20,80.385,83.985,79.96,82.11,234498
2021-09-21,82.6,83.46,78.58,78.77,186187
