date,open,high,low,close,volume
2021-07-21,122.24,122.76,121.75,122.51,16339
2021-07-22,122.36,122.52,121.66,122.02,34458
2021-07-23,123.3,123.47,122.34,123.31,19409
2021-07-26,123.83,124.085,122.98,124.085,33618
2021-07-27,122.845,124.71,122.8,123.96,22403
2021-07-28,123.49,124.11,122.08,122.955,39540
2021-07-29,123.97,125.26,123.93,125.08,17855
2021-07-30,125.11,126.01,124.545,125.86,23195
2021-08-02,126.905,127.8,125.47,125.72,54452
2021-08-03,124.05,128.59,122.41,127.84,89829
2021-08-04,127.055,127.44,125.965,126.64,91348
2021-08-05,127.56,128.24,126.76,127.5,31349
2021-08-06,128.4,128.83,127.92,128.82,53055
2021-08-09,128.95,129.34,127.985,128.47,20403
2021-08-10,128.665,130.43,128.31,129.41,41344
2021-08-11,129.5,130.28,129.5,130.22,16808
2021-08-12,130.585,131.16,129.97,131.13,15867
2021-08-13,131.35,131.96,130.92,131.52,20398
2021-08-16,131.28,132.91,130.955,132.91,22872
2021-08-17,132.0,132.38,130.54,131.74,32344
2021-08-18,130.89,131.595,130.16,130.28,32741
2021-08-19,129.63,130.45,129.08,130.2,30117
2021-08-20,130.26,131.66,130.15,131.595,23143
2021-08-23,132.815,132.895,131.82,132.37,21757
2021-08-24,132.66,134.03,132.66,133.96,30299
2021-08-25,133.99,135.445,133.625,135.13,18033
2021-08-26,134.795,134.945,133.43,134.26,31284
2021-08-27,135.03,136.185,134.8,134.92,27559
2021-08-30,135.58,137.135,135.58,136.44,23790
2021-08-31,136.34,137.16,136.15,136.28,26889
2021-09-01,136.26,136.955,134.915,136.56,28003
2021-09-02,137.53,138.74,137.25,137.96,42943
2021-09-03,137.86,138.09,136.98,137.32,21050
2021-09-07,136.21,136.71,135.18,135.72,35478
2021-09-08,135.72,135.74,134.46,135.09,67512
2021-09-09,135.18,135.545,133.39,133.91,53888
2021-09-10,134.565,135.655,133.96,134.39,23479
2021-09-13,135.76,135.76,131.8,132.66,23535
2021-09-14,132.67,133.42,132.11,132.51,14350
2021-09-15,131.98,134.72,131.98,134.15,34956
2021-09-16,134.31,134.47,132.09,132.85,23001
2021-09-17,132.42,132.7,130.93,131.62,27952
2021-09-20,129.15,131.08,128.41,131.08,36813
2021-09-21,131.76,131.92,129.92,130.98,29618
2021-09-22,132.5,133.97,132.5,133.08,22671
2021-09-23,135.14,136.02,134.56,135.14,13609
2021-09-24,134.775,135.97,134.775,135.6,14369
2021-09-27,135.85,136.06,134.25,134.35,14876
2021-09-28,133.2,133.26,128.78,128.87,62619
2021-09-29,129.15,129.15,127.42,127.78,53412
2021-09-30,128.395,128.42,123.785,123.785,45176
2021-10-01,122.405,122.81,119.82,121.33,74625
2021-10-04,121.37,122.33,118.065,119.34,44072
2021-10-05,119.185,122.88,119.185,122.48,40765
2021-10-06,121.53,122.38,119.58,122.2,19578
2021-10-07,123.42,123.93,122.07,122.27,33144
2021-10-08,122.215,122.215,120.56,121.43,38892
2021-10-11,121.17,121.17,118.83,118.83,24093
2021-10-12,119.03,119.605,118.38,118.76,39090
2021-10-13,119.325,120.595,118.33,119.93,27125
2021-10-14,121.84,123.4,121.64,123.4,47592
