date,open,high,low,close,volume
2021-07-21,38.25,38.8,38.25,38.49,32175
2021-07-22,38.27,38.35,37.955,38.13,47009
2021-07-23,38.43,38.6,38.265,38.52,50936
2021-07-26,38.77,38.88,38.4,38.72,35012
2021-07-27,38.735,38.82,38.34,38.54,57625
2021-07-28,38.74,38.74,37.81,38.035,271008
2021-07-29,38.37,38.75,37.75,38.5,141208
2021-07-30,38.64,39.445,38.64,38.99,87235
2021-08-02,39.17,39.625,39.105,39.21,138741
2021-08-03,39.49,39.56,38.59,39.31,86503
2021-08-04,39.23,40.005,39.23,39.42,55155
2021-08-05,39.45,40.0,39.4,39.995,37700
2021-08-06,40.55,40.635,40.39,40.545,20145
2021-08-09,40.47,40.755,40.235,40.525,82681
2021-08-10,40.57,41.15,40.57,40.795,32657
2021-08-11,40.77,41.665,40.74,41.53,60729
2021-08-12,41.405,41.875,41.405,41.665,72174
2021-08-13,41.85,41.85,41.635,41.785,68390
2021-08-16,41.4,41.95,41.4,41.81,48010
2021-08-17,41.89,42.33,41.68,41.905,31271
2021-08-18,41.82,42.17,41.645,41.645,48937
2021-08-19,41.27,41.87,41.27,41.66,23568
2021-08-20,41.53,42.13,41.41,42.1,44030
2021-08-23,42.05,42.35,41.99,42.025,20336
2021-08-24,42.125,42.52,42.035,42.04,37342
2021-08-25,41.97,42.29,41.97,42.07,32021
2021-08-26,42.06,42.06,41.37,41.38,26654
2021-08-27,41.81,41.955,41.48,41.735,75813
2021-08-30,41.835,41.91,41.19,41.26,48598
2021-08-31,41.17,41.485,40.94,41.075,85834
2021-09-01,41.125,41.125,40.465,40.47,29267
2021-09-02,40.36,40.36,39.45,39.61,67115
2021-09-03,39.56,39.68,39.115,39.44,53912
2021-09-07,39.03,39.375,38.75,39.0,98834
2021-09-08,38.94,40.02,38.86,39.97,80821
2021-09-09,40.1,40.42,39.47,39.48,244091
2021-09-10,39.75,39.89,38.91,38.95,39456
2021-09-13,39.255,40.025,39.22,39.87,47153
2021-09-14,39.93,40.195,39.165,39.25,40390
2021-09-15,39.24,39.6,38.83,39.3,68308
2021-09-16,39.41,39.57,39.145,39.17,34836
2021-09-17,39.16,39.33,39.0,39.31,51825
2021-09-20,38.745,38.96,38.39,38.875,45359
2021-09-21,39.03,39.155,38.675,38.73,26280
2021-09-22,39.13,39.22,38.96,39.02,53928
2021-09-23,39.32,39.52,38.97,38.99,49005
2021-09-24,39.0,39.27,38.85,39.17,149553
2021-09-27,39.585,39.66,39.34,39.34,114234
2021-09-28,39.22,39.57,38.33,38.39,74158
2021-09-29,38.315,39.07,38.315,38.855,68928
2021-09-30,38.98,39.06,38.16,38.16,178353
2021-10-01,38.255,38.41,37.91,38.165,141103
2021-10-04,37.59,38.69,37.59,38.21,249972
2021-10-05,38.105,39.82,38.105,39.59,48581
2021-10-06,39.64,40.0,39.36,40.0,37571
2021-10-07,40.25,40.88,40.12,40.72,46105
2021-10-08,40.825,41.295,40.51,40.965,41456
2021-10-11,41.08,41.165,40.165,40.17,57983
2021-10-12,40.82,41.395,40.755,40.86,100676
2021-10-13,40.58,41.87,40.04,41.83,70875
2021-10-14,42.085,42.935,41.9,42.805,86918
2021-10-15,42.94,42.99,42.31,42.465,42067
2021-10-18,41.785,42.465,41.785,42.35,33557
2021-10-19,42.595,42.61,41.9,42.06,45716
2021-10-20,42.26,42.945,42.21,42.625,33098
2021-10-21,42.625,42.92,42.48,42.895,50163
2021-10-22,43.0,43.385,42.97,43.215,51102
2021-10-25,42.98,43.465,42.71,43.345,40497
2021-10-26,43.26,43.5,43.14,43.14,43976
2021-10-27,43.51,43.555,42.375,42.375,37616
2021-10-28,42.94,42.97,41.645,42.04,84762
2021-10-29,42.3,42.38,41.79,41.81,99510
2021-11-01,41.93,42.635,41.9,42.54,51674
2021-11-02,42.455,43.305,42.425,43.17,49147
2021-11-03,43.06,43.56,43.06,43.245,98592
2021-11-04,42.97,43.01,41.995,42.19,111645
2021-11-05,42.29,43.435,42.29,43.37,79379
2021-11-08,43.46,43.55,42.6,42.6,30674
2021-11-09,42.22,42.55,41.92,42.01,68359
2021-11-10,42.42,42.52,41.7,41.795,83333
2021-11-11,41.76,41.79,41.19,41.465,199712
2021-11-12,41.44,42.375,40.96,41.995,131346
2021-11-15,42.38,42.905,42.205,42.36,49192
2021-11-16,42.83,43.33,42.56,42.69,56461
2021-11-17,42.58,42.58,41.99,42.16,27520
2021-11-18,42.08,42.21,41.63,41.68,100087
2021-11-19,41.865,42.16,41.25,42.06,77223
2021-11-22,42.315,43.49,42.07,43.12,59755
2021-11-23,43.39,43.83,43.39,43.73,144062
2021-11-24,43.71,43.885,43.52,43.79,50192
2021-11-26,42.6,42.6,41.78,41.89,31881
2021-11-29,41.99,42.13,41.72,41.72,30843
2021-11-30,41.375,41.59,40.24,40.37,84483
2021-12-01,41.26,42.08,40.72,40.72,62730
2021-12-02,41.36,42.53,40.97,42.28,80252
2021-12-03,42.46,42.85,41.98,42.27,67869
2021-12-06,42.97,43.53,42.94,43.13,49871
2021-12-07,43.45,43.69,43.24,43.38,51054
2021-12-08,43.44,43.64,43.3,43.37,56854
2021-12-09,43.3,43.82,43.3,43.465,16714
2021-12-10,43.47,43.79,43.265,43.43,31436
2021-12-13,43.36,43.845,43.07,43.37,70869
2021-12-14,43.73,43.88,43.25,43.75,42905
2021-12-15,43.565,44.15,43.28,43.94,71239
2021-12-16,44.375,44.49,43.995,44.12,83230
2021-12-17,44.04,44.04,42.98,43.19,87904
2021-12-20,42.69,42.8,41.94,42.45,62020
2021-12-21,42.865,43.525,42.785,42.94,60825
2021-12-22,43.07,43.38,42.96,43.3,42298
2021-12-23,43.5,43.73,43.475,43.475,19877
2021-12-27,43.28,43.915,43.14,43.91,21495
2021-12-28,44.06,44.39,44.06,44.26,26301
2021-12-29,44.31,44.78,44.25,44.63,21667
2021-12-30,44.84,44.84,44.3,44.33,17058
2021-12-31,44.44,44.68,44.405,44.46,12306
2022-01-03,44.285,44.675,44.085,44.54,50263
2022-01-04,45.36,45.51,45.02,45.12,54091
2022-01-05,45.47,45.52,44.49,44.6,42156
2022-01-06,45.16,45.16,44.77,44.855,68304
2022-01-07,45.01,45.17,44.81,45.06,71920
2022-01-10,45.33,46.04,45.05,46.03,216256
2022-01-11,46.07,46.405,45.59,46.37,36965
2022-01-12,46.59,46.66,46.205,46.44,36436
2022-01-13,46.795,47.535,46.63,46.73,48723
2022-01-14,47.135,47.485,46.12,47.39,75981
2022-01-18,47.57,47.57,46.52,46.605,91381
2022-01-19,46.66,46.79,45.91,45.91,58552
2022-01-20,46.07,46.7,45.59,45.61,89953
2022-01-21,45.6,45.77,45.05,45.18,62363
2022-01-24,44.95,45.755,43.84,45.7,100772
2022-01-25,45.455,45.61,44.0,45.25,62733
2022-01-26,45.69,45.875,44.44,45.055,72802
2022-01-27,45.27,46.155,44.395,44.79,91293
2022-01-28,44.745,45.47,44.29,45.35,114102
2022-01-31,45.215,46.365,45.04,46.33,76501
2022-02-01,46.505,47.35,46.145,47.33,75486
2022-02-02,47.34,47.985,47.235,47.94,108958
2022-02-03,47.785,48.175,47.65,47.785,50155
2022-02-04,47.57,48.05,46.98,47.65,39381
2022-02-07,47.77,48.085,47.51,47.6,59939
2022-02-08,47.84,48.4,47.56,48.18,51719
2022-02-09,48.275,48.6,48.1,48.23,89548
2022-02-10,48.42,49.15,47.04,47.4,202876
2022-02-11,47.48,47.48,46.375,46.55,91055
2022-02-14,46.42,46.995,46.05,46.39,72655
2022-02-15,46.56,47.77,46.56,47.69,73543
2022-02-16,47.5,47.975,47.43,47.69,85682
2022-02-17,47.05,47.265,46.535,46.97,98865
2022-02-18,46.76,47.54,46.74,47.09,47648
2022-02-22,46.81,47.3,46.44,46.82,76879
2022-02-23,47.03,47.05,46.24,46.28,56427
2022-02-24,45.03,46.14,44.74,45.94,149340
2022-02-25,46.27,47.55,46.27,47.53,47456
2022-02-28,46.8,47.47,46.645,47.12,107757
2022-03-01,46.76,47.11,45.67,45.84,81393
2022-03-02,46.53,47.22,46.5,47.11,83368
2022-03-03,47.24,47.3,46.495,46.56,57668
2022-03-04,45.75,46.15,45.25,46.02,68672
2022-03-07,45.6,45.8,44.26,44.26,171245
2022-03-08,45.17,45.385,43.6,44.04,98248
2022-03-09,45.11,45.96,45.06,45.56,48457
2022-03-10,44.91,45.8,44.83,45.19,51583
2022-03-11,45.83,46.23,45.71,45.71,40568
2022-03-14,46.21,46.83,46.1,46.32,36301
2022-03-15,46.77,47.14,46.695,46.83,87986
2022-03-16,47.08,47.08,46.02,46.62,68467
2022-03-17,46.5,46.58,45.995,46.48,46136
2022-03-18,46.17,46.31,45.775,45.82,125065
2022-03-21,46.3,47.16,46.3,47.145,90427
2022-03-22,47.605,47.605,46.805,47.08,74555
2022-03-23,46.78,46.925,46.59,46.6,90563
2022-03-24,46.755,47.17,46.68,47.14,133736
2022-03-25,47.31,47.75,47.3,47.67,87480
2022-03-28,47.64,47.66,47.205,47.62,58669
2022-03-29,47.89,48.58,47.75,48.56,140325
2022-03-30,48.57,48.89,48.23,48.49,128700
2022-03-31,48.75,49.07,48.41,48.41,72145
2022-04-01,48.56,48.795,48.055,48.61,82292
2022-04-04,48.26,48.26,47.025,47.09,49503
2022-04-05,47.38,47.85,47.35,47.48,103608
2022-04-06,47.39,47.855,47.1,47.28,74488
2022-04-07,47.24,47.56,46.57,47.35,37169
2022-04-08,47.81,48.455,47.485,48.315,122967
2022-04-11,48.36,49.14,47.985,48.01,66113
2022-04-12,48.35,48.54,47.54,47.69,110080
2022-04-13,47.62,47.975,47.18,47.83,94490
2022-04-14,47.605,49.32,47.605,48.96,280958
2022-04-18,48.975,49.09,48.49,48.64,61909
2022-04-19,48.84,49.07,48.58,48.91,55456
2022-04-20,49.25,50.14,49.035,49.96,111619
2022-04-21,50.265,50.72,49.19,49.24,53711
2022-04-22,48.805,48.81,47.28,47.32,157066
2022-04-25,46.54,47.07,45.615,46.74,145094
2022-04-26,46.45,46.805,46.28,46.47,167868
2022-04-27,46.67,48.135,46.58,47.93,196128
2022-04-28,46.5,47.62,46.35,46.78,171089
2022-04-29,46.21,46.92,45.565,45.69,104800
2022-05-02,45.67,46.29,45.265,45.88,90478
2022-05-03,46.35,46.925,46.19,46.42,48834
2022-05-04,46.51,47.515,46.26,47.31,77590
2022-05-05,46.86,46.965,46.13,46.45,78447
2022-05-06,46.045,46.825,46.03,46.56,81136
2022-05-09,46.28,46.54,45.15,45.22,89532
2022-05-10,45.74,46.08,45.23,45.81,112433
2022-05-11,45.815,46.66,45.665,45.74,58449
2022-05-12,45.7,45.7,44.795,45.23,233609
2022-05-13,45.52,46.39,45.495,46.01,141308
2022-05-16,46.26,46.45,45.91,46.13,41489
2022-05-17,46.5,46.89,46.35,46.87,118654
2022-05-18,46.7,46.83,45.74,45.82,56828
2022-05-19,45.64,45.88,44.75,45.22,45314
2022-05-20,45.58,45.84,44.53,45.415,65328
2022-05-23,45.75,46.43,45.6,46.31,31990
2022-05-24,46.115,46.335,45.44,46.15,78104
2022-05-25,45.92,46.56,45.92,46.41,38752
2022-05-26,46.75,47.21,46.72,47.06,39597
2022-05-27,47.07,47.5,47.07,47.46,36703
2022-05-31,47.24,47.9,46.65,47.46,102333
2022-06-01,47.27,47.27,46.18,46.77,59651
2022-06-02,46.77,47.48,46.33,47.46,54026
2022-06-03,47.125,47.15,46.61,46.725,30279
2022-06-06,46.79,47.385,46.79,47.09,31083
2022-06-07,46.915,47.465,46.85,47.395,28877
2022-06-08,46.96,47.16,46.49,46.8,58174
2022-06-09,46.455,46.79,45.815,45.82,25503
2022-06-10,45.06,45.68,44.83,45.23,46439
2022-06-13,44.44,44.82,43.72,44.0,60091
2022-06-14,44.375,44.88,44.225,44.55,57654
2022-06-15,44.77,44.85,43.43,43.98,120334
2022-06-16,43.2,43.2,42.09,42.24,63734
2022-06-17,42.135,43.6,42.135,43.41,84745
2022-06-21,44.05,44.05,43.48,43.72,63865
