date,open,high,low,close,volume
2021-07-21,312.455,314.0,312.04,313.69,58071
2021-07-22,313.905,314.72,313.03,314.27,32849
2021-07-23,315.72,318.73,315.54,318.73,47105
2021-07-26,318.875,319.69,316.89,319.015,48202
2021-07-27,318.595,320.1,315.87,319.96,48401
2021-07-28,319.345,320.99,316.13,316.42,129126
2021-07-29,316.46,318.97,316.315,318.39,68127
2021-07-30,317.64,318.98,316.93,317.74,62642
2021-08-02,318.67,319.28,315.585,315.78,43534
2021-08-03,316.935,319.52,315.7,318.41,87305
2021-08-04,317.26,319.12,316.02,316.69,28375
2021-08-05,317.21,320.44,317.16,320.44,61906
2021-08-06,320.515,322.34,318.65,321.88,63067
2021-08-09,321.91,321.91,319.39,319.48,67298
2021-08-10,319.535,321.89,319.06,320.16,43211
2021-08-11,320.03,320.79,317.09,319.59,75926
2021-08-12,318.985,321.81,318.67,321.78,48485
2021-08-13,322.225,323.66,321.75,323.39,31587
2021-08-16,323.62,328.47,323.29,328.24,46990
2021-08-17,327.42,329.895,327.06,329.17,66967
2021-08-18,327.0,329.18,324.45,324.45,70349
2021-08-19,323.51,328.98,323.51,328.15,35848
2021-08-20,328.995,333.52,328.945,332.81,65587
2021-08-23,334.485,334.505,332.74,332.91,49344
2021-08-24,333.47,333.47,330.87,330.89,63486
2021-08-25,331.595,334.55,331.49,333.44,67466
2021-08-26,333.93,334.17,331.35,333.25,53020
2021-08-27,334.425,335.85,333.5,335.84,55039
2021-08-30,335.43,338.57,335.43,336.92,36762
2021-08-31,336.72,337.36,335.39,336.5,60447
2021-09-01,337.81,338.98,336.67,337.9,63723
2021-09-02,338.73,342.01,338.545,340.99,97294
2021-09-03,340.345,344.05,340.295,343.34,50332
2021-09-07,343.955,344.31,340.355,341.52,68943
2021-09-08,341.05,342.11,339.73,340.37,79526
2021-09-09,340.78,342.28,339.98,341.04,44169
2021-09-10,343.09,345.48,341.515,341.93,44088
2021-09-13,345.29,345.29,335.89,339.345,52299
2021-09-14,341.37,343.23,340.11,340.61,53053
2021-09-15,340.55,345.5,339.89,344.49,52293
2021-09-16,343.97,344.89,340.3,342.08,110943
2021-09-17,340.69,341.24,334.64,335.24,103770
2021-09-20,331.75,334.85,328.6,332.23,78608
2021-09-21,333.81,335.44,330.865,331.295,93794
2021-09-22,334.975,336.7,333.465,334.435,112558
2021-09-23,337.98,344.67,337.84,343.005,223306
2021-09-24,341.02,342.78,337.77,339.21,120864
2021-09-27,335.87,336.82,333.15,334.49,88977
2021-09-28,331.99,331.99,323.9,324.1,140447
2021-09-29,326.22,326.24,323.065,323.47,62611
2021-09-30,325.18,325.61,318.37,319.84,86761
2021-10-01,323.45,326.835,319.68,324.74,47283
2021-10-04,323.26,324.07,316.03,319.53,63062
2021-10-05,321.12,327.3,320.81,325.01,73331
2021-10-06,322.78,325.305,320.86,325.29,100782
2021-10-07,327.535,329.44,325.85,326.31,39710
2021-10-08,326.37,327.41,324.56,325.26,39620
2021-10-11,325.03,328.45,324.71,326.42,51514
2021-10-12,328.015,329.305,327.32,327.6,84113
2021-10-13,328.18,331.5,325.94,330.315,104184
2021-10-14,334.3,339.27,333.21,339.095,53022
2021-10-15,341.37,341.88,339.67,341.88,120731
2021-10-18,341.28,344.13,340.73,343.18,50340
2021-10-19,345.14,350.55,345.14,349.84,84909
2021-10-20,349.96,349.96,345.59,345.67,43718
2021-10-21,346.05,347.46,345.05,347.2,35418
2021-10-22,348.81,355.24,348.81,353.79,68917
2021-10-25,353.11,357.155,351.9,356.4,67205
2021-10-26,356.89,359.1,356.46,356.46,79819
2021-10-27,354.62,356.75,354.07,354.16,57089
2021-10-28,355.155,358.33,354.74,356.34,55932
2021-10-29,355.8,359.53,355.8,358.74,52742
2021-11-01,359.055,359.5,352.1,355.49,43268
2021-11-02,356.875,363.185,356.875,361.49,97562
2021-11-03,360.68,362.5,354.665,362.03,63313
2021-11-04,362.87,366.855,362.01,366.835,81719
2021-11-05,368.535,371.98,366.96,368.44,69223
2021-11-08,370.24,370.24,366.395,366.95,53450
2021-11-09,367.12,367.78,364.77,367.39,53881
2021-11-10,365.93,367.185,362.81,364.87,51421
2021-11-11,366.35,367.12,364.29,366.07,59556
2021-11-12,366.74,371.53,366.74,371.36,58744
2021-11-15,370.52,372.05,368.185,368.375,106999
2021-11-16,370.31,373.01,370.13,371.19,77694
2021-11-17,371.635,374.79,369.71,373.06,66512
2021-11-18,372.11,372.38,369.385,370.75,72830
2021-11-19,371.99,374.675,369.67,369.67,113891
2021-11-22,371.0,372.62,363.1,363.25,93231
2021-11-23,362.2,363.57,357.29,360.73,101950
2021-11-24,359.48,362.9,359.43,362.35,59834
2021-11-26,360.66,361.73,352.835,353.79,55786
2021-11-29,359.68,369.4,359.68,365.775,83004
2021-11-30,362.81,364.86,357.29,357.44,145589
2021-12-01,363.08,369.51,360.285,360.285,153673
2021-12-02,360.545,368.85,360.545,365.3,118464
2021-12-03,369.25,370.5,357.43,361.42,158169
2021-12-06,362.23,365.32,358.47,362.155,132658
2021-12-07,369.22,372.92,366.68,371.37,73892
2021-12-08,370.28,374.83,370.28,374.65,112290
2021-12-09,372.43,373.84,370.845,371.45,83693
2021-12-10,374.275,379.83,373.81,379.385,68496
2021-12-13,379.47,381.09,377.57,377.57,89321
2021-12-14,374.3,375.68,366.71,369.87,118977
2021-12-15,370.98,375.84,367.29,375.31,196906
2021-12-16,412.26,412.775,399.16,399.91,350265
2021-12-17,396.52,404.48,391.8,396.42,179422
2021-12-20,389.215,391.35,383.52,385.88,155203
2021-12-21,389.58,393.13,384.93,392.77,111771
2021-12-22,393.735,403.75,393.32,403.61,114775
2021-12-23,401.74,406.71,401.74,403.225,44944
2021-12-27,406.87,415.93,406.87,415.29,125854
2021-12-28,415.79,417.1,413.88,415.21,38097
2021-12-29,414.495,417.125,412.7,415.34,49372
2021-12-30,416.62,416.62,411.88,413.79,47061
2021-12-31,412.41,416.82,412.41,414.6,76247
2022-01-03,415.53,415.53,405.16,407.29,101639
2022-01-04,408.44,411.035,403.28,404.32,136150
2022-01-05,403.53,403.585,397.19,397.19,139952
2022-01-06,381.82,391.99,375.86,377.99,364658
2022-01-07,378.77,379.05,370.17,370.68,188594
2022-01-10,363.9,373.33,360.36,372.81,155900
2022-01-11,369.92,375.59,364.26,375.16,139748
2022-01-12,377.68,383.37,376.76,376.97,123662
2022-01-13,377.845,379.04,360.755,361.215,121935
2022-01-14,356.29,359.19,349.78,353.55,193842
2022-01-18,348.875,350.98,345.02,348.25,167065
2022-01-19,351.0,356.07,343.54,343.63,111550
2022-01-20,347.31,355.735,342.07,342.61,160865
2022-01-21,341.99,343.9,335.41,335.48,106566
2022-01-24,328.74,330.13,324.41,327.255,65226
2022-01-25,332.97,339.26,327.66,334.6,139959
2022-01-26,342.86,343.775,328.13,329.99,341064
2022-01-27,340.24,341.52,331.22,333.35,134629
2022-01-28,334.87,342.765,327.61,342.665,122704
2022-01-31,344.845,353.69,343.535,353.56,196552
2022-02-01,354.5,356.14,349.17,353.46,99775
2022-02-02,354.02,359.99,353.64,359.67,136796
2022-02-03,345.275,351.05,344.0,345.48,152148
2022-02-04,344.915,350.39,341.02,347.59,130145
2022-02-07,347.5,348.265,343.15,343.92,64286
2022-02-08,340.71,345.93,340.415,345.0,84551
2022-02-09,352.42,356.5,352.03,355.58,188620
2022-02-10,347.2,351.3,339.99,342.63,172607
2022-02-11,343.095,344.51,327.3,329.21,133628
2022-02-14,323.805,327.75,321.68,326.395,152730
2022-02-15,332.26,333.27,327.41,329.46,113471
2022-02-16,326.28,335.4,325.25,333.71,144676
2022-02-17,332.47,332.505,322.28,322.895,143293
2022-02-18,323.74,326.47,320.16,321.08,113730
2022-02-22,320.35,327.91,317.93,321.11,139556
2022-02-23,323.62,324.82,312.71,313.08,112524
2022-02-24,302.69,316.46,302.0,316.46,220395
2022-02-25,317.69,323.04,316.39,322.45,126524
2022-02-28,319.38,319.45,311.96,316.13,176740
2022-03-01,316.72,317.24,309.84,311.33,180661
2022-03-02,313.885,320.12,312.86,318.36,113617
2022-03-03,321.92,323.69,315.655,318.73,110132
2022-03-04,316.14,316.2,310.04,314.07,103627
2022-03-07,313.19,313.19,304.6,304.98,127274
2022-03-09,310.48,312.54,307.88,309.13,107963
2022-03-10,307.08,310.01,304.33,309.32,108916
2022-03-11,313.545,318.505,311.27,311.91,166358
2022-03-14,310.94,312.91,303.98,307.645,176137
2022-03-15,312.34,316.875,310.4,316.46,143274
2022-03-16,321.23,325.355,315.66,325.115,179731
2022-03-17,339.5,344.46,318.34,319.22,335793
2022-03-18,321.49,324.45,316.61,324.25,299350
2022-03-21,322.825,326.26,321.0,324.63,152617
2022-03-22,324.35,328.68,323.42,327.445,131044
2022-03-23,323.89,327.13,320.39,320.39,94401
2022-03-24,321.07,325.41,320.94,325.22,77474
2022-03-25,327.13,329.35,324.26,327.61,100358
2022-03-28,326.945,330.82,325.555,330.65,69218
2022-03-29,338.295,341.0,337.205,340.73,137279
2022-03-30,338.91,340.54,336.59,338.36,127427
2022-03-31,337.685,343.71,337.27,337.285,135733
2022-04-01,338.12,341.27,336.59,340.56,110124
2022-04-04,340.505,344.76,340.085,344.54,91486
2022-04-05,342.77,345.295,341.68,342.78,183566
2022-04-06,337.39,341.86,334.585,340.12,132797
2022-04-07,339.445,344.81,337.92,341.68,190526
2022-04-08,342.385,344.28,338.5,338.75,122545
2022-04-11,335.91,337.07,324.97,327.24,121974
2022-04-12,329.71,333.81,326.25,326.62,104718
2022-04-13,325.43,327.35,323.51,325.6,200084
2022-04-14,326.56,326.56,319.38,319.38,171138
2022-04-18,320.29,320.825,310.89,313.65,115427
2022-04-19,312.745,320.73,312.745,320.55,99845
2022-04-20,322.94,328.28,322.94,323.72,80068
2022-04-21,326.54,330.12,321.38,322.35,87909
2022-04-22,323.35,323.39,310.36,310.815,107893
2022-04-25,309.37,316.955,306.775,316.81,104628
2022-04-26,312.88,314.24,302.18,303.15,139608
2022-04-27,303.41,308.88,302.52,303.31,147213
2022-04-28,308.175,315.96,305.62,313.79,137233
2022-04-29,309.12,311.84,299.835,300.395,157726
2022-05-02,300.95,306.04,297.25,304.63,155007
2022-05-03,306.32,307.31,302.85,304.73,116417
2022-05-04,303.05,315.88,301.37,314.97,117968
2022-05-05,311.72,311.72,294.73,299.13,154291
2022-05-06,296.31,296.57,289.91,295.51,118733
2022-05-09,290.61,292.26,286.0,287.5,162199
2022-05-10,290.3,292.33,283.84,287.49,156757
2022-05-11,285.73,288.435,280.52,280.86,147892
2022-05-12,277.22,281.485,274.89,281.34,142983
2022-05-13,283.52,288.63,281.155,286.65,144908
2022-05-16,284.685,288.9,282.38,285.97,62143
2022-05-17,292.42,293.75,288.32,291.11,120458
2022-05-18,286.45,286.75,272.44,274.08,184039
2022-05-19,270.82,277.96,269.78,273.59,186545
2022-05-20,276.3,278.365,268.33,276.93,160214
2022-05-23,280.295,283.88,276.43,283.52,139602
2022-05-24,280.025,280.895,273.135,279.63,104958
2022-05-25,277.98,281.29,275.49,279.81,94435
2022-05-26,282.08,292.83,281.28,291.59,153513
2022-05-27,294.26,304.16,294.01,304.16,154867
2022-05-31,302.8,302.8,297.08,298.33,114114
2022-06-01,303.94,306.39,297.47,298.74,77808
2022-06-02,299.3,306.75,298.115,306.62,83696
2022-06-03,302.08,306.39,302.01,305.01,71854
2022-06-06,309.345,312.09,303.85,304.79,68233
2022-06-07,300.98,306.885,300.885,306.41,75531
2022-06-08,305.15,307.15,301.74,302.63,47564
2022-06-09,300.84,302.47,294.81,295.525,78137
2022-06-10,290.75,291.0,285.99,286.17,65175
2022-06-13,277.09,281.135,274.86,276.53,145419
2022-06-14,276.015,276.79,272.76,275.18,102651
2022-06-15,277.58,285.65,276.29,281.18,155576
2022-06-16,274.325,275.29,269.31,271.54,181512
2022-06-17,272.125,278.55,271.12,275.54,202576
2022-06-21,278.63,284.285,278.07,282.67,132893
2022-06-22,279.47,290.35,279.215,286.97,160091
2022-06-23,275.14,286.22,275.14,285.7,276043
2022-06-24,286.41,299.315,285.03,299.3,201991
2022-06-27,299.35,299.84,291.67,292.56,107195
2022-06-28,295.15,296.51,283.5,283.91,68971
2022-06-29,278.425,281.08,275.7,279.77,137061
2022-06-30,277.19,280.64,275.32,277.74,140504
2022-07-01,277.86,282.165,277.07,280.38,179683
2022-07-05,276.1,276.1,269.74,275.11,229797
2022-07-06,277.44,279.01,275.08,275.82,128236
2022-07-07,276.75,279.72,274.42,279.36,127334
2022-07-08,278.54,279.81,275.23,278.9,76291
2022-07-11,277.085,277.88,273.33,274.74,53632
2022-07-12,275.12,279.26,272.53,273.64,128771
2022-07-13,267.74,274.915,267.74,272.09,74587
2022-07-14,267.7,269.38,261.84,268.56,69036
2022-07-15,272.08,272.6,266.97,271.43,71700
2022-07-18,273.305,275.26,268.035,268.575,133388
2022-07-19,272.48,280.39,272.22,279.85,80687
2022-07-20,280.41,283.57,279.53,281.75,105496
2022-07-21,281.38,288.23,281.16,288.0,69323
2022-07-22,288.33,290.97,285.85,288.06,104136
2022-07-25,288.15,289.52,285.475,289.3,99674
2022-07-26,288.53,288.53,283.79,285.2,92155
2022-07-27,288.78,299.5,288.28,297.18,94522
2022-07-28,297.18,304.39,294.77,303.48,131884
2022-07-29,303.27,307.725,302.98,306.29,138719
2022-08-01,302.305,306.465,301.28,304.64,82450
2022-08-02,301.715,306.39,299.66,302.47,62082
2022-08-03,301.715,309.35,301.715,308.18,78770
2022-08-04,308.92,310.74,307.45,310.695,95662
2022-08-05,305.24,309.58,304.34,309.47,82311
2022-08-08,310.52,312.59,308.76,310.3,74388
2022-08-09,308.83,311.06,308.35,309.79,124358
2022-08-10,315.73,317.32,314.48,316.34,63309
2022-08-11,317.99,319.76,313.9,314.37,59049
2022-08-12,315.94,320.9,314.53,320.43,77711
2022-08-15,318.67,320.89,318.14,320.27,46486
2022-08-16,318.12,322.75,318.12,320.8,75392
2022-08-17,318.29,320.17,315.76,318.59,79853
2022-08-18,318.75,320.82,316.48,319.4,67776
2022-08-19,317.12,317.12,313.625,315.46,70210
2022-08-22,309.81,312.72,308.58,310.35,75803
2022-08-23,308.575,311.18,306.55,306.55,71799
2022-08-24,306.42,307.885,303.88,306.33,134449
2022-08-25,306.87,310.69,305.88,309.94,137190
2022-08-26,309.54,309.555,298.1,298.27,91956
2022-08-29,294.95,297.87,293.56,295.27,93583
2022-08-30,297.36,297.36,289.77,292.595,64289
2022-08-31,295.19,295.86,287.515,288.62,163857
2022-09-01,288.01,288.96,284.195,288.565,125734
2022-09-02,293.08,293.08,282.84,284.38,67089
2022-09-06,283.92,286.17,281.35,283.7,162933
2022-09-07,282.14,288.04,281.91,286.9,77903
2022-09-08,283.96,288.22,282.69,288.1,58208
2022-09-09,289.12,292.05,289.12,290.56,111776
2022-09-12,294.28,296.76,293.53,295.3,76569
