date,open,high,low,close,volume
2021-07-21,161.13,164.81,161.04,164.79,88109
2021-07-22,163.03,163.03,160.865,161.95,169352
2021-07-23,163.01,163.79,161.75,163.59,91438
2021-07-26,162.47,164.27,162.47,163.91,68901
2021-07-27,163.44,163.75,159.58,162.54,149749
2021-07-28,162.895,164.6,162.895,163.99,303489
2021-07-29,164.67,167.115,164.67,166.505,311226
2021-07-30,165.71,168.2,165.36,167.44,128080
2021-08-02,168.49,171.29,167.375,167.58,115824
2021-08-03,168.34,169.0,165.77,168.67,143604
2021-08-04,169.09,175.25,169.09,172.66,567217
2021-08-05,173.14,173.14,168.88,169.97,200452
2021-08-06,168.83,171.86,168.39,171.18,138753
2021-08-09,171.07,172.47,169.49,171.345,75478
2021-08-10,171.23,171.58,169.01,170.99,106798
2021-08-11,171.67,171.69,168.77,170.43,113525
2021-08-12,169.365,169.695,166.6,168.5,114170
2021-08-13,169.0,170.69,168.61,169.99,83619
2021-08-16,169.95,171.435,169.65,171.1,84618
2021-08-17,169.92,169.98,165.69,166.15,265976
2021-08-18,164.67,168.01,161.39,165.68,381395
2021-08-19,165.32,166.95,163.645,166.93,170335
2021-08-20,167.06,168.13,165.105,166.61,152744
2021-08-23,170.12,172.76,166.09,169.6,466598
2021-08-24,169.85,170.33,164.785,165.825,438435
2021-08-25,166.4,167.84,163.11,163.84,471691
2021-08-26,164.5,168.43,163.745,167.31,234602
2021-08-27,167.06,169.78,166.17,166.44,268253
2021-08-30,167.05,168.23,166.725,167.0,121339
2021-08-31,166.25,166.51,161.43,162.94,272068
2021-09-01,163.37,164.12,161.04,161.04,169591
2021-09-02,162.335,162.89,161.25,162.56,146343
2021-09-03,162.41,163.4,161.735,162.46,120844
2021-09-07,162.66,163.705,162.16,163.32,183979
2021-09-08,163.705,165.67,162.51,163.62,140068
2021-09-09,163.55,170.13,163.49,168.8,469969
2021-09-10,170.71,172.06,169.6,169.98,167155
2021-09-13,171.51,173.05,170.36,172.84,287042
2021-09-14,173.07,174.05,171.58,173.48,287049
2021-09-15,173.81,174.46,172.18,174.05,176417
2021-09-16,172.94,174.42,172.46,173.14,255802
2021-09-17,172.56,173.015,170.76,171.54,208526
2021-09-20,170.13,170.64,167.08,169.63,151963
2021-09-21,170.785,171.58,168.33,170.58,140438
2021-09-22,172.29,174.26,171.39,173.85,150326
2021-09-23,174.54,177.74,174.23,177.28,104323
2021-09-24,176.49,178.84,176.19,178.45,103971
2021-09-27,177.23,178.09,175.615,176.92,147362
2021-09-28,173.805,174.68,171.19,171.19,144385
2021-09-29,170.52,171.83,168.17,168.82,114139
2021-09-30,170.38,171.26,167.42,167.42,153014
2021-10-01,168.46,168.75,164.77,167.32,103628
2021-10-04,167.0,167.56,163.65,164.19,117664
2021-10-05,165.415,166.725,164.03,165.295,80740
2021-10-06,164.51,166.235,163.32,166.09,124014
2021-10-07,167.68,169.23,166.78,166.88,88962
2021-10-08,168.75,168.95,166.69,168.56,136965
2021-10-11,168.46,171.54,167.8,167.915,75849
2021-10-12,168.74,168.74,163.86,163.99,95219
2021-10-13,166.28,166.54,163.605,164.37,283664
2021-10-14,166.47,168.475,166.3,168.17,92815
2021-10-15,170.485,172.06,169.765,172.04,131597
2021-10-18,170.12,173.62,169.77,173.375,134646
2021-10-19,173.71,176.75,172.55,176.67,208803
2021-10-20,176.475,177.86,175.98,176.96,181128
2021-10-21,176.55,179.05,176.28,179.05,177245
2021-10-22,179.055,180.68,177.745,178.4,110467
2021-10-25,178.54,181.08,178.44,180.51,127866
2021-10-26,181.765,182.3,179.64,179.83,157607
2021-10-27,174.795,174.9,170.01,170.38,344888
2021-10-28,172.12,174.32,171.54,172.45,200429
2021-10-29,171.655,173.86,170.63,173.51,184666
2021-11-01,173.99,175.22,173.64,175.08,124222
2021-11-02,175.48,178.21,175.48,177.97,112159
2021-11-03,177.75,179.23,176.0,178.81,137130
2021-11-04,179.0,180.93,176.28,180.7,133066
2021-11-05,183.685,186.09,182.3,184.24,180290
2021-11-08,183.86,185.75,183.46,184.46,126808
2021-11-09,184.47,185.77,182.96,185.0,124678
2021-11-10,183.0,185.27,180.52,180.82,228547
2021-11-11,182.88,183.3,180.5,183.13,124796
2021-11-12,183.74,185.6,181.67,184.76,110692
2021-11-15,185.56,185.68,184.26,185.05,69154
2021-11-16,184.88,187.85,184.62,187.66,105154
2021-11-17,187.345,187.7,185.97,187.07,121407
2021-11-18,187.7,188.67,186.09,188.08,101314
2021-11-19,188.01,189.86,187.8,188.84,214643
2021-11-22,189.985,191.91,185.41,185.655,351110
2021-11-23,185.01,187.69,180.23,182.46,264198
2021-11-24,181.425,182.49,179.78,182.39,216359
2021-11-26,179.88,180.28,176.85,178.19,133829
2021-11-29,180.54,183.6,178.585,183.34,184170
2021-11-30,182.86,184.21,178.945,180.23,192012
2021-12-01,182.39,188.16,180.65,180.77,280445
2021-12-02,179.9,182.475,178.04,180.62,156051
2021-12-03,182.77,183.77,178.72,181.0,111075
2021-12-06,182.32,182.61,176.46,181.1,291600
2021-12-07,183.59,187.655,183.59,186.675,237830
2021-12-08,184.68,186.51,184.38,186.29,200313
2021-12-09,185.3,187.58,183.49,183.49,156583
2021-12-10,186.32,186.32,181.24,183.52,108465
2021-12-13,183.92,184.61,178.24,178.44,176076
2021-12-14,177.42,178.2,173.68,176.34,158144
2021-12-15,177.57,179.67,174.18,179.67,233599
2021-12-16,180.4,180.4,172.175,172.59,320304
2021-12-17,170.87,172.37,169.13,169.98,334388
2021-12-20,166.835,169.105,166.36,168.375,195899
2021-12-21,170.22,172.33,168.96,172.26,156540
2021-12-22,171.62,172.59,170.99,172.22,160098
2021-12-23,172.85,174.28,172.58,172.58,82392
2021-12-27,173.4,175.51,173.16,175.46,106238
2021-12-28,176.79,176.79,174.09,174.42,112596
2021-12-29,174.8,176.445,174.8,175.39,94591
2021-12-30,176.145,176.96,174.52,174.85,61785
2021-12-31,174.885,176.63,174.6,175.84,136992
2022-01-03,175.125,177.48,174.81,177.16,108915
2022-01-04,177.625,179.47,174.125,175.61,217227
2022-01-05,175.345,177.095,172.78,172.78,175714
