date,open,high,low,close,volume
2021-07-21,203.42,204.49,203.0,204.45,42876
2021-07-22,204.97,204.97,202.74,203.29,56366
2021-07-23,203.6,206.5,203.6,206.055,48417
2021-07-26,206.07,206.46,204.38,206.26,40562
2021-07-27,206.21,208.48,205.73,208.03,56733
2021-07-28,207.27,207.415,203.62,206.85,128953
2021-07-29,207.075,209.755,207.075,208.79,58619
2021-07-30,209.285,210.255,208.575,209.65,55209
2021-08-02,210.24,211.18,209.23,209.52,105591
2021-08-03,209.97,213.69,209.04,213.49,74398
2021-08-04,212.53,213.54,211.94,212.0,81983
2021-08-05,213.12,213.57,212.25,213.27,47004
2021-08-06,213.28,213.82,212.62,213.0,77145
2021-08-09,213.665,213.94,212.33,213.66,91300
2021-08-10,213.785,217.085,213.64,216.7,86090
2021-08-11,215.6,217.025,215.39,216.23,114593
2021-08-12,216.11,216.56,214.6,214.84,109352
2021-08-13,214.88,216.0,214.71,215.12,47914
2021-08-16,214.55,216.62,213.91,216.62,41069
2021-08-17,215.46,216.12,213.81,214.81,49259
2021-08-18,213.765,213.765,208.28,208.325,123378
2021-08-19,208.01,211.75,207.96,211.06,99091
2021-08-20,210.665,211.93,209.925,211.55,51297
2021-08-23,211.91,212.58,210.73,211.73,40649
2021-08-24,211.63,211.63,208.06,208.08,105173
2021-08-25,208.925,209.11,206.95,208.14,54252
2021-08-26,207.86,208.25,206.295,206.99,46860
2021-08-27,207.86,209.605,207.25,208.92,40792
2021-08-30,209.34,210.675,209.0,209.02,34245
2021-08-31,209.63,209.63,207.1,208.99,151463
2021-09-01,207.265,207.43,205.82,206.79,55177
2021-09-02,206.335,207.27,205.96,206.51,44550
2021-09-03,204.845,207.76,204.845,207.35,50732
2021-09-07,206.66,206.66,201.85,202.19,55184
2021-09-08,202.665,205.2,202.665,205.15,43524
2021-09-09,204.86,206.48,203.09,203.18,49282
2021-09-10,204.29,204.38,200.69,200.82,58807
2021-09-13,202.34,204.13,199.18,199.99,56817
2021-09-14,201.36,201.365,199.29,199.85,88138
2021-09-15,199.27,200.87,199.19,200.51,74883
2021-09-16,200.47,201.5,198.2,198.41,53231
2021-09-17,198.39,199.19,197.43,198.67,41856
2021-09-20,197.43,199.16,196.14,198.81,57898
2021-09-21,199.15,199.15,196.47,197.08,42433
2021-09-22,198.12,198.79,197.02,198.26,26113
2021-09-23,198.78,202.39,198.78,201.3,33578
2021-09-24,200.89,202.655,200.73,202.25,40563
2021-09-27,201.35,203.11,201.17,201.76,34912
2021-09-28,200.17,200.225,196.84,197.22,42578
