date,open,high,low,close,volume
2021-07-21,85.58,86.04,84.615,84.7,147021
2021-07-22,85.27,87.06,84.64,84.88,136889
2021-07-23,84.83,86.085,84.8,85.99,122021
2021-07-26,85.78,87.81,85.41,87.76,205897
2021-07-27,87.71,89.75,87.365,89.4,221138
2021-07-28,89.375,89.8,88.26,89.03,167687
2021-07-29,89.09,89.48,88.83,89.17,85152
2021-07-30,89.33,89.91,87.97,88.07,82764
2021-08-02,88.26,88.86,87.67,88.35,58574
2021-08-03,88.585,89.59,88.27,89.12,84770
2021-08-04,88.79,88.95,87.97,88.91,99843
2021-08-05,88.925,89.765,88.4,89.65,97763
2021-08-06,89.505,89.98,89.11,89.35,75618
2021-08-09,88.69,88.94,88.16,88.79,74900
2021-08-10,88.68,89.205,88.26,88.73,100060
2021-08-11,89.18,89.65,88.95,89.2,65173
2021-08-12,89.025,89.46,88.905,88.94,49527
2021-08-13,89.645,89.89,89.03,89.71,94887
2021-08-16,89.85,91.2,89.695,90.3,93500
2021-08-17,90.09,90.59,89.94,90.585,80791
2021-08-18,90.31,90.59,89.52,89.725,79643
2021-08-19,90.295,91.155,90.075,90.41,134442
2021-08-20,89.95,91.485,89.735,91.05,154492
2021-08-23,91.145,91.36,89.82,90.15,122265
2021-08-24,90.03,90.03,88.88,89.25,96796
2021-08-25,89.13,89.575,88.55,89.33,75986
2021-08-26,89.205,89.41,88.75,89.24,75573
2021-08-27,89.72,89.8,89.13,89.29,50592
2021-08-30,89.21,89.92,89.11,89.62,70443
2021-08-31,89.54,90.03,89.24,89.57,78337
2021-09-01,89.95,90.81,89.555,90.505,124511
2021-09-02,90.41,91.0,90.335,90.94,96045
2021-09-03,90.39,91.02,90.33,90.4,64050
2021-09-07,90.11,90.11,88.7,88.88,56338
2021-09-08,88.975,91.03,88.915,90.73,204065
2021-09-09,90.645,90.83,90.32,90.4,65036
2021-09-10,90.31,90.31,88.76,88.79,74670
2021-09-13,89.485,89.53,87.79,88.32,90490
2021-09-14,88.88,88.89,87.54,87.79,40156
2021-09-15,87.41,88.105,87.24,87.29,175827
2021-09-16,87.04,87.605,85.82,85.97,215135
2021-09-17,85.86,86.11,83.93,84.095,179134
2021-09-20,84.16,84.245,82.26,83.3,153626
2021-09-21,83.385,84.02,82.98,83.0,134824
2021-09-22,82.815,83.44,82.47,82.69,92168
2021-09-23,82.75,83.225,82.145,82.28,91738
2021-09-24,82.4,82.76,81.83,82.01,155990
2021-09-27,82.01,82.805,81.27,81.36,106421
2021-09-28,81.08,81.76,80.93,81.31,106760
2021-09-29,81.43,82.72,81.11,82.15,75697
2021-09-30,82.19,82.385,81.16,81.18,210642
2021-10-01,81.42,82.07,80.95,81.35,110346
2021-10-04,81.325,83.33,81.325,83.065,133705
2021-10-05,82.865,83.34,82.67,83.02,131620
2021-10-06,82.73,84.665,82.54,84.6,103912
2021-10-07,84.84,85.23,83.99,84.14,127804
2021-10-08,83.93,84.01,83.515,83.61,61633
2021-10-11,83.31,83.55,82.23,82.54,52515
2021-10-12,82.29,82.92,82.21,82.53,63777
2021-10-13,82.625,83.49,81.9,83.49,84268
2021-10-14,83.91,84.25,83.54,84.09,107373
2021-10-15,84.03,84.35,83.215,83.5,115224
2021-10-18,83.12,83.285,82.39,82.99,69204
2021-10-19,83.44,83.98,83.23,83.8,104714
2021-10-20,84.27,85.305,84.18,84.91,125158
2021-10-21,84.83,85.28,84.79,85.205,81604
2021-10-22,85.39,85.82,85.17,85.58,68675
2021-10-25,85.625,85.625,84.585,84.67,66178
2021-10-26,84.67,85.34,84.435,84.44,117823
2021-10-27,85.33,85.46,84.145,84.18,159973
2021-10-28,84.27,84.99,83.52,84.67,140376
2021-10-29,84.43,85.21,84.14,84.73,43366
2021-11-01,84.51,85.27,84.425,85.12,71799
2021-11-02,85.33,85.54,84.335,85.31,55391
2021-11-03,85.405,85.86,84.44,84.92,56119
2021-11-04,84.79,85.14,82.805,83.89,88604
2021-11-05,84.36,85.48,84.36,85.02,45858
2021-11-08,85.19,85.19,83.565,83.87,125421
2021-11-09,83.59,83.89,83.0,83.05,70161
2021-11-10,83.65,84.27,83.49,84.18,138705
2021-11-11,83.95,84.13,82.13,82.61,148131
2021-11-12,82.44,82.52,81.92,82.0,49702
2021-11-15,82.31,82.87,81.85,82.87,51614
2021-11-16,82.99,83.13,82.43,82.58,50786
2021-11-17,82.47,83.3,82.17,83.29,57331
2021-11-18,83.15,83.32,82.505,82.82,66062
2021-11-19,82.73,83.48,82.67,83.36,69991
2021-11-22,83.2,85.03,82.98,84.32,86332
2021-11-23,84.38,84.84,83.59,84.31,76151
2021-11-24,84.4,84.695,83.7,83.79,63605
2021-11-26,83.55,83.94,82.33,82.61,38875
2021-11-29,82.91,83.735,82.19,83.245,163014
2021-11-30,83.15,83.15,80.76,81.06,91623
2021-12-01,81.57,82.47,80.22,80.27,71505
2021-12-02,81.0,82.145,80.55,81.33,89019
2021-12-03,81.85,82.55,81.04,82.34,97167
2021-12-06,82.95,84.6,82.92,83.49,113506
2021-12-07,83.2,84.0,82.72,83.9,119493
2021-12-08,84.02,84.54,83.5,84.01,64113
2021-12-09,83.9,84.08,83.24,83.52,67386
2021-12-10,84.0,84.225,83.62,83.97,51535
2021-12-13,83.9,85.47,83.9,84.99,59215
2021-12-14,85.24,85.54,84.6,85.16,142927
2021-12-15,85.34,87.42,85.245,87.21,214022
2021-12-16,87.1,88.38,87.05,88.04,141137
2021-12-17,87.77,88.1,86.48,86.51,79395
2021-12-20,85.915,87.31,85.56,87.26,93658
2021-12-21,87.54,87.67,86.275,86.74,105323
2021-12-22,86.43,87.04,86.29,86.62,48180
2021-12-23,86.52,86.93,86.355,86.5,38470
2021-12-27,86.7,87.175,86.36,87.1,41197
2021-12-28,87.42,88.26,87.42,88.2,51343
2021-12-29,88.44,88.68,88.12,88.58,26462
2021-12-30,88.63,88.72,88.0,88.71,38989
2021-12-31,88.52,89.2,88.36,88.99,44190
2022-01-03,88.575,88.73,87.57,88.62,84583
2022-01-04,88.95,89.92,88.63,88.66,64778
2022-01-05,88.69,90.28,88.69,89.51,123032
2022-01-06,89.64,90.3,88.94,89.215,101971
2022-01-07,88.99,91.255,88.61,90.82,193080
2022-01-10,90.785,91.39,90.34,90.5,241646
2022-01-11,90.27,90.5,89.24,89.76,133383
2022-01-12,89.7,90.4,88.98,90.31,79568
2022-01-13,90.28,91.55,89.91,90.86,165701
2022-01-14,91.16,91.28,90.31,90.95,162286
2022-01-18,90.5,90.73,89.2,90.315,121550
2022-01-19,90.33,91.07,89.65,90.3,114296
2022-01-20,90.42,90.95,89.82,89.94,91865
2022-01-21,90.675,91.59,89.77,90.0,135457
2022-01-24,90.55,91.09,87.14,89.15,172474
2022-01-25,88.33,89.645,88.07,88.98,138098
2022-01-26,88.87,89.685,88.34,88.85,159217
2022-01-27,89.21,90.42,89.0,89.41,135028
2022-01-28,89.0,90.27,88.565,90.08,168808
2022-01-31,89.36,90.45,89.12,90.4,216748
2022-02-01,89.9,90.02,87.93,88.31,164387
2022-02-02,88.27,89.97,87.83,89.87,142561
2022-02-03,90.49,90.49,89.69,90.22,99605
2022-02-04,89.29,90.22,88.56,89.18,94953
2022-02-07,89.24,90.35,88.8,89.84,105010
2022-02-08,90.25,90.5,89.78,90.2,76061
2022-02-09,90.08,90.08,89.06,89.37,114951
2022-02-10,88.61,88.995,87.22,87.4,87561
2022-02-11,87.54,88.61,87.53,87.64,87570
2022-02-14,87.88,87.94,85.5,86.17,93613
2022-02-15,86.39,86.75,85.01,85.44,94707
2022-02-16,85.83,85.83,84.4,85.44,63165
2022-02-17,84.95,85.85,84.24,85.48,86628
2022-02-18,85.325,86.355,85.145,85.75,112209
2022-02-22,86.06,86.62,85.24,86.02,72144
2022-02-23,85.98,86.02,84.46,84.63,153222
2022-02-24,86.69,86.99,84.89,86.59,227992
2022-02-25,87.17,89.53,86.95,89.5,124166
2022-02-28,88.54,90.88,88.54,90.64,205783
2022-03-01,90.4,91.67,89.7,90.21,143478
2022-03-02,89.98,91.47,89.92,91.24,117366
2022-03-03,91.45,94.67,91.45,93.98,190562
2022-03-04,93.75,96.385,93.18,96.32,214506
2022-03-07,96.01,98.12,95.17,97.27,150837
2022-03-08,97.395,98.06,95.18,95.24,163609
2022-03-09,95.33,95.6,94.25,95.06,116588
2022-03-10,94.6,96.22,94.05,96.0,125788
2022-03-11,96.13,96.73,95.24,95.55,92893
2022-03-14,96.2,96.28,94.55,94.695,133935
2022-03-15,95.405,96.15,94.93,96.1,127012
2022-03-16,95.92,96.0,93.47,95.08,133139
2022-03-17,95.16,95.97,94.77,94.95,115313
2022-03-18,94.55,95.31,93.41,94.03,138864
2022-03-21,94.07,95.36,94.07,94.69,222229
2022-03-22,95.11,95.58,94.295,95.22,103029
2022-03-23,95.46,96.475,95.05,96.0,97106
2022-03-24,96.37,97.015,95.75,96.41,86467
2022-03-25,96.51,97.38,96.355,96.78,104890
2022-03-28,96.72,97.58,96.07,97.58,152502
2022-03-29,97.46,98.79,97.455,98.69,157748
2022-03-30,98.58,99.44,98.36,99.44,97749
2022-03-31,99.64,100.64,99.64,99.82,116187
2022-04-01,99.81,101.595,98.84,101.5,181265
2022-04-04,100.79,101.06,99.33,100.66,104769
2022-04-05,100.78,102.7,100.78,101.3,92844
2022-04-06,101.52,104.78,101.42,104.48,167351
2022-04-07,104.2,104.39,102.54,103.37,226107
2022-04-08,103.8,104.04,102.75,103.01,88694
2022-04-11,103.0,103.7,101.18,101.43,170988
2022-04-12,101.61,103.0,101.09,102.31,131862
2022-04-13,102.59,102.8,101.35,102.25,79561
2022-04-14,102.59,102.64,101.88,102.04,66211
2022-04-18,102.32,102.52,101.09,101.67,79152
2022-04-19,101.82,102.62,101.545,102.47,61677
2022-04-20,103.23,103.32,102.35,102.84,104176
2022-04-21,102.61,103.51,102.0,102.13,106479
2022-04-22,102.09,102.09,100.13,100.23,68472
2022-04-25,100.7,101.01,98.59,100.48,116353
2022-04-26,100.14,101.46,99.21,99.21,57746
2022-04-27,99.37,100.87,98.27,99.53,211250
2022-04-28,99.33,102.76,98.46,102.46,245134
2022-04-29,102.05,102.08,99.005,99.16,112598
2022-05-02,99.62,100.365,97.0,98.13,89557
2022-05-03,98.91,100.125,98.08,98.59,112785
2022-05-04,98.98,100.89,98.7,100.71,161761
2022-05-05,100.22,101.06,98.8,99.68,98883
2022-05-06,99.43,100.08,98.735,99.67,129736
2022-05-09,98.9,100.67,98.05,99.67,109264
2022-05-10,100.4,101.485,98.03,99.09,109954
2022-05-11,98.93,101.26,98.93,99.68,99161
2022-05-12,99.84,99.95,97.31,98.52,112859
2022-05-13,98.85,99.8,98.3,99.67,68746
2022-05-16,99.775,100.28,99.09,99.41,104422
2022-05-17,99.655,100.43,98.13,100.4,115685
2022-05-18,100.7,101.52,99.56,99.92,120002
2022-05-19,99.34,99.51,97.575,99.05,151051
2022-05-20,98.56,99.89,98.21,99.67,76912
2022-05-23,100.695,101.375,99.6,100.22,132034
2022-05-24,100.84,102.53,99.96,102.24,67920
2022-05-25,102.16,102.98,101.84,102.48,94465
2022-05-26,103.1,103.335,102.5,102.56,57742
2022-05-27,102.57,103.62,101.95,103.56,86086
2022-05-31,102.65,103.105,101.34,102.0,83943
2022-06-01,102.475,102.58,100.88,102.03,89819
2022-06-02,102.65,102.65,100.025,102.25,117582
2022-06-03,101.91,102.48,101.64,101.9,56139
2022-06-06,102.575,102.69,101.56,102.05,49374
2022-06-07,101.85,102.53,101.155,102.42,52043
2022-06-08,101.87,101.98,100.245,100.55,65939
2022-06-09,100.54,101.14,98.17,98.265,114544
2022-06-10,97.31,99.16,97.03,98.26,181701
2022-06-13,97.27,97.565,92.615,93.03,128718
2022-06-14,93.35,93.56,89.36,90.44,162780
2022-06-15,91.11,91.91,88.7,90.66,146423
2022-06-16,89.3,89.87,88.3,89.16,123682
2022-06-17,90.1,90.25,87.68,88.42,216878
2022-06-21,88.73,90.52,88.675,89.91,270487
2022-06-22,89.62,91.16,89.53,90.3,151828
2022-06-23,90.845,92.59,90.84,92.4,155668
2022-06-24,92.74,93.85,92.67,93.62,137741
2022-06-27,93.22,95.01,93.22,95.0,120740
2022-06-28,95.05,96.15,94.955,95.085,150033
2022-06-29,95.54,95.63,94.82,95.36,87792
2022-06-30,94.555,96.65,94.51,95.93,176052
2022-07-01,96.075,98.01,95.52,97.89,110473
2022-07-05,97.59,97.66,92.67,93.58,243042
2022-07-06,93.96,95.75,93.3,94.79,331756
2022-07-07,95.27,95.685,94.43,94.52,122629
2022-07-08,94.765,94.94,93.85,94.32,94484
2022-07-11,94.39,95.43,93.82,95.03,49581
2022-07-12,94.54,95.89,93.97,94.37,67274
2022-07-13,93.41,94.73,93.25,93.905,128573
2022-07-14,92.23,94.45,92.23,94.29,75402
2022-07-15,94.08,95.255,93.64,95.22,82505
2022-07-18,94.4,94.61,93.27,93.39,99575
2022-07-19,93.7,94.255,93.39,93.57,127968
2022-07-20,93.77,93.9,92.25,92.7,133624
2022-07-21,92.46,92.84,92.17,92.76,77180
2022-07-22,93.485,94.36,93.42,94.35,97941
2022-07-25,94.4,95.875,94.075,95.8,137497
2022-07-26,95.81,96.86,95.65,96.4,87296
2022-07-27,94.82,96.535,94.43,96.28,167921
2022-07-28,97.195,97.77,95.95,97.6,149147
2022-07-29,97.22,99.15,97.14,98.55,91051
2022-08-01,98.42,99.21,97.9,99.1,83054
2022-08-02,99.11,99.75,98.355,98.47,88453
2022-08-03,98.23,99.82,96.77,99.6,65641
2022-08-04,99.34,100.35,99.11,99.97,56724
2022-08-05,99.87,100.16,98.71,99.44,85464
2022-08-08,100.61,101.15,99.56,100.09,55416
2022-08-09,99.82,100.82,99.66,100.57,47812
2022-08-10,101.12,101.41,100.31,101.35,85305
2022-08-11,101.19,102.42,100.75,101.23,84236
2022-08-12,101.805,103.84,101.805,103.78,107430
2022-08-15,103.8,104.63,103.69,104.56,81043
2022-08-16,104.13,105.44,104.07,104.49,58105
2022-08-17,103.94,105.11,103.905,104.33,63141
2022-08-18,104.59,105.46,104.23,104.38,97999
2022-08-19,104.57,105.32,103.975,104.93,72922
2022-08-22,104.76,104.77,103.21,103.42,51033
2022-08-23,103.31,103.31,102.27,102.71,38505
2022-08-24,102.6,102.76,101.91,102.66,50783
2022-08-25,103.17,103.455,102.1,103.36,45958
2022-08-26,103.52,103.69,101.76,101.83,64211
2022-08-29,101.38,103.56,100.75,102.93,74177
2022-08-30,102.65,102.91,101.0,101.34,76521
2022-08-31,101.52,101.885,100.14,100.15,147217
2022-09-01,100.23,102.96,100.23,102.36,141756
2022-09-02,102.61,103.73,100.685,101.09,83996
