date,open,high,low,close,volume
2021-07-21,139.78,146.98,139.725,140.79,84625
2021-07-22,141.76,142.46,141.12,142.09,26341
2021-07-23,142.89,143.26,142.25,143.045,27744
2021-07-26,138.8,141.24,138.76,140.16,130034
2021-07-27,139.155,141.11,138.72,140.26,91867
2021-07-28,139.62,139.875,137.24,137.52,62571
2021-07-29,138.205,139.92,138.205,139.45,49619
2021-07-30,141.155,141.545,139.16,139.25,118333
2021-08-02,140.51,141.075,138.99,139.19,57521
2021-08-03,139.07,140.025,138.3,138.49,90943
2021-08-04,137.935,138.865,136.95,136.96,33176
2021-08-05,137.935,138.695,137.275,138.65,33540
2021-08-06,139.4,139.59,138.37,139.13,32244
2021-08-09,138.955,140.33,138.6,140.33,50157
2021-08-10,140.48,141.01,140.33,140.925,23608
2021-08-11,141.53,143.44,141.53,142.28,69677
2021-08-12,142.28,142.74,140.96,141.52,26681
2021-08-13,142.15,142.22,140.3,140.32,85154
2021-08-16,139.885,143.225,139.885,142.91,66264
2021-08-17,141.63,142.795,141.04,141.64,95720
2021-08-18,140.71,142.45,140.71,141.13,72126
2021-08-19,140.63,142.39,140.63,141.99,47232
2021-08-20,142.115,143.92,141.8,143.07,53572
2021-08-23,143.64,144.49,143.15,143.15,39926
2021-08-24,143.39,143.61,142.76,143.405,28234
2021-08-25,143.27,143.31,142.23,142.96,23634
2021-08-26,142.58,143.1,142.18,142.69,39183
2021-08-27,143.05,143.81,142.81,143.67,38110
2021-08-30,144.35,144.54,143.33,143.46,32396
2021-08-31,143.45,144.44,142.96,143.6,63312
2021-09-01,143.58,144.96,142.92,144.42,94562
2021-09-02,144.78,145.76,144.7,145.705,107040
2021-09-03,145.315,146.48,144.89,145.47,66497
2021-09-07,144.51,144.76,143.67,143.67,44220
2021-09-08,143.605,144.76,143.55,144.49,69149
2021-09-09,144.865,146.735,144.835,145.38,57783
2021-09-10,145.78,145.78,144.1,144.11,57774
2021-09-13,144.78,144.85,142.6,144.41,46916
2021-09-14,144.67,145.28,142.74,145.0,61693
