date,open,high,low,close,volume
2021-07-21,193.52,198.11,189.315,190.2,87120
2021-07-22,191.24,194.29,189.5,192.685,51813
2021-07-23,192.465,193.145,186.31,190.4,63154
2021-07-26,191.445,194.87,191.445,194.87,110177
2021-07-27,191.395,191.91,185.08,189.02,63287
2021-07-28,189.78,195.38,189.78,194.54,31672
2021-07-29,197.34,210.835,196.12,202.81,127456
2021-07-30,202.415,207.59,202.415,206.0,49455
2021-08-02,208.21,208.885,204.78,206.965,53876
2021-08-03,206.05,207.19,201.83,206.99,38753
2021-08-04,209.67,211.67,206.135,206.66,63781
2021-08-05,210.04,226.1,209.93,218.65,154962
2021-08-06,221.865,227.195,215.69,226.67,81895
2021-08-09,224.32,232.29,220.32,231.38,59419
2021-08-10,234.94,241.68,233.98,239.11,112078
2021-08-11,240.535,241.84,228.03,235.955,73591
2021-08-12,234.86,237.47,230.42,236.47,107996
2021-08-13,237.94,239.845,233.15,235.27,47460
2021-08-16,231.76,231.76,221.52,225.87,107856
2021-08-17,219.37,222.86,211.01,216.415,81923
2021-08-18,216.345,221.3,215.5,217.84,45157
2021-08-19,210.52,216.8,210.52,213.22,67716
2021-08-20,214.12,220.485,214.12,219.725,85697
2021-08-23,224.835,230.1,223.56,227.91,52806
2021-08-24,228.13,229.19,222.1,229.07,60034
2021-08-25,228.88,240.54,228.33,234.08,86674
2021-08-26,232.02,236.14,230.615,230.63,38122
2021-08-27,233.0,237.8,233.0,236.44,47089
2021-08-30,242.99,244.23,236.91,236.91,52171
2021-08-31,236.375,236.93,230.79,236.78,38144
2021-09-01,235.88,241.3,233.8,239.18,35174
2021-09-02,240.69,248.61,240.69,243.91,36687
2021-09-03,244.63,244.63,240.0,241.96,41385
2021-09-07,239.68,241.84,238.28,238.77,61071
2021-09-08,242.67,242.67,235.47,239.38,67290
2021-09-09,239.405,247.75,238.93,243.58,56065
2021-09-10,249.07,252.87,241.04,241.04,69907
2021-09-13,240.22,241.31,222.55,229.29,142683
2021-09-14,232.505,234.93,229.2,230.37,43979
2021-09-15,231.47,236.38,230.96,233.605,85722
2021-09-16,231.94,232.39,225.5,231.32,55564
2021-09-17,229.23,230.0,223.81,226.94,68724
2021-09-20,215.0,218.0,210.63,215.475,118351
2021-09-21,219.77,220.35,213.68,216.53,37088
2021-09-22,217.57,226.63,217.24,223.26,35798
2021-09-23,228.06,232.165,227.44,229.06,46161
2021-09-24,227.15,229.43,225.55,226.45,26704
2021-09-27,226.07,226.07,220.205,222.22,32290
2021-09-28,219.33,219.72,215.12,216.52,39116
2021-09-29,217.56,220.515,217.325,219.02,22751
2021-09-30,224.74,228.27,218.96,218.96,47668
2021-10-01,220.5,221.13,210.7,218.85,48285
2021-10-04,219.68,219.68,212.66,215.19,29469
2021-10-05,217.04,223.72,216.385,222.36,54755
2021-10-06,218.88,222.67,215.025,222.38,34950
2021-10-07,225.885,226.7,221.94,222.305,26034
2021-10-08,220.49,220.62,213.66,214.92,80754
2021-10-11,215.1,219.04,213.9,214.16,55518
2021-10-12,216.42,218.36,214.87,217.03,24188
2021-10-13,220.34,225.735,219.785,223.65,39408
2021-10-14,225.5,232.34,225.11,231.4,66840
2021-10-15,234.0,234.39,228.67,228.88,34505
2021-10-18,228.59,237.64,227.88,237.01,53569
2021-10-19,243.43,243.655,233.215,235.97,39199
2021-10-20,236.89,238.735,232.75,235.17,45227
2021-10-21,233.775,235.52,230.4,233.95,24805
2021-10-22,235.4,237.6,231.04,231.44,27374
