date,open,high,low,close,volume
2021-07-21,140.04,141.24,138.1,140.48,65558
2021-07-22,137.31,138.24,134.79,136.04,106673
2021-07-23,137.43,139.57,137.335,139.21,39315
2021-07-26,139.21,140.13,137.97,138.045,66246
2021-07-27,136.48,138.315,135.45,136.715,29208
2021-07-28,137.485,137.485,135.58,135.62,39040
2021-07-29,136.53,137.33,135.43,135.43,47227
2021-07-30,135.93,136.83,135.86,136.51,38820
2021-08-02,138.01,138.32,135.71,135.87,79567
2021-08-03,136.29,137.87,135.785,137.87,25375
2021-08-04,136.525,137.62,135.51,135.52,39303
2021-08-05,135.78,137.36,135.54,137.36,33261
2021-08-06,138.55,138.745,137.205,137.57,27375
2021-08-09,137.225,137.395,135.46,136.3,50128
2021-08-10,136.38,137.915,136.38,136.54,27581
2021-08-11,137.13,137.81,136.53,137.11,43869
2021-08-12,137.1,137.94,136.85,136.87,18635
2021-08-13,137.76,138.16,136.935,137.88,24534
2021-08-16,137.565,140.23,137.565,140.06,19075
2021-08-17,139.08,140.125,138.12,140.125,43758
2021-08-18,140.11,142.24,139.89,139.93,45869
2021-08-19,138.52,140.735,138.52,140.46,34773
2021-08-20,140.24,140.495,138.52,138.56,55979
2021-08-23,139.3,139.685,138.82,139.1,26175
2021-08-24,139.92,140.39,139.08,140.37,28553
2021-08-25,140.18,141.75,140.18,141.23,22494
2021-08-26,140.835,141.115,139.5,139.76,21572
2021-08-27,141.03,142.16,141.03,141.565,13325
2021-08-30,141.92,143.825,141.31,143.04,23306
2021-08-31,143.33,144.72,143.15,144.02,40249
2021-09-01,144.205,145.11,143.91,144.51,28488
2021-09-02,145.45,147.84,145.12,147.715,31638
2021-09-03,147.35,148.69,146.85,148.08,51414
2021-09-07,147.74,147.74,142.9,143.17,46950
2021-09-08,142.0,144.91,141.35,144.83,29465
2021-09-09,145.25,145.25,142.9,143.23,24720
2021-09-10,147.915,147.915,144.465,144.48,58987
2021-09-13,145.265,145.28,141.755,142.255,32827
2021-09-14,141.87,141.87,139.095,139.55,50436
2021-09-15,138.63,142.34,138.63,141.31,35120
2021-09-16,141.81,142.215,140.92,141.19,23638
2021-09-17,141.26,141.58,138.33,138.44,45930
2021-09-20,136.12,137.76,135.59,137.27,30195
2021-09-21,137.26,137.26,134.77,135.29,34523
2021-09-22,136.18,137.42,135.86,136.39,15765
2021-09-23,137.77,139.45,137.61,138.57,22015
2021-09-24,139.07,139.47,137.19,137.27,19250
2021-09-27,137.22,138.16,136.94,136.94,28371
2021-09-28,135.74,136.215,133.93,134.625,52194
2021-09-29,135.57,136.1,134.76,135.2,29196
2021-09-30,135.975,136.5,132.09,132.17,43312
2021-10-01,131.29,133.405,129.4,132.2,39785
2021-10-04,131.89,132.26,129.225,130.28,26914
2021-10-05,129.975,132.185,129.695,129.695,48469
2021-10-06,128.635,129.57,127.19,129.31,38557
2021-10-07,131.245,132.795,131.245,131.54,32628
2021-10-08,131.69,132.09,130.44,131.45,31866
2021-10-11,131.08,131.89,129.07,129.07,22460
2021-10-12,129.815,130.545,128.0,128.35,21969
2021-10-13,128.85,129.96,127.97,128.93,28353
2021-10-14,130.53,132.44,129.88,132.4,34298
2021-10-15,133.26,134.48,133.22,134.05,22090
2021-10-18,132.75,135.12,132.75,134.85,12548
2021-10-19,135.12,135.155,133.77,134.79,61134
2021-10-20,135.59,137.64,135.405,136.81,52320
2021-10-21,131.18,134.195,129.44,131.58,121814
2021-10-22,132.35,134.97,132.35,133.455,65604
2021-10-26,130.66,131.73,129.48,129.48,61935
2021-10-27,129.945,131.13,127.1,127.36,55977
2021-10-28,128.32,128.965,127.535,127.93,43771
2021-10-29,127.78,128.98,127.29,128.3,50083
2021-11-01,129.0,130.82,128.575,129.89,35773
2021-11-02,130.31,131.78,130.31,131.24,25064
2021-11-03,130.9,132.27,129.0,129.38,92511
2021-11-04,130.765,131.96,130.765,130.89,31342
2021-11-05,131.99,132.66,131.13,131.4,20526
2021-11-08,132.505,133.47,131.27,132.03,33528
2021-11-09,131.48,132.97,131.13,132.97,17072
2021-11-10,133.1,133.98,132.33,132.675,34871
2021-11-11,132.89,133.2,131.69,132.35,20964
2021-11-12,133.12,135.68,133.12,135.18,34015
2021-11-15,135.06,135.46,133.7,134.0,23836
2021-11-16,134.225,136.54,134.215,135.65,38537
2021-11-17,136.08,136.75,134.8,136.45,45463
2021-11-18,137.02,137.02,134.69,134.94,20631
2021-11-19,135.67,136.665,133.76,133.77,34232
2021-11-22,133.47,134.06,132.52,132.57,17451
2021-11-23,132.87,132.87,130.79,132.01,34033
2021-11-24,131.89,132.28,130.42,132.08,14561
2021-11-26,129.61,131.61,128.18,129.35,20919
2021-11-29,131.82,131.82,128.64,128.75,35147
2021-11-30,127.39,127.39,123.26,123.78,61275
2021-12-01,125.66,128.395,122.91,122.91,39773
2021-12-02,123.91,128.73,123.91,128.43,63705
2021-12-03,128.98,129.79,127.63,129.245,58865
2021-12-06,130.505,132.995,129.445,131.53,81618
2021-12-07,132.67,133.74,130.94,131.73,34894
2021-12-08,127.88,132.595,127.88,132.53,36126
2021-12-09,131.91,132.33,130.9,130.92,22801
2021-12-10,131.13,131.99,130.535,130.99,17767
2021-12-13,130.605,131.0,129.62,130.54,18535
2021-12-14,129.875,131.18,128.775,129.595,30246
2021-12-15,130.16,130.37,128.105,130.255,66459
2021-12-16,131.04,132.25,130.34,131.71,43874
2021-12-17,130.67,131.185,127.78,127.88,33291
2021-12-20,126.21,126.21,123.07,124.2,29659
2021-12-21,125.18,126.86,124.82,126.405,27925
2021-12-22,126.26,127.33,126.15,126.4,17156
2021-12-23,127.39,127.98,126.81,127.27,23883
2021-12-27,127.57,129.6,127.29,129.51,36473
2021-12-28,130.625,131.16,130.14,130.99,19847
2021-12-29,132.195,132.53,131.565,132.345,23271
2021-12-30,132.43,133.025,131.445,131.53,43743
2021-12-31,131.5,133.02,131.5,132.36,18246
2022-01-03,131.72,131.91,127.92,129.34,48088
2022-01-04,130.8,132.81,130.38,132.38,34083
2022-01-05,132.47,133.33,129.24,129.3,26518
2022-01-06,128.75,129.615,127.89,128.08,27893
2022-01-07,127.99,128.76,126.445,126.58,40202
2022-01-10,125.31,125.37,122.37,125.02,66484
2022-01-11,125.13,127.78,124.35,127.62,33261
2022-01-12,128.68,129.11,127.2,127.53,37725
2022-01-13,129.01,129.91,125.88,126.1,39205
2022-01-14,125.61,125.61,121.875,124.48,36959
2022-01-18,122.9,124.36,122.29,123.85,40132
2022-01-19,124.61,125.21,122.76,122.93,33271
2022-01-20,123.35,124.31,120.63,120.86,30904
2022-01-21,120.5,122.49,119.7,121.43,33312
2022-01-24,119.27,120.14,118.305,120.11,14230
2022-01-25,121.2,121.385,118.75,120.67,38667
2022-01-26,121.73,123.98,119.73,120.41,39939
2022-01-27,121.68,123.32,119.45,120.54,72172
2022-01-28,119.08,121.24,117.91,121.24,51671
2022-01-31,120.26,122.84,119.83,122.71,38213
2022-02-01,123.5,123.5,119.0,120.0,48843
2022-02-02,120.475,121.57,119.2,120.11,36537
2022-02-03,118.88,119.65,115.915,116.12,67199
2022-02-04,115.75,119.89,115.75,119.3,124451
2022-02-07,119.73,122.28,119.575,120.53,73571
2022-02-08,120.88,122.46,120.8,121.71,24803
2022-02-09,122.99,125.38,122.99,125.19,101817
2022-02-10,122.1,123.63,120.065,120.72,72639
2022-02-11,120.915,122.02,118.1,118.96,40878
2022-02-14,119.51,119.79,116.79,118.27,51425
2022-02-15,117.6,119.69,116.99,117.14,144061
2022-02-16,116.52,116.9,113.29,115.185,239071
2022-02-17,114.22,116.8,113.85,114.55,75621
2022-02-18,115.7,115.7,113.4,114.16,31552
2022-02-22,113.82,114.98,112.53,113.535,39319
2022-02-23,114.39,114.39,109.005,109.475,92963
2022-02-24,107.27,111.93,107.22,111.68,137209
2022-02-25,111.615,115.26,111.615,115.01,57995
2022-02-28,114.61,115.08,112.9,114.56,59643
2022-03-01,113.84,115.79,112.28,114.62,64480
2022-03-02,115.545,118.38,115.42,117.32,57465
2022-03-03,118.905,119.115,117.57,117.61,114016
2022-03-04,116.49,117.955,116.225,117.43,120148
2022-03-07,116.98,118.34,114.79,114.8,61910
2022-03-09,113.81,116.09,113.765,114.5,35237
2022-03-10,113.2,114.2,112.06,112.875,34008
2022-03-11,113.69,113.81,111.45,111.58,33877
2022-03-14,111.0,113.57,110.02,111.94,44850
2022-03-15,112.48,114.89,112.03,114.43,34931
2022-03-16,116.41,117.53,114.22,116.44,44474
2022-03-17,115.47,118.65,115.45,117.87,57040
2022-03-18,117.14,118.355,116.15,118.04,50455
2022-03-21,117.48,118.93,116.175,117.29,37896
2022-03-22,117.32,117.97,116.95,117.51,35681
2022-03-23,116.52,116.52,112.95,113.19,46329
2022-03-24,111.68,113.1,111.68,112.52,40123
2022-03-25,112.415,112.695,111.38,112.31,28149
2022-03-28,112.155,113.67,111.52,113.5,24150
2022-03-29,115.48,115.68,113.31,115.0,36680
2022-03-30,114.24,115.75,112.87,113.2,43739
2022-03-31,112.31,113.15,109.78,109.78,29849
2022-04-01,110.3,111.65,109.05,111.57,33962
2022-04-04,111.285,111.65,109.96,111.3,25208
2022-04-05,110.77,111.755,109.77,110.055,34226
2022-04-06,108.025,108.025,106.58,106.95,75584
2022-04-07,106.0,109.06,106.0,108.38,77071
2022-04-08,107.53,108.33,106.005,106.63,38020
2022-04-11,106.87,107.7,106.295,106.51,28865
2022-04-12,107.63,108.33,105.06,105.775,68333
2022-04-13,106.74,108.545,106.65,108.21,76817
2022-04-14,108.565,109.71,107.21,107.37,70687
2022-04-18,108.06,108.19,106.145,106.495,31511
2022-04-19,107.685,109.37,107.47,109.35,25383
2022-04-20,111.2,113.16,111.075,112.54,44341
2022-04-21,113.51,114.59,111.47,112.03,32960
2022-04-22,114.98,116.27,114.115,114.66,146058
2022-04-25,113.73,114.73,111.435,114.73,99070
2022-04-26,113.34,116.82,113.33,114.3,105647
2022-04-27,113.925,116.56,113.07,116.05,163205
2022-04-28,117.34,120.37,115.255,119.195,88759
2022-04-29,118.77,118.81,114.01,114.34,69597
