date,open,high,low,close,volume
2021-07-21,132.95,138.22,132.75,138.0,188708
2021-07-22,136.96,138.725,136.41,137.18,258913
2021-07-23,137.98,139.0,136.63,138.48,140840
2021-07-26,138.35,139.87,137.46,138.43,147098
2021-07-27,137.12,137.445,131.6,134.96,239150
2021-07-28,135.7,137.87,135.21,137.22,128554
2021-07-29,135.66,137.84,133.54,137.49,186805
2021-07-30,136.565,141.39,136.47,139.92,263158
2021-08-02,140.925,145.2,140.905,141.98,225181
2021-08-03,142.585,143.295,140.32,142.24,131765
2021-08-04,143.0,144.61,141.89,142.83,182457
2021-08-05,143.275,143.855,141.17,142.42,141524
2021-08-06,141.92,143.15,141.65,142.6,185532
2021-08-09,143.3,143.67,141.56,142.0,201118
2021-08-10,142.79,142.79,137.34,138.09,349084
2021-08-11,138.43,138.46,132.67,134.72,367507
2021-08-12,132.0,132.0,127.71,129.235,831872
2021-08-13,129.35,130.41,128.62,129.92,323329
2021-08-16,129.17,132.02,129.17,131.66,209439
2021-08-17,130.23,130.8,126.74,128.86,436240
2021-08-18,129.41,131.64,127.18,127.23,290343
2021-08-19,126.29,129.99,125.61,129.23,305346
2021-08-20,130.335,131.95,125.26,127.26,459453
2021-08-23,128.36,131.495,127.975,131.465,198572
2021-08-24,132.175,133.32,130.7,131.45,211897
2021-08-25,131.53,134.19,131.47,132.79,218880
2021-08-26,132.94,133.81,131.62,132.525,127268
2021-08-27,133.06,137.135,133.06,136.53,182431
2021-08-30,137.61,137.88,135.42,136.03,171677
2021-08-31,136.49,136.56,133.73,135.1,301962
2021-09-01,135.745,135.98,133.27,133.37,171871
2021-09-02,134.97,135.95,133.92,134.39,161790
2021-09-03,133.77,136.42,133.35,135.79,136664
2021-09-07,136.5,137.17,133.81,136.505,291054
2021-09-08,135.54,135.63,131.815,133.555,206798
2021-09-09,133.02,135.845,133.01,134.95,312180
2021-09-10,138.28,140.7,136.63,136.83,548218
2021-09-13,138.78,141.165,137.63,139.25,273901
2021-09-14,138.095,141.8,138.03,140.13,355774
2021-09-15,139.9,141.32,137.47,141.31,211945
2021-09-16,140.22,144.61,139.17,144.06,354777
2021-09-17,142.62,142.74,139.395,141.02,245979
2021-09-20,136.39,136.68,133.6,135.59,260779
2021-09-21,137.1,137.1,133.45,135.18,282969
2021-09-22,136.115,138.78,135.64,138.06,347875
2021-09-23,139.25,142.13,138.83,141.13,202930
2021-09-24,139.37,142.335,139.23,141.91,154713
2021-09-27,139.88,143.21,139.88,142.71,226892
2021-09-28,137.5,139.575,132.6,132.88,479047
2021-09-29,133.25,133.92,128.05,128.3,447306
2021-09-30,129.53,130.84,128.56,128.72,190095
2021-10-01,129.12,129.585,126.455,129.07,180927
2021-10-04,127.66,127.74,123.18,125.2,363416
2021-10-05,127.53,129.19,125.51,128.07,263719
2021-10-06,126.3,128.05,125.79,126.51,360376
2021-10-07,128.79,129.94,127.47,127.88,221537
2021-10-08,128.31,128.7,125.915,126.23,370840
2021-10-11,125.7,129.18,125.67,127.475,218581
2021-10-12,128.73,128.83,124.95,126.79,361188
2021-10-13,128.31,129.415,127.54,128.21,222401
2021-10-14,131.9,132.14,129.67,132.11,272368
2021-10-15,132.14,132.76,131.28,131.59,127171
2021-10-18,130.4,133.4,129.87,133.29,120850
2021-10-19,133.59,135.34,132.63,134.65,118536
2021-10-20,133.955,135.11,133.35,133.98,263903
2021-10-21,131.38,133.45,130.52,133.45,278448
2021-10-22,136.62,141.18,134.53,135.91,595007
2021-10-25,136.38,137.82,135.35,135.75,160057
2021-10-26,136.77,136.925,131.68,131.94,711614
2021-10-27,132.915,134.265,131.46,132.13,335118
2021-10-28,134.52,137.79,134.52,135.99,264406
2021-10-29,134.615,137.25,134.615,136.57,221719
2021-11-01,136.78,139.63,136.53,139.56,209508
2021-11-02,139.38,141.46,138.94,141.24,169987
2021-11-03,141.21,143.33,139.925,142.76,142460
2021-11-04,143.31,150.4,142.53,150.15,318508
2021-11-05,150.27,153.7,148.85,153.23,319995
2021-11-08,154.17,154.33,151.4,152.95,146235
2021-11-09,152.885,156.655,151.63,156.29,262225
2021-11-10,153.26,154.9,150.275,150.35,232939
2021-11-11,152.21,154.13,151.36,153.88,156584
2021-11-12,154.655,157.41,154.18,156.83,194076
2021-11-15,156.85,158.13,155.22,156.35,188738
2021-11-16,155.21,158.99,153.76,157.74,222881
2021-11-17,158.17,158.47,155.89,155.91,162695
2021-11-18,158.175,158.91,154.84,158.75,264211
2021-11-19,151.05,156.4,149.79,149.98,769966
2021-11-22,151.18,152.93,147.46,147.535,495992
2021-11-23,148.61,149.92,145.12,149.08,191161
2021-11-24,148.4,149.11,145.81,149.06,171703
2021-11-26,145.585,147.06,142.26,143.44,282845
2021-11-29,146.81,151.55,145.55,151.49,334148
2021-11-30,151.14,151.93,146.47,147.14,215668
2021-12-01,150.905,156.55,149.87,151.45,674654
2021-12-02,148.005,149.85,143.76,146.51,384078
2021-12-03,148.37,150.715,143.42,145.91,350691
2021-12-06,145.86,148.24,141.07,147.23,287032
2021-12-07,150.96,157.97,150.2,156.92,373129
2021-12-08,155.795,157.86,155.25,157.24,199648
2021-12-09,155.91,158.24,152.385,152.56,193162
2021-12-10,155.685,156.8,150.66,152.77,172208
2021-12-13,154.055,154.39,146.745,146.94,183962
2021-12-14,144.94,148.155,144.61,147.85,201405
2021-12-15,147.8,153.87,145.36,153.82,248522
2021-12-16,154.525,155.35,146.295,146.73,316178
2021-12-17,145.34,148.765,144.66,146.24,223864
2021-12-20,143.69,146.66,143.32,145.0,143919
2021-12-21,149.36,151.48,147.04,151.33,201150
2021-12-22,150.05,152.42,148.99,152.3,88284
2021-12-23,153.1,156.42,153.1,155.46,108883
2021-12-27,156.34,162.785,156.33,162.77,156566
2021-12-28,162.78,162.82,158.8,159.58,203021
2021-12-29,159.74,162.955,159.74,160.96,167721
2021-12-30,160.83,160.895,157.66,158.03,125534
2021-12-31,158.41,159.6,157.08,157.3,141785
2022-01-03,157.83,160.63,156.81,159.89,239616
2022-01-04,159.91,161.74,154.56,158.33,320564
2022-01-05,157.735,158.86,153.56,153.65,263703
2022-01-06,153.175,157.33,151.9,156.34,298109
2022-01-07,155.24,157.32,150.68,150.69,279028
2022-01-10,147.595,149.88,143.3,149.74,533127
2022-01-11,148.36,152.64,146.37,152.51,315730
2022-01-12,154.725,159.69,154.725,159.51,496608
2022-01-13,164.13,166.46,156.54,157.21,529915
2022-01-14,156.24,167.05,156.24,167.0,435118
2022-01-18,165.635,165.83,151.69,152.19,614848
2022-01-19,154.29,155.73,142.96,143.03,425280
2022-01-20,145.62,147.29,138.645,139.09,354610
2022-01-21,137.54,141.83,134.67,134.92,505024
2022-01-24,131.51,139.44,129.7,139.315,517023
2022-01-25,134.71,136.325,131.41,132.87,356183
2022-01-26,137.7,141.53,132.85,135.57,551150
2022-01-27,134.37,135.45,129.325,130.16,792932
2022-01-28,129.46,132.48,123.88,132.41,886012
2022-01-31,132.92,138.35,132.08,138.14,412988
2022-02-01,138.705,139.25,133.5,138.64,343296
2022-02-02,140.75,141.245,137.23,140.88,324313
2022-02-03,138.0,141.21,135.14,136.74,387841
2022-02-04,134.755,136.74,131.99,135.64,379027
2022-02-07,136.06,138.23,135.43,136.24,322035
2022-02-08,134.875,139.2,133.555,138.69,219776
2022-02-09,141.65,144.98,139.53,144.2,278661
2022-02-10,140.03,145.08,139.035,139.75,405575
2022-02-11,139.67,140.46,131.31,132.4,361423
2022-02-14,132.82,134.29,129.72,131.82,379975
2022-02-15,134.51,140.35,134.37,139.86,391515
2022-02-16,138.71,141.69,136.96,141.01,353028
2022-02-17,142.74,143.73,134.925,136.33,586734
2022-02-18,136.98,136.98,130.95,133.31,366903
2022-02-22,130.0,135.095,128.5,130.29,313851
2022-02-23,131.96,134.1,127.68,127.86,403818
2022-02-24,123.08,133.62,122.68,133.46,387654
2022-02-25,133.24,136.08,131.81,135.77,268004
2022-02-28,133.74,137.03,132.03,134.18,227389
2022-03-01,133.735,134.965,128.11,129.74,275513
2022-03-02,129.91,134.47,129.685,133.14,240545
2022-03-03,134.79,134.79,129.61,130.68,241071
2022-03-04,128.66,129.45,124.16,125.89,263376
2022-03-07,127.0,127.82,119.14,119.18,330919
2022-03-08,119.67,127.78,118.21,124.12,536617
2022-03-09,127.7,129.8,126.26,128.68,313235
2022-03-10,125.93,126.0,122.77,124.97,189176
2022-03-11,129.85,129.88,123.37,123.51,245205
2022-03-14,124.22,124.71,119.54,120.13,427445
2022-03-15,121.72,124.94,119.885,124.41,363996
2022-03-16,127.34,130.65,125.095,130.41,324218
2022-03-17,129.19,132.16,128.47,131.94,191014
2022-03-18,130.37,135.73,129.89,135.135,338655
2022-03-21,134.1,135.36,131.935,134.21,191048
