date,open,high,low,close,volume
2021-07-21,56.85,56.85,56.28,56.78,25513
2021-07-22,56.95,57.2,56.33,56.83,42582
2021-07-23,56.9,56.95,55.88,56.5,28360
2021-07-26,56.8,57.45,56.75,57.45,35031
2021-07-27,57.25,57.83,56.65,57.6,21839
2021-07-28,57.9,58.22,57.53,57.98,30664
2021-07-29,58.22,58.33,57.93,58.22,13904
2021-07-30,58.15,58.43,57.68,57.83,41191
2021-08-02,58.05,58.6,57.58,57.6,33324
2021-08-03,58.05,58.43,57.25,58.33,32440
2021-08-04,58.22,58.4,57.65,58.0,13589
2021-08-05,58.5,58.85,58.35,58.35,22722
2021-08-06,58.58,59.08,58.53,58.65,16886
2021-08-09,58.5,59.1,58.43,59.08,20011
2021-08-10,59.05,60.08,58.93,59.7,23505
2021-08-11,60.15,60.9,60.05,60.88,32749
2021-08-12,60.4,60.65,59.87,60.2,26006
2021-08-13,60.3,60.72,60.13,60.72,11432
2021-08-16,61.0,61.35,60.2,61.18,22725
2021-08-17,60.85,60.9,60.13,60.55,24868
2021-08-18,60.08,61.47,59.97,60.7,64443
2021-08-19,60.45,62.18,60.45,61.93,31420
2021-08-20,62.1,64.3,61.28,63.95,86391
2021-08-23,63.85,63.9,62.53,63.43,90872
2021-08-24,62.95,63.15,62.25,63.13,52891
2021-08-25,63.18,64.57,62.85,64.02,98657
2021-08-26,63.9,64.22,63.05,63.22,50178
2021-08-27,63.55,64.05,63.55,63.93,15551
2021-08-30,64.05,64.1,63.68,63.93,20594
2021-08-31,64.15,64.35,63.72,64.25,39176
2021-09-01,64.05,64.22,63.22,63.4,38605
2021-09-02,63.5,63.8,63.03,63.7,29521
2021-09-03,63.8,64.0,63.3,63.43,16374
2021-09-07,61.9,62.13,61.08,61.12,34089
2021-09-08,61.22,61.97,61.22,61.65,30668
2021-09-09,61.68,61.83,60.63,60.65,29751
2021-09-10,61.12,62.15,61.12,61.55,35433
2021-09-13,62.02,62.02,61.22,61.58,18046
2021-09-14,61.75,61.83,61.33,61.65,17431
2021-09-15,61.65,62.15,61.5,62.0,32967
2021-09-16,61.78,61.83,60.68,60.7,39110
2021-09-17,60.83,61.0,59.15,59.25,29297
2021-09-20,58.85,59.3,58.3,58.85,41580
2021-09-21,59.15,59.28,58.38,58.45,30619
2021-09-22,58.95,59.18,58.65,58.68,29587
2021-09-23,58.7,59.6,58.7,59.12,21563
2021-09-24,58.75,59.43,58.75,58.95,21287
2021-09-27,58.9,59.7,58.8,59.35,50356
2021-09-28,59.35,59.4,58.27,58.53,37842
2021-09-29,58.85,59.03,58.6,58.68,18259
2021-09-30,58.85,59.03,57.87,57.95,27183
2021-10-01,58.05,58.95,57.45,58.5,24572
2021-10-04,58.35,58.8,57.85,58.2,29211
2021-10-05,58.22,59.23,58.18,58.97,14792
2021-10-06,58.45,58.72,57.7,58.72,32625
2021-10-07,59.0,59.73,58.9,59.15,21229
2021-10-08,59.15,59.18,58.5,58.53,25394
2021-10-11,58.35,58.97,58.08,58.1,13689
2021-10-12,57.85,58.5,57.85,58.15,26662
2021-10-13,58.35,58.48,57.53,58.38,24334
2021-10-14,58.53,59.73,58.5,59.58,15856
2021-10-15,59.9,60.45,59.38,59.8,48879
2021-10-18,59.28,59.8,59.05,59.55,23137
2021-10-19,59.68,60.15,59.33,60.05,32472
2021-10-20,59.95,60.55,59.95,60.22,34246
2021-10-21,60.18,60.37,59.65,60.15,20004
2021-10-22,60.3,61.08,60.3,60.8,21553
2021-10-26,60.37,60.58,59.85,60.13,43069
2021-10-27,60.3,60.63,59.75,60.1,38044
2021-10-28,60.25,60.8,60.05,60.7,35592
2021-10-29,60.77,60.95,60.1,60.35,33047
2021-11-01,60.6,61.1,59.6,59.73,52235
2021-11-02,60.18,60.7,59.63,60.4,52196
2021-11-03,61.4,62.25,60.6,61.5,98283
2021-11-04,61.75,61.8,60.68,60.85,25036
2021-11-05,61.2,61.22,60.28,60.7,44363
2021-11-08,60.7,61.05,60.1,61.0,34580
2021-11-09,60.95,61.8,60.95,61.5,38285
2021-11-10,61.8,62.25,61.38,61.7,32309
2021-11-11,61.7,61.83,61.35,61.73,14020
2021-11-12,61.8,62.2,61.65,61.9,19862
2021-11-15,61.95,62.23,61.68,61.95,13863
2021-11-16,61.8,62.43,61.43,61.55,40507
2021-11-17,61.35,61.35,59.87,60.75,44640
2021-11-18,60.77,60.88,59.68,60.13,19154
2021-11-19,60.15,60.63,59.45,59.55,17258
2021-11-22,59.75,60.15,59.63,59.8,53241
2021-11-23,59.23,59.63,58.62,58.85,25555
2021-11-24,58.45,58.6,58.2,58.35,15486
2021-11-26,57.1,58.15,57.1,57.7,33883
2021-11-29,58.27,58.53,57.85,57.87,54637
2021-11-30,57.65,57.65,56.5,56.5,58897
2021-12-01,57.65,58.38,56.25,56.25,53559
2021-12-02,56.6,57.9,56.6,57.4,41055
2021-12-03,57.4,57.7,56.25,56.55,63419
2021-12-06,57.4,58.25,57.23,57.9,41505
2021-12-07,58.25,58.48,57.87,57.9,25291
2021-12-08,57.95,58.43,57.63,58.05,44500
2021-12-09,57.55,58.15,57.4,57.83,58497
2021-12-10,58.15,58.35,57.65,58.0,16995
2021-12-13,58.08,58.53,57.75,58.4,41732
2021-12-14,58.45,59.23,58.25,58.4,62858
2021-12-15,60.05,60.05,58.7,59.75,37099
2021-12-16,60.18,60.58,59.97,60.15,47252
