date,open,high,low,close,volume
2021-07-21,247.72,252.51,247.705,251.06,19178
2021-07-22,250.515,250.515,246.78,246.82,22156
2021-07-23,248.525,250.68,248.01,248.98,14187
2021-07-26,249.655,252.38,249.26,251.03,28975
2021-07-27,249.095,252.17,248.245,249.47,48940
2021-07-28,251.85,254.205,249.11,252.13,36701
2021-07-29,253.745,260.02,253.6,259.18,77379
2021-07-30,260.39,261.69,257.56,257.69,12886
2021-08-02,259.91,263.12,258.005,258.5,66800
2021-08-03,257.82,260.54,255.13,259.885,50903
2021-08-04,257.915,259.53,255.48,255.48,16552
2021-08-05,256.52,261.65,256.52,261.65,40209
2021-08-06,263.86,266.34,262.62,265.5,28380
2021-08-09,264.7,266.69,264.7,265.54,10557
2021-08-10,265.91,270.33,264.585,268.1,21809
2021-08-11,267.725,272.94,267.725,271.26,30280
2021-08-12,271.07,273.09,269.61,272.8,21872
2021-08-13,273.49,273.49,270.58,272.03,14866
2021-08-16,269.5,272.37,268.45,271.26,14470
2021-08-17,268.15,270.755,265.92,268.79,46848
2021-08-18,267.96,269.115,263.74,263.74,17083
2021-08-19,260.935,263.93,259.035,260.22,24095
2021-08-20,260.7,263.47,260.38,261.54,32052
2021-08-23,264.065,266.275,263.515,265.205,30731
2021-08-24,266.295,268.57,265.4,268.07,9524
2021-08-25,269.2,274.205,268.48,272.56,14165
2021-08-26,272.75,273.32,270.14,270.14,20492
2021-08-27,270.54,276.56,270.54,276.53,42168
2021-08-30,277.49,277.49,272.715,272.86,15974
2021-08-31,271.56,274.25,271.56,272.74,21073
2021-09-01,272.67,273.13,268.84,272.3,33877
2021-09-02,273.67,274.57,272.29,273.78,17149
2021-09-03,273.47,274.92,271.44,272.48,24141
2021-09-07,271.58,273.955,269.9,269.96,38518
2021-09-08,269.42,270.805,267.645,268.95,21386
2021-09-09,268.495,272.94,268.495,269.48,17380
2021-09-10,271.12,271.285,266.74,266.74,25784
2021-09-13,269.74,270.09,266.97,269.67,18363
2021-09-14,269.58,269.58,265.995,266.655,17921
2021-09-15,266.13,272.93,266.13,271.33,25699
2021-09-16,272.805,273.655,269.52,271.4,14681
2021-09-17,271.115,272.51,268.12,269.59,29636
2021-09-20,261.97,262.1,251.66,256.12,46125
2021-09-21,257.915,257.915,252.665,253.66,23355
2021-09-22,255.87,260.63,255.87,259.07,26568
2021-09-23,263.12,270.13,263.12,267.88,22294
2021-09-24,267.25,272.13,267.25,271.42,14112
2021-09-27,276.17,278.44,275.49,277.455,32201
2021-09-28,278.06,278.06,270.97,271.12,13752
2021-09-29,272.955,273.17,269.64,270.79,12673
2021-09-30,272.16,273.15,263.98,263.98,40277
2021-10-01,264.955,270.41,263.035,268.705,50860
2021-10-04,266.99,271.54,263.605,264.72,24819
2021-10-05,266.54,273.77,266.2,272.9,29189
2021-10-06,270.12,273.68,267.175,273.24,39813
2021-10-07,277.25,280.89,276.31,276.48,48149
2021-10-08,276.13,281.58,276.13,279.14,17262
2021-10-11,280.6,283.93,277.365,277.365,26439
2021-10-12,278.83,280.6,277.06,279.75,19675
2021-10-13,278.315,279.27,273.06,278.43,10794
2021-10-14,280.25,285.94,280.25,285.78,32304
2021-10-15,289.1,292.08,287.68,289.93,13981
2021-10-18,288.43,290.24,288.105,289.23,16265
2021-10-19,290.71,293.38,289.495,293.32,9799
2021-10-20,293.05,297.295,292.71,296.8,12677
2021-10-21,297.445,297.78,294.995,295.95,19568
2021-10-22,296.24,298.64,295.77,298.16,30186
2021-10-26,300.13,300.8,297.82,297.82,22163
2021-10-27,299.17,307.46,296.25,296.25,22175
2021-10-28,298.53,303.53,298.53,303.53,33243
2021-10-29,302.355,306.24,301.42,301.99,42094
2021-11-01,303.74,305.86,301.64,305.745,34067
2021-11-02,306.05,309.96,306.0,307.73,27174
2021-11-03,306.29,311.125,305.85,310.25,23675
2021-11-04,308.49,309.29,303.87,306.52,26462
2021-11-05,308.68,309.59,304.92,305.18,26814
2021-11-08,307.495,308.73,306.19,306.98,7160
2021-11-09,305.62,306.88,302.97,305.15,22455
2021-11-10,305.54,307.65,302.4,304.82,12004
2021-11-11,304.82,307.97,304.82,306.08,15659
2021-11-12,305.55,308.95,304.66,308.45,25644
2021-11-15,308.71,310.49,306.93,307.58,12644
2021-11-16,307.965,312.06,305.895,308.5,14939
2021-11-17,308.02,308.02,301.67,302.47,44340
2021-11-18,304.06,304.375,300.32,303.28,25780
2021-11-19,297.63,301.48,295.115,299.77,30753
2021-11-22,301.08,306.155,300.17,301.16,39632
2021-11-23,302.255,304.22,299.81,303.94,29655
2021-11-24,301.6,303.66,299.36,302.35,29125
2021-11-26,290.62,294.63,285.51,291.84,38044
2021-11-29,294.39,294.94,288.42,293.91,23205
2021-11-30,288.83,291.46,285.3,290.07,63564
2021-12-01,296.075,298.6,284.87,284.87,24127
2021-12-02,286.61,297.27,286.61,295.54,24055
2021-12-03,295.835,297.04,286.47,290.19,23533
2021-12-06,292.77,295.975,290.92,293.43,30120
2021-12-07,300.83,302.99,299.94,301.71,20043
2021-12-08,301.415,304.17,298.8,300.26,19682
2021-12-09,298.305,300.225,296.79,297.285,18605
2021-12-10,299.82,299.82,294.11,297.91,51632
2021-12-13,294.42,295.32,291.54,292.71,37542
2021-12-14,292.55,296.06,291.465,292.16,37026
2021-12-15,292.18,298.29,290.57,298.19,22962
2021-12-16,302.375,305.32,299.31,300.24,34754
2021-12-17,295.82,299.63,293.02,294.64,26237
2021-12-20,286.19,286.19,278.86,284.09,26824
2021-12-21,289.0,295.425,288.2,294.525,20629
2021-12-22,295.77,299.66,295.68,298.63,24513
2021-12-23,303.225,303.82,302.205,302.21,8720
2021-12-27,303.94,307.73,303.34,307.59,11959
2021-12-28,307.15,309.33,305.49,305.55,11707
2021-12-29,307.26,308.52,304.585,305.62,16177
2021-12-30,306.64,307.61,301.69,301.91,11851
2021-12-31,302.815,303.19,301.44,301.45,7269
2022-01-03,304.22,305.9,302.715,304.28,32313
2022-01-04,307.26,319.08,307.26,318.14,34980
2022-01-05,322.305,323.17,314.57,315.0,33906
2022-01-06,318.13,319.86,314.65,319.245,38474
2022-01-07,319.3,320.04,316.85,319.3,29334
2022-01-10,320.31,320.31,312.42,318.65,36807
2022-01-11,318.985,326.38,317.1,326.1,23690
2022-01-12,327.9,330.32,326.62,328.145,24117
2022-01-13,330.24,332.37,326.51,327.315,35641
2022-01-14,322.99,328.38,322.99,328.38,64387
2022-01-18,324.345,324.345,316.065,319.17,25559
2022-01-19,319.69,319.69,310.87,311.76,48116
2022-01-20,313.175,318.42,309.09,309.85,26787
2022-01-21,305.67,306.755,298.56,299.55,63326
2022-01-24,291.38,291.75,284.54,290.88,10479
2022-01-25,294.765,301.995,289.18,298.66,42179
2022-01-26,303.23,307.7,295.15,298.74,64603
2022-01-27,307.19,316.77,299.38,303.6,79420
2022-01-28,296.79,298.025,287.34,297.78,51723
2022-01-31,295.93,305.03,295.31,304.68,52774
2022-02-01,305.66,308.83,300.78,308.145,109015
2022-02-02,309.32,313.715,307.27,313.27,40755
2022-02-03,309.235,311.23,303.92,304.14,32653
2022-02-04,304.56,310.885,303.89,308.175,36511
2022-02-07,309.495,314.2,308.61,311.88,19552
2022-02-08,314.32,315.8,312.82,315.41,36941
2022-02-09,318.89,322.68,317.65,319.24,50533
2022-02-10,314.955,323.97,313.66,315.94,53914
2022-02-11,314.0,318.16,302.48,304.24,53728
2022-02-14,303.72,305.94,296.79,300.94,40343
2022-02-15,304.37,310.45,303.085,308.675,43724
2022-02-16,309.64,313.715,308.28,312.3,33157
2022-02-17,305.815,306.165,298.95,299.205,24945
2022-02-18,300.425,304.51,299.57,300.52,41387
2022-02-22,298.975,302.03,294.91,296.87,26706
2022-02-23,299.68,302.14,291.51,291.51,20632
2022-02-24,281.03,289.96,279.15,289.53,49145
2022-02-25,291.75,303.3,291.75,302.77,39335
2022-02-28,294.49,302.48,294.49,300.02,39821
2022-03-01,296.14,296.14,277.47,279.44,64187
2022-03-02,283.675,293.32,283.615,289.81,34979
2022-03-03,291.27,292.43,285.985,290.35,28410
2022-03-04,283.785,284.53,276.67,281.1,34879
2022-03-07,278.0,278.26,264.81,264.93,48153
2022-03-09,273.48,278.985,272.7,274.34,34752
2022-03-10,269.58,273.695,268.3,272.47,26707
2022-03-11,276.945,277.91,271.84,271.95,24051
2022-03-14,275.78,279.48,272.5,273.65,22270
2022-03-15,275.58,279.76,274.9,279.01,38869
2022-03-16,285.95,296.035,285.95,294.63,55263
2022-03-17,290.29,299.9,290.29,299.9,28419
2022-03-18,298.64,301.515,293.79,300.86,42851
2022-03-21,303.67,304.29,296.35,298.74,34377
2022-03-22,301.49,308.05,301.49,307.445,37127
2022-03-23,306.39,308.85,302.99,303.06,36847
2022-03-24,306.27,311.63,304.52,311.63,45055
2022-03-25,312.67,316.05,312.41,314.62,55479
2022-03-28,312.36,314.16,307.96,311.05,38569
2022-03-29,318.28,318.28,310.65,311.88,40547
2022-03-30,311.52,312.31,309.09,310.5,23641
2022-03-31,310.9,311.53,300.37,300.53,53132
2022-04-01,303.46,304.85,295.54,297.58,40300
2022-04-04,299.225,303.26,295.05,297.58,43630
2022-04-05,296.29,300.72,296.29,298.42,40749
2022-04-06,293.75,294.575,290.99,292.26,46797
2022-04-07,291.54,292.04,285.04,289.31,45655
2022-04-08,290.685,295.15,289.82,292.89,29062
2022-04-11,294.75,297.66,290.53,290.765,22270
2022-04-12,290.44,294.755,287.045,288.1,28518
2022-04-13,288.92,292.97,287.79,292.8,20551
2022-04-14,296.04,296.04,290.58,290.7,22684
2022-04-18,289.335,291.11,286.71,290.41,41149
2022-04-19,292.585,298.485,291.69,297.7,31479
2022-04-20,300.8,303.71,300.455,300.82,29029
2022-04-21,303.79,304.65,290.67,291.71,50698
2022-04-22,290.905,290.905,279.96,279.96,49711
2022-04-25,275.33,281.96,272.34,281.82,46982
2022-04-26,270.32,279.39,263.6,264.945,108215
2022-04-27,267.465,269.8,263.275,266.12,48715
2022-04-28,269.4,274.28,265.25,272.99,46343
2022-04-29,269.465,274.715,264.62,265.11,47536
2022-05-02,267.175,269.19,263.47,269.12,69554
2022-05-03,269.92,274.905,269.445,271.99,36030
2022-05-04,273.34,284.18,270.47,283.47,46032
2022-05-05,279.79,280.22,268.13,270.69,40856
2022-05-06,266.15,269.98,262.17,266.46,42671
2022-05-09,262.79,264.96,257.39,259.63,48741
2022-05-10,264.19,264.3,253.895,259.31,76160
2022-05-11,259.88,266.305,255.66,256.21,52117
2022-05-12,254.38,257.08,246.33,250.76,59585
2022-05-13,258.03,262.555,255.895,261.67,66782
2022-05-16,260.47,263.645,257.125,260.43,53876
2022-05-17,265.67,269.6,264.45,269.005,48261
2022-05-18,265.185,266.62,259.24,259.9,39351
2022-05-19,256.16,260.72,253.29,253.96,56742
2022-05-20,257.28,259.035,249.405,256.05,45678
2022-05-23,261.72,264.99,260.02,263.02,34875
2022-05-24,259.79,260.54,253.38,260.49,37105
2022-05-25,260.11,266.765,260.11,265.32,41345
2022-05-26,270.04,275.16,269.75,274.3,23398
2022-05-27,276.27,280.07,275.14,278.24,44911
2022-05-31,276.68,279.14,272.98,276.45,56146
2022-06-01,276.46,277.38,267.47,270.43,29845
2022-06-02,270.9,275.74,268.87,275.5,35385
2022-06-03,273.26,274.14,271.035,271.45,21579
2022-06-06,273.59,277.29,273.3,274.2,29031
2022-06-07,270.79,277.19,270.79,277.19,33801
2022-06-08,274.16,276.43,271.74,272.1,32078
2022-06-09,269.52,271.78,265.69,265.69,32719
2022-06-10,259.61,259.61,251.93,251.96,22741
2022-06-13,243.69,244.72,238.835,240.39,32063
2022-06-14,241.15,244.83,240.805,243.18,43990
2022-06-15,246.97,250.41,243.2,246.36,32061
2022-06-16,238.115,238.115,233.71,235.54,46560
2022-06-17,236.81,239.25,233.42,235.2,54915
2022-06-21,242.05,243.24,239.44,242.19,32642
2022-06-22,239.205,242.62,237.855,241.26,35333
2022-06-23,241.5,241.78,235.84,239.5,42596
2022-06-24,239.565,249.33,239.565,249.33,54656
2022-06-27,250.84,251.6,246.03,247.19,51338
2022-06-28,252.25,252.43,243.65,243.66,39569
2022-06-29,244.215,244.215,239.37,239.86,73735
2022-06-30,235.905,241.135,231.595,237.84,74737
2022-07-01,237.98,241.015,234.205,237.96,39468
2022-07-05,231.63,235.41,229.1,235.36,47353
2022-07-06,236.33,236.36,230.21,233.48,63693
2022-07-07,237.955,238.75,236.37,238.25,25792
2022-07-08,237.95,237.95,234.12,236.48,43143
2022-07-11,234.13,235.21,231.04,231.32,33881
2022-07-12,229.58,235.14,229.58,231.71,44872
2022-07-13,227.01,229.635,223.89,228.09,40692
2022-07-14,220.65,223.875,220.405,223.07,57178
2022-07-15,227.2,231.33,223.17,230.22,29402
2022-07-18,234.62,235.75,229.035,229.96,34139
2022-07-19,234.175,238.795,233.86,237.91,33443
2022-07-20,239.02,242.25,236.96,242.25,36037
2022-07-21,242.14,245.55,238.96,245.33,45795
2022-07-22,247.74,248.28,242.685,245.11,36879
2022-07-25,246.525,247.65,244.93,246.02,25657
2022-07-26,244.12,244.91,239.445,241.455,70292
