date,open,high,low,close,volume
2021-07-21,34.45,35.09,34.45,35.08,171896
2021-07-22,35.23,35.32,34.82,35.02,164182
2021-07-23,35.39,35.5,35.15,35.5,148338
2021-07-26,35.42,35.56,35.22,35.37,182314
2021-07-27,35.24,35.31,34.9,35.21,180108
2021-07-28,35.37,35.82,35.31,35.37,298482
2021-07-29,35.78,36.15,35.74,35.98,383726
2021-07-30,35.83,36.31,35.78,36.24,133622
2021-08-02,36.41,36.53,36.18,36.35,238442
2021-08-03,36.45,36.99,36.45,36.92,501458
2021-08-04,36.82,37.03,36.6,36.8,100602
2021-08-05,36.89,36.95,36.63,36.83,98758
2021-08-06,36.9,36.92,36.72,36.81,102544
2021-08-09,36.73,36.83,36.56,36.7,141742
2021-08-10,36.68,36.89,36.6,36.81,111792
2021-08-11,36.74,36.87,36.67,36.87,120458
2021-08-12,36.88,36.99,36.72,36.95,122888
2021-08-13,36.91,37.06,36.84,36.99,64246
2021-08-16,36.86,37.26,36.83,37.26,86686
2021-08-17,37.06,37.08,36.7,37.06,222838
2021-08-18,36.89,37.31,36.89,36.95,171440
2021-08-19,36.63,37.13,36.61,37.07,134062
2021-08-20,37.04,37.28,36.99,37.28,251648
2021-08-23,37.4,37.7,37.27,37.64,191780
2021-08-24,37.69,37.89,37.63,37.67,336498
2021-08-25,37.76,37.94,37.66,37.9,256576
2021-08-26,37.97,38.02,37.71,37.83,137738
2021-08-27,38.03,38.49,37.96,38.37,175002
2021-08-30,38.38,38.63,38.28,38.47,199396
2021-08-31,38.49,38.49,38.06,38.32,135584
2021-09-01,38.28,38.33,38.08,38.17,226046
2021-09-02,38.34,38.44,38.15,38.42,72294
2021-09-03,38.32,38.54,38.3,38.53,119682
2021-09-07,38.48,38.48,37.98,37.99,111752
2021-09-08,37.87,37.87,37.51,37.78,152408
2021-09-09,37.78,38.0,37.61,37.62,138090
2021-09-10,37.97,38.17,37.66,37.68,120848
2021-09-13,37.92,38.02,37.61,37.96,171772
2021-09-14,38.02,38.05,37.65,37.87,225598
2021-09-15,37.93,38.22,37.82,38.22,149368
2021-09-16,38.07,38.4,37.91,38.23,101132
2021-09-17,38.08,38.21,37.71,37.87,179198
2021-09-20,37.09,37.27,36.8,37.09,206382
2021-09-21,37.19,37.2,36.68,36.92,96138
2021-09-22,37.24,38.13,37.24,37.77,239852
2021-09-23,37.95,38.61,37.95,38.53,188292
2021-09-24,38.47,38.84,38.41,38.74,100314
2021-09-27,38.61,38.84,38.46,38.64,169956
2021-09-28,38.32,38.64,37.8,37.82,385200
2021-09-29,37.93,38.0,37.24,37.28,262308
2021-09-30,37.46,37.6,36.6,36.6,267574
2021-10-01,36.82,37.5,36.54,37.29,196632
2021-10-04,37.15,37.27,36.59,36.77,149446
2021-10-05,36.93,37.52,36.81,37.31,241210
2021-10-06,36.92,37.28,36.6,37.27,134182
2021-10-07,37.73,38.02,37.64,37.8,70698
2021-10-08,37.9,37.96,37.71,37.88,59584
2021-10-11,37.81,37.96,37.53,37.53,84662
2021-10-12,37.62,37.62,36.93,36.99,88420
2021-10-13,37.06,37.27,36.74,37.22,195014
2021-10-14,37.67,38.22,37.5,38.22,57474
2021-10-15,38.37,38.56,38.28,38.53,61382
2021-10-18,38.22,38.87,38.13,38.74,74182
2021-10-19,38.87,39.01,38.67,38.91,106718
2021-10-20,38.92,39.28,38.91,39.17,72038
2021-10-21,39.25,39.85,39.19,39.76,98936
2021-10-22,39.82,40.05,39.54,39.66,87708
2021-10-26,39.55,39.62,39.37,39.38,187678
2021-10-27,38.77,38.84,37.81,37.89,326888
2021-10-28,38.17,38.39,37.67,38.3,233616
2021-10-29,38.1,38.63,38.1,38.39,290500
2021-11-01,38.6,38.82,38.3,38.49,230078
2021-11-02,38.6,39.34,38.52,38.94,152290
2021-11-03,38.81,39.26,38.48,39.18,98206
2021-11-04,39.42,39.56,39.09,39.56,88972
2021-11-05,39.99,40.75,39.95,40.73,266148
2021-11-08,40.94,41.08,40.64,40.83,304422
2021-11-09,40.85,41.15,40.74,41.15,185960
2021-11-10,41.08,41.28,40.83,41.14,163630
2021-11-11,41.21,41.59,41.03,41.41,133806
2021-11-12,41.46,42.19,41.39,42.01,133162
2021-11-15,42.04,42.5,41.84,42.49,279114
2021-11-16,42.43,42.81,42.37,42.51,347042
2021-11-17,42.54,42.61,42.23,42.46,141318
2021-11-18,42.6,42.6,41.99,42.39,109932
2021-11-19,42.51,42.88,42.32,42.57,96326
2021-11-22,42.78,43.01,42.1,42.12,173080
2021-11-23,42.19,42.43,41.88,42.4,147512
2021-11-24,42.22,42.29,41.84,42.15,164008
2021-11-26,41.31,41.42,40.58,40.85,162132
2021-11-29,41.42,41.84,41.19,41.44,145962
2021-11-30,40.95,41.33,40.2,40.27,294990
2021-12-01,41.0,41.44,39.99,40.0,308518
2021-12-02,40.12,41.04,40.02,40.72,145958
2021-12-03,41.03,41.35,40.49,40.84,282974
2021-12-06,41.32,41.6,40.9,41.38,194830
2021-12-07,41.88,42.11,41.69,41.93,165298
2021-12-08,41.91,41.96,41.61,41.79,64214
2021-12-09,41.58,41.75,41.49,41.53,97008
2021-12-10,41.82,42.18,41.7,42.17,194898
2021-12-13,42.1,42.12,41.46,41.79,165330
2021-12-14,41.55,41.65,40.94,41.24,94792
2021-12-15,41.45,42.22,41.2,42.2,123712
2021-12-16,42.39,42.43,41.61,41.78,167556
2021-12-17,41.55,42.02,41.09,41.24,161308
2021-12-20,40.64,40.75,40.04,40.57,155222
2021-12-21,41.18,41.55,40.92,41.53,103748
2021-12-22,41.54,42.03,41.39,41.99,73568
2021-12-23,42.32,42.8,42.32,42.55,69410
2021-12-27,42.7,43.45,42.7,43.45,58054
2021-12-28,43.49,43.66,43.3,43.56,48880
2021-12-29,43.63,44.16,43.62,43.97,90250
2021-12-30,44.05,44.17,43.46,43.51,83212
2021-12-31,43.64,43.89,43.47,43.73,86754
2022-01-03,43.9,43.91,43.2,43.25,159328
2022-01-04,43.38,43.77,43.28,43.39,186332
2022-01-05,43.58,43.58,42.55,42.57,144012
2022-01-06,42.46,42.8,42.43,42.6,201548
2022-01-07,41.59,42.01,40.95,41.07,305278
2022-01-10,40.67,40.96,40.23,40.96,177926
2022-01-11,41.01,41.31,40.49,41.31,220950
2022-01-12,41.51,41.75,41.1,41.45,145962
2022-01-13,41.42,41.57,40.81,40.9,109536
2022-01-14,40.58,41.21,40.44,40.81,151076
2022-01-18,40.26,40.26,39.74,39.92,167118
2022-01-19,40.12,40.42,39.23,39.24,206142
2022-01-20,39.42,39.92,38.9,38.98,299558
2022-01-21,38.75,39.44,38.46,38.52,208392
2022-01-24,37.89,37.97,37.56,37.91,45472
2022-01-25,38.06,38.35,37.31,38.02,647120
2022-01-26,39.44,39.73,37.78,38.19,650026
2022-01-27,38.82,39.16,37.29,37.52,696376
2022-01-28,37.62,38.57,37.12,38.56,302064
2022-01-31,38.64,39.84,38.37,39.8,317886
2022-02-01,39.7,39.9,39.16,39.55,205060
2022-02-02,39.73,40.27,39.62,40.22,248088
2022-02-03,39.83,40.02,39.49,39.52,181590
2022-02-04,39.3,39.79,38.85,39.38,149814
2022-02-07,39.54,39.71,38.88,38.98,258944
2022-02-08,38.95,39.39,38.56,39.32,274894
2022-02-09,39.74,40.24,39.74,39.99,238384
2022-02-10,39.33,39.93,38.52,38.82,232552
2022-02-11,38.87,38.96,37.39,37.59,340090
2022-02-14,37.57,38.09,37.33,37.62,195138
2022-02-15,38.23,38.59,38.15,38.4,173862
2022-02-16,38.1,38.63,37.87,38.48,308508
2022-02-17,38.21,38.26,37.73,37.75,230168
2022-02-18,37.79,38.3,37.7,38.1,290558
2022-02-22,37.85,38.17,37.28,37.48,245106
2022-02-23,37.85,37.85,36.69,36.82,262874
2022-02-24,35.89,37.63,35.87,37.54,308180
2022-02-25,37.53,38.46,37.42,38.42,189712
2022-02-28,37.91,38.19,37.53,38.0,276372
2022-03-01,37.92,37.95,36.77,37.07,234602
2022-03-02,37.33,38.25,37.24,38.08,400840
2022-03-03,38.35,38.49,37.72,38.17,198692
2022-03-04,37.88,38.33,37.49,38.1,180592
2022-03-07,37.99,37.99,36.38,36.41,411642
