date,open,high,low,close,volume
2021-07-21,155.5,156.665,154.28,155.99,27072
2021-07-22,155.59,155.59,153.38,154.405,21795
2021-07-23,156.3,158.05,155.89,157.28,19271
2021-07-26,157.5,159.75,156.74,159.735,26680
2021-07-27,157.28,159.11,156.35,158.87,42096
2021-07-28,159.155,163.42,159.155,162.415,49627
2021-07-29,163.96,167.92,163.96,167.665,88886
2021-07-30,165.75,168.555,165.75,166.81,75268
2021-08-02,167.99,169.79,167.01,167.63,75261
2021-08-03,167.89,169.2,165.82,169.14,21579
2021-08-04,167.87,168.25,165.885,166.12,57118
2021-08-05,156.11,161.75,156.11,159.58,159945
2021-08-06,161.33,164.05,159.18,163.21,47128
2021-08-09,162.42,166.74,162.42,165.35,58700
2021-08-10,166.85,170.455,166.85,169.77,78113
2021-08-11,169.495,169.495,165.81,168.16,44903
2021-08-12,168.03,168.555,165.09,166.51,38644
2021-08-13,166.45,166.62,164.47,164.94,25198
2021-08-16,162.795,164.37,161.665,164.12,43624
2021-08-17,161.43,161.44,155.76,158.35,33632
2021-08-18,157.705,158.72,156.46,156.51,43849
2021-08-19,153.16,153.99,150.19,152.88,65277
2021-08-20,152.93,154.925,151.635,154.675,44946
2021-08-23,156.425,156.77,154.99,155.17,31112
2021-08-24,156.635,158.005,156.635,157.58,69523
2021-08-25,158.25,158.43,156.86,157.245,37482
2021-08-26,157.33,157.49,154.0,154.13,52340
2021-08-27,155.18,157.21,155.18,156.415,43067
2021-08-30,156.41,156.41,153.1,153.1,35594
2021-08-31,153.465,153.82,151.85,152.23,46910
2021-09-01,151.9,152.51,149.305,151.46,68226
2021-09-02,151.92,152.4,150.88,150.99,38747
2021-09-03,149.91,149.98,148.815,149.88,100648
2021-09-07,149.87,151.125,149.29,150.67,68606
2021-09-08,149.655,149.865,145.305,148.06,157336
2021-09-09,147.82,149.18,146.84,148.95,90965
2021-09-10,150.61,151.65,146.44,146.55,60473
2021-09-13,148.57,148.57,146.355,148.28,71351
2021-09-14,149.49,150.81,149.13,149.8,43935
2021-09-15,149.88,154.9,149.88,154.25,89789
2021-09-16,152.46,152.46,147.485,149.19,56057
2021-09-17,147.875,148.7,144.99,146.23,75006
2021-09-20,141.505,143.89,141.01,143.52,74691
2021-09-21,144.135,144.135,141.1,142.34,66522
2021-09-22,144.39,146.36,144.39,145.19,57732
2021-09-23,148.06,153.46,148.06,152.835,56170
2021-09-24,151.91,153.12,150.86,151.01,28994
2021-09-27,149.77,154.695,149.77,154.22,67392
2021-09-28,155.63,156.11,151.95,154.21,73317
2021-09-29,154.86,155.0,150.18,150.71,49072
2021-09-30,151.02,152.38,148.89,148.89,53775
2021-10-01,150.09,152.86,148.2,152.7,53384
2021-10-04,153.91,157.875,153.04,157.77,151061
2021-10-05,156.365,159.33,155.9,158.09,86554
2021-10-06,155.28,157.69,152.18,157.69,86341
