date,open,high,low,close,volume
2021-07-21,195.05,195.885,194.78,194.89,25830
2021-07-22,194.0,194.56,193.19,194.29,22794
2021-07-23,194.86,197.05,194.3,196.94,35866
2021-07-26,196.63,196.98,195.29,196.19,40691
2021-07-27,198.6,202.33,198.6,200.75,64948
2021-07-28,200.62,200.73,198.24,199.07,33289
2021-07-29,200.22,200.42,199.37,199.72,26428
2021-07-30,201.67,203.1,201.01,201.43,92664
2021-08-02,202.48,203.59,202.11,203.06,38095
2021-08-03,203.53,205.14,203.02,204.9,49797
2021-08-04,204.74,206.04,203.8,204.385,18114
2021-08-05,205.29,207.14,205.06,207.14,23733
2021-08-06,207.54,209.32,207.51,208.1,21131
2021-08-09,207.795,209.365,207.27,209.1,18810
2021-08-10,208.97,209.21,204.41,204.53,30805
2021-08-11,205.18,205.25,203.92,204.41,16887
2021-08-12,204.195,204.89,203.67,204.56,25926
2021-08-13,206.04,206.04,204.88,205.33,34509
2021-08-16,205.01,206.25,204.94,205.76,18201
2021-08-17,204.96,207.0,204.96,206.4,29491
2021-08-18,205.32,205.725,204.08,204.43,16476
2021-08-19,203.7,205.52,203.7,205.27,17772
2021-08-20,204.33,208.13,203.55,207.03,19172
2021-08-23,207.82,208.05,206.25,206.3,39099
2021-08-24,206.01,206.035,203.43,204.65,71797
2021-08-25,204.27,205.37,203.82,203.88,55373
2021-08-26,203.345,205.08,203.035,204.62,18625
2021-08-27,205.05,205.7,204.1,204.93,23443
2021-08-30,205.195,206.09,204.54,205.785,25598
2021-08-31,204.69,207.15,204.69,206.395,41736
2021-09-01,206.54,209.65,206.375,208.87,48381
2021-09-02,208.72,208.72,206.38,208.51,56835
2021-09-03,207.89,208.51,206.62,208.38,51795
2021-09-07,207.095,207.5,204.48,205.87,24480
2021-09-08,205.43,208.825,205.43,207.95,32184
2021-09-09,205.96,207.055,202.28,202.28,43277
2021-09-10,202.805,203.22,199.69,199.69,28620
2021-09-13,201.66,201.98,199.42,199.95,25546
2021-09-14,200.37,201.52,198.74,199.38,20333
2021-09-15,199.46,200.07,198.65,198.86,22147
2021-09-16,199.3,199.68,197.61,198.14,32475
2021-09-17,196.495,197.22,193.64,193.81,41998
2021-09-20,193.64,196.515,192.75,195.56,50926
2021-09-21,196.56,197.79,194.91,194.93,21158
2021-09-22,195.06,197.13,195.06,196.45,22239
2021-09-23,197.34,198.06,196.61,196.76,19876
2021-09-24,196.3,196.5,195.165,195.4,11376
2021-09-27,195.26,195.925,192.15,192.19,21807
2021-09-28,191.1,191.875,189.99,191.56,31413
2021-09-29,192.27,193.57,192.08,192.79,32304
2021-09-30,192.755,194.15,190.87,191.05,50728
2021-10-01,192.245,195.02,191.425,194.0,31318
2021-10-04,193.87,195.175,193.7,194.11,17074
2021-10-05,193.43,193.52,192.01,192.24,23349
2021-10-06,191.1,195.14,189.47,195.14,23204
2021-10-07,196.465,196.97,194.805,195.1,17632
2021-10-08,194.14,194.97,192.41,192.59,14452
