date,open,high,low,close,volume
2021-07-21,63.7,64.29,63.16,64.165,14236
2021-07-22,63.76,65.08,63.76,65.07,14426
2021-07-23,65.56,66.515,65.56,66.515,25229
2021-07-26,66.61,67.08,65.89,66.94,14195
2021-07-27,66.85,67.63,66.85,67.51,47164
2021-07-28,67.62,69.125,67.62,68.675,29145
2021-07-29,67.03,71.105,67.03,70.53,47371
2021-07-30,70.37,71.875,70.37,71.525,30481
2021-08-02,72.0,72.16,70.65,70.85,24002
2021-08-03,70.81,72.79,70.56,72.76,28731
2021-08-04,72.59,73.21,72.25,72.625,26320
2021-08-05,73.04,73.63,72.17,73.63,100531
2021-08-06,73.72,73.91,73.21,73.82,29408
2021-08-09,73.755,73.755,72.59,72.705,19588
2021-08-10,73.28,73.47,72.02,72.04,36860
2021-08-11,71.74,72.1,70.86,71.02,40674
2021-08-12,70.855,72.02,70.5,71.87,39898
2021-08-13,72.51,74.54,72.4,74.54,53422
2021-08-16,73.92,74.725,73.81,74.34,57699
2021-08-17,73.07,73.67,72.05,72.45,21086
2021-08-18,72.38,72.49,71.28,71.72,29096
2021-08-19,70.49,71.445,70.15,71.0,37020
2021-08-20,70.82,71.73,70.72,71.13,23446
2021-08-23,71.96,72.6,71.705,72.52,25621
2021-08-24,72.62,73.535,72.62,73.04,18450
2021-08-25,72.99,73.745,72.93,73.405,36511
2021-08-26,73.62,74.81,73.4,74.29,19420
2021-08-27,74.64,75.69,74.64,75.12,16647
2021-08-30,75.34,76.67,75.11,76.15,32366
2021-08-31,76.36,77.48,76.35,77.23,18163
2021-09-01,77.19,78.18,76.55,77.65,20364
2021-09-02,77.945,78.78,77.295,78.78,29396
2021-09-03,78.985,79.53,78.88,79.4,47339
2021-09-07,80.475,80.87,79.3,79.33,56548
2021-09-08,79.23,80.36,78.9,79.93,30282
2021-09-09,80.295,81.075,79.74,79.75,51292
2021-09-10,80.0,80.02,78.88,78.99,33363
2021-09-13,79.48,79.48,78.0,78.72,44738
2021-09-14,78.62,79.075,77.685,78.19,38302
2021-09-15,78.18,79.645,78.18,79.37,23336
2021-09-16,79.65,80.15,78.4,79.93,30601
2021-09-17,79.975,79.975,78.42,78.75,49227
2021-09-20,76.44,77.37,75.325,76.695,25445
2021-09-21,77.74,77.77,76.08,76.41,29746
2021-09-22,76.69,77.19,76.29,76.6,24511
2021-09-23,77.28,77.74,77.07,77.7,45110
2021-09-24,77.1,77.78,76.4,77.25,44243
2021-09-27,76.1,76.54,75.57,75.57,20794
2021-09-28,73.87,74.32,73.15,73.25,26256
2021-09-29,73.615,74.3,72.83,73.72,27442
2021-09-30,74.22,74.88,73.81,73.85,17130
2021-10-01,74.03,75.1,72.57,74.41,35274
2021-10-04,74.38,74.56,72.97,73.265,37595
2021-10-05,73.32,74.82,73.13,74.67,39401
2021-10-06,74.72,76.46,74.02,75.75,38224
2021-10-07,76.48,78.17,76.365,77.22,30049
2021-10-08,77.1,78.4,77.1,77.79,11964
2021-10-11,77.69,77.69,75.99,76.47,14016
2021-10-12,76.975,77.38,76.28,76.64,9227
2021-10-13,76.98,77.335,76.37,77.335,11603
2021-10-14,78.09,78.775,77.035,78.775,21343
2021-10-15,79.59,79.59,76.51,76.71,28289
2021-10-18,76.93,77.75,76.44,76.53,20976
2021-10-19,76.77,78.6,76.77,78.48,25445
2021-10-20,78.89,80.045,78.03,79.57,24304
2021-10-21,80.18,81.0,79.51,80.99,26290
2021-10-22,81.58,81.725,80.52,81.7,24774
2021-10-26,83.91,85.75,83.855,84.45,90650
2021-10-27,82.01,85.08,82.01,82.88,23289
2021-10-28,83.75,86.19,83.68,86.19,29761
2021-10-29,85.78,85.885,84.39,84.745,33428
2021-11-01,84.85,85.225,83.75,83.98,19544
2021-11-02,84.08,84.84,83.34,84.83,29789
2021-11-03,84.48,86.855,84.48,86.54,24549
2021-11-04,86.5,87.31,85.59,86.285,29284
2021-11-05,86.27,86.39,85.26,85.58,10896
2021-11-08,85.91,86.08,84.89,86.08,20430
2021-11-09,86.01,88.11,86.01,87.48,23792
2021-11-10,86.94,87.625,86.475,86.99,26077
2021-11-11,87.59,87.59,85.87,86.03,19858
2021-11-12,86.02,87.13,85.78,86.57,10573
2021-11-15,86.43,86.81,86.28,86.41,12143
2021-11-16,86.28,87.28,86.28,87.18,11582
2021-11-17,86.42,89.34,86.31,88.885,61931
2021-11-18,88.27,89.98,88.24,88.8,16684
2021-11-19,88.88,88.88,88.01,88.34,16409
2021-11-22,89.125,89.15,87.36,87.5,31020
2021-11-23,86.18,86.97,84.5,85.68,23270
2021-11-24,84.53,85.16,84.02,84.41,14349
2021-11-26,83.06,83.59,81.37,82.165,19798
2021-11-29,83.41,83.47,82.24,82.35,39249
2021-11-30,82.29,82.48,80.78,81.25,34081
2021-12-01,83.305,84.46,81.2,81.2,22143
2021-12-02,81.135,84.335,81.135,83.22,21959
2021-12-03,82.79,82.79,79.28,80.0,27678
2021-12-06,79.94,80.975,78.39,80.73,25199
2021-12-07,81.94,83.13,80.38,80.58,20209
2021-12-08,80.27,80.85,79.28,80.3,29893
2021-12-09,80.055,80.65,79.675,79.95,24497
2021-12-10,79.03,79.57,78.07,78.73,25329
2021-12-13,78.08,78.26,77.33,77.765,33401
2021-12-14,76.53,77.48,76.255,76.74,42078
2021-12-15,77.21,77.86,75.73,77.8,19375
2021-12-16,78.74,78.74,75.17,75.41,30413
2021-12-17,74.72,77.275,74.46,76.7,43117
2021-12-20,74.995,74.995,72.93,73.68,15920
2021-12-21,75.72,77.21,75.52,77.02,19924
2021-12-22,77.2,79.065,76.71,79.04,18922
