date,open,high,low,close,volume
2021-07-21,228.93,230.4,227.94,228.2,21137
2021-07-22,226.4,227.115,224.03,224.44,65712
2021-07-23,224.91,226.91,224.185,226.81,47887
2021-07-26,227.455,227.455,225.335,226.15,10862
2021-07-27,225.365,229.17,225.365,228.33,15482
2021-07-28,228.34,229.4,227.28,227.56,22100
2021-07-29,228.38,232.09,228.38,230.04,39250
2021-07-30,230.975,232.66,227.75,227.75,44767
2021-08-02,229.49,231.58,227.66,228.79,35298
2021-08-03,229.235,229.235,226.35,228.81,15861
2021-08-04,228.71,229.56,227.285,227.9,32111
2021-08-05,229.49,229.805,226.77,229.15,24228
2021-08-06,229.445,229.745,228.32,228.89,12424
2021-08-09,228.0,228.58,226.37,227.53,22001
2021-08-10,226.73,226.73,222.745,222.78,35780
2021-08-11,223.62,224.1,221.6,222.085,42688
2021-08-12,222.94,223.635,221.84,222.22,34400
2021-08-13,223.28,225.09,222.36,224.43,24888
2021-08-16,223.79,226.57,223.79,225.075,26573
2021-08-17,223.55,225.29,222.42,224.655,19285
2021-08-18,223.11,224.69,221.85,222.87,9211
2021-08-19,221.53,224.54,220.88,223.86,19106
2021-08-20,222.145,225.68,222.145,224.81,11824
2021-08-23,225.12,225.535,222.3,223.15,10267
2021-08-24,222.625,222.85,220.43,221.91,21155
2021-08-25,221.635,224.285,221.61,222.23,9676
2021-08-26,224.185,224.84,222.625,224.205,22922
2021-08-27,225.9,226.48,224.97,225.615,9140
2021-08-30,225.49,228.36,225.49,228.07,20782
2021-08-31,227.05,229.67,227.05,229.6,20120
2021-09-01,229.58,232.57,228.36,232.57,24459
2021-09-02,232.34,233.18,230.49,233.03,63739
2021-09-03,230.95,233.46,230.06,232.89,24430
2021-09-07,231.145,231.145,226.455,227.47,34899
2021-09-08,226.795,231.73,226.61,230.46,24504
2021-09-09,228.895,229.76,225.99,226.0,25629
2021-09-10,226.295,226.295,223.43,223.51,27231
2021-09-13,225.64,227.12,223.2,223.71,42627
2021-09-14,224.205,225.405,222.905,224.23,22701
