date,open,high,low,close,volume
2021-07-21,47.02,47.92,46.86,47.92,563470
2021-07-22,47.62,47.89,47.45,47.64,608620
2021-07-23,47.84,48.35,47.71,48.32,706050
2021-07-26,48.15,48.36,47.97,48.23,491450
2021-07-27,48.08,48.08,46.79,47.52,685100
2021-07-28,47.72,47.91,47.46,47.79,267180
2021-07-29,47.88,48.57,47.76,48.4,397360
2021-07-30,48.22,48.61,48.0,48.54,441770
2021-08-02,48.83,49.43,48.37,48.49,551300
2021-08-03,48.62,48.76,48.01,48.69,374490
2021-08-04,48.83,48.93,48.4,48.8,575810
2021-08-05,48.95,49.0,48.53,48.79,379550
2021-08-06,48.66,48.79,48.41,48.56,346470
2021-08-09,48.64,48.64,48.13,48.45,196730
2021-08-10,48.61,48.64,47.84,48.23,443310
2021-08-11,48.49,48.57,48.03,48.33,314970
2021-08-12,48.06,48.49,47.7,48.36,626130
2021-08-13,48.29,48.87,48.27,48.63,395840
2021-08-16,48.62,48.86,48.45,48.84,494830
2021-08-17,48.42,48.43,47.46,47.87,794340
2021-08-18,47.6,47.68,46.84,46.87,608960
2021-08-19,46.57,47.58,46.3,47.35,742800
2021-08-20,47.33,47.62,47.06,47.53,401350
2021-08-23,47.57,48.61,47.57,48.2,876600
2021-08-24,48.25,48.29,48.05,48.15,354720
2021-08-25,48.16,48.63,48.16,48.34,372820
2021-08-26,48.29,48.8,48.11,48.58,447450
2021-08-27,48.86,49.62,48.74,49.57,613420
2021-08-30,49.96,50.76,49.85,49.86,1178630
2021-08-31,49.84,49.94,49.31,49.72,827920
2021-09-01,49.68,49.89,49.3,49.32,560290
2021-09-02,49.57,49.57,49.03,49.2,851490
2021-09-03,49.55,50.56,49.54,49.77,1428000
2021-09-07,49.68,49.71,49.1,49.67,563890
2021-09-08,49.9,49.9,48.82,49.44,472140
2021-09-09,49.48,49.86,49.3,49.33,599490
2021-09-10,49.75,50.59,49.75,49.82,679060
2021-09-13,50.13,50.25,49.35,49.91,802740
2021-09-14,50.13,50.52,49.84,50.19,929620
2021-09-15,50.18,51.05,50.0,50.99,887680
2021-09-16,50.61,50.87,50.03,50.73,654270
2021-09-17,50.35,50.69,50.13,50.65,633800
2021-09-20,49.72,50.27,48.86,49.53,1153250
2021-09-21,49.18,49.32,48.71,49.08,696680
2021-09-22,49.49,50.27,49.29,50.08,459380
2021-09-23,50.27,50.72,50.09,50.43,569190
2021-09-24,50.23,50.53,50.1,50.5,416380
2021-09-27,50.17,50.56,49.84,50.49,293330
2021-09-28,49.93,50.08,49.07,49.09,746950
2021-09-29,49.36,49.41,48.77,48.96,621140
2021-09-30,49.32,49.32,48.47,48.5,531860
2021-10-01,48.79,48.86,47.78,48.75,465220
2021-10-04,48.57,48.57,47.28,47.62,828000
2021-10-05,47.58,48.97,47.55,48.51,681080
2021-10-06,48.13,48.93,48.0,48.92,401600
2021-10-07,49.35,49.98,49.35,49.37,421010
2021-10-08,49.5,49.55,49.17,49.28,347250
2021-10-11,49.14,49.95,49.14,49.22,287980
2021-10-12,49.46,49.61,48.26,48.53,564060
2021-10-13,48.13,48.54,47.96,48.53,978250
2021-10-14,49.2,49.91,49.1,49.77,669780
2021-10-15,50.4,50.58,50.13,50.33,797570
2021-10-18,49.94,50.39,49.91,50.36,756720
2021-10-19,50.43,51.07,50.23,51.03,548080
2021-10-20,51.09,51.3,50.86,50.94,579530
2021-10-21,51.01,51.47,50.93,51.45,429560
2021-10-22,51.41,52.12,51.31,51.56,603440
2021-10-25,51.62,52.44,51.52,52.21,560800
2021-10-26,52.52,53.49,52.46,53.42,908750
2021-10-27,53.21,53.6,52.19,52.26,1146390
2021-10-28,52.4,52.98,52.4,52.97,475420
2021-10-29,52.4,53.21,52.4,53.18,519640
