date,open,high,low,close,volume
2021-07-21,166.06,166.26,162.92,163.53,30852
2021-07-22,163.485,164.85,163.25,164.395,32280
2021-07-23,164.71,167.27,164.66,167.25,19575
2021-07-26,166.36,167.04,165.095,166.13,16720
2021-07-27,166.18,170.65,165.77,170.12,38335
2021-07-28,169.25,170.78,168.86,170.5,27113
2021-07-29,170.31,171.16,169.86,170.82,16507
2021-07-30,170.43,172.1,169.96,170.09,32936
2021-08-02,170.165,172.235,170.07,172.14,34085
2021-08-03,172.45,176.62,172.45,175.45,94357
2021-08-04,173.5,176.96,172.79,176.49,53103
2021-08-05,176.69,179.98,176.66,179.79,21089
2021-08-06,179.83,180.385,177.46,177.63,130324
2021-08-09,178.15,178.15,175.61,177.04,127363
2021-08-10,176.405,176.965,175.54,176.02,59690
2021-08-11,176.61,176.765,174.64,175.58,71935
2021-08-12,175.47,177.86,175.435,177.5,60554
2021-08-13,177.52,179.05,177.085,178.91,27742
2021-08-16,178.74,181.58,178.74,181.55,29795
2021-08-17,181.2,181.52,179.54,181.49,37218
2021-08-18,181.325,181.325,179.12,179.89,31073
2021-08-19,179.43,182.38,179.43,181.78,20891
2021-08-20,180.59,184.585,180.5,184.15,60118
2021-08-23,184.435,185.13,181.34,182.22,63709
2021-08-24,181.62,181.62,179.14,180.56,28801
2021-08-25,180.33,181.325,179.58,180.92,19361
2021-08-26,180.69,181.645,179.78,181.21,22833
2021-08-27,181.99,182.28,180.04,180.28,20556
2021-08-30,180.79,182.96,180.79,182.58,23795
2021-08-31,182.39,183.715,181.87,182.2,22219
2021-09-01,181.49,185.15,181.49,184.345,44224
2021-09-02,184.78,186.84,184.705,186.84,19878
2021-09-03,185.79,187.01,184.875,185.08,25214
2021-09-07,185.16,185.34,182.96,183.96,27987
2021-09-08,184.18,189.22,184.07,188.73,17319
2021-09-09,187.465,188.87,186.605,187.55,30358
2021-09-10,186.73,187.09,184.79,184.92,24405
2021-09-13,186.205,186.49,182.68,183.05,27345
2021-09-14,183.52,185.15,183.52,184.87,22523
2021-09-15,184.29,185.42,183.035,183.85,29071
2021-09-16,183.85,184.33,181.17,181.64,25607
2021-09-17,179.98,181.18,177.57,178.06,45342
2021-09-20,176.04,180.54,176.04,179.2,27124
2021-09-21,179.59,180.85,178.35,178.5,26286
2021-09-22,178.64,178.955,176.32,177.63,54231
2021-09-23,177.67,179.27,177.65,177.82,26995
2021-09-24,178.395,178.59,176.26,176.75,23042
2021-09-27,174.49,174.49,170.55,170.67,49611
2021-09-28,170.01,170.01,168.045,168.175,24016
2021-09-29,168.46,171.97,168.46,170.32,43304
2021-09-30,171.21,171.3,168.92,169.29,29496
2021-10-01,168.85,170.08,167.71,168.13,19966
2021-10-04,168.6,171.73,168.34,170.92,26664
2021-10-05,171.72,172.3,170.68,171.55,14157
2021-10-06,171.35,174.18,170.09,174.18,17019
2021-10-07,174.565,175.83,172.26,172.45,16055
2021-10-08,171.31,171.99,169.7,170.97,22585
2021-10-11,170.53,170.57,168.44,168.99,31110
2021-10-12,168.34,170.26,168.05,169.56,13160
2021-10-13,170.08,170.46,168.33,169.42,45620
2021-10-14,170.33,171.65,170.16,171.2,28046
2021-10-15,171.5,171.79,170.49,171.41,13834
2021-10-18,170.73,171.315,169.565,170.18,17383
2021-10-19,172.185,173.395,171.34,172.62,21572
2021-10-20,173.965,175.63,173.38,173.92,19773
2021-10-21,174.75,175.77,173.175,173.49,26326
2021-10-22,173.84,176.38,173.84,175.62,32994
2021-10-26,174.93,176.565,174.86,174.93,11775
2021-10-27,176.1,176.1,173.04,173.23,30142
2021-10-28,173.61,175.4,173.61,175.28,19475
2021-10-29,175.325,176.295,173.41,174.16,34842
2021-11-01,174.61,174.61,171.1,173.65,26363
2021-11-02,175.71,176.71,174.195,176.71,29025
2021-11-03,173.99,173.99,166.27,167.86,93728
2021-11-04,165.89,169.12,165.89,168.76,42490
2021-11-05,169.45,170.525,167.94,169.71,22913
2021-11-08,169.29,169.29,166.605,168.99,19269
2021-11-09,169.2,170.26,168.47,169.46,10765
2021-11-10,169.38,171.93,169.315,171.87,32885
2021-11-11,172.1,172.1,169.48,170.61,25246
2021-11-12,169.8,170.87,169.175,170.75,15727
2021-11-15,171.445,172.81,171.3,172.695,29825
2021-11-16,172.73,172.73,170.35,170.66,41645
2021-11-17,170.505,170.71,168.11,170.71,57744
2021-11-18,171.39,172.7,170.9,171.43,42936
2021-11-19,171.985,173.795,171.3,173.39,34475
2021-11-22,172.91,175.71,171.47,174.58,18394
2021-11-23,174.83,175.66,172.72,173.12,20445
2021-11-24,173.08,173.605,171.49,173.43,15969
2021-11-26,173.33,174.29,170.23,170.54,10864
2021-11-29,171.505,173.87,170.59,173.37,33763
2021-11-30,172.34,174.18,168.53,168.64,45176
2021-12-01,168.38,171.51,166.88,167.78,38687
2021-12-02,168.61,171.38,168.61,170.27,25550
2021-12-03,170.85,171.75,167.92,171.745,36948
2021-12-06,172.19,174.79,171.9,173.81,31984
2021-12-07,173.61,177.43,173.61,176.57,27586
2021-12-08,176.51,178.04,176.49,176.67,22618
2021-12-09,175.26,176.14,174.96,175.83,27209
2021-12-10,176.11,178.13,175.445,176.11,29562
2021-12-13,176.66,182.03,176.66,180.98,32443
2021-12-14,180.71,181.2,178.12,179.19,38202
2021-12-15,181.53,182.34,180.34,182.34,41591
2021-12-16,182.33,183.91,181.95,183.02,32785
2021-12-17,182.365,184.83,182.36,183.16,86703
2021-12-20,181.35,183.21,179.67,182.63,63569
2021-12-21,183.74,183.74,179.245,181.27,37588
2021-12-22,181.54,183.4,180.42,183.4,12473
2021-12-23,183.1,183.38,181.9,182.105,15232
2021-12-27,182.76,184.22,182.18,183.58,20301
2021-12-28,183.8,186.15,183.49,186.15,16582
2021-12-29,186.325,187.7,185.85,187.48,16516
2021-12-30,187.455,188.585,186.42,187.99,11204
2021-12-31,188.04,189.64,187.545,188.89,13053
2022-01-03,188.5,188.5,182.72,183.95,19795
2022-01-04,184.17,184.39,179.43,179.45,54176
2022-01-05,179.01,180.27,177.91,178.09,41784
2022-01-06,177.43,178.65,174.8,175.31,44921
2022-01-07,171.25,174.415,171.25,173.505,66223
2022-01-10,172.29,172.29,167.24,169.9,50966
2022-01-11,169.47,169.47,165.92,168.27,38426
2022-01-12,167.585,169.59,165.53,169.08,25478
2022-01-13,169.22,170.085,167.57,168.05,31282
2022-01-14,167.77,167.77,160.71,163.52,75118
2022-01-18,161.26,163.6,159.71,161.99,50849
2022-01-19,162.14,164.235,160.88,161.08,48128
2022-01-20,160.77,164.645,159.77,162.68,45487
2022-01-21,164.24,165.24,161.28,161.37,41597
2022-01-24,160.82,162.37,159.7,160.4,13283
2022-01-25,157.51,159.85,155.61,156.99,46346
2022-01-26,157.5,159.05,154.705,155.8,67212
2022-01-27,157.07,159.19,155.69,156.15,52771
2022-01-28,155.795,157.81,153.37,157.81,51936
2022-01-31,157.36,161.12,157.27,160.82,64258
