date,open,high,low,close,volume
2021-07-21,170.52,173.615,170.52,172.495,144491
2021-07-22,172.07,173.11,169.08,170.93,104167
2021-07-23,176.71,179.55,172.96,173.2,287506
2021-07-26,173.42,175.265,172.34,172.55,140256
2021-07-27,170.99,175.06,170.01,172.94,175241
2021-07-28,173.04,173.18,169.735,170.05,309577
2021-07-29,171.55,173.8,171.205,171.98,157644
2021-07-30,171.88,173.205,169.825,170.53,127700
2021-08-02,171.2,173.28,168.76,169.29,69161
2021-08-03,169.45,170.135,165.47,169.05,94687
2021-08-04,167.95,170.35,167.5,168.03,59015
2021-08-05,168.92,170.3,168.56,169.63,99048
2021-08-06,170.82,172.79,170.11,171.415,130741
2021-08-09,170.02,171.08,168.87,170.76,66683
2021-08-10,170.57,171.67,168.68,169.49,158916
2021-08-11,169.73,170.72,168.75,170.685,105587
2021-08-12,169.45,170.1,168.025,168.54,135457
2021-08-13,167.82,168.05,165.61,166.13,400010
2021-08-16,164.43,165.895,162.655,165.76,122100
2021-08-17,164.7,166.26,163.44,164.715,115240
2021-08-18,163.69,165.07,162.07,162.13,91916
2021-08-19,160.35,161.07,157.35,158.95,207119
2021-08-20,159.05,159.97,158.1,159.75,135418
2021-08-23,161.17,161.8,160.14,160.4,81395
2021-08-24,160.73,161.89,160.28,161.18,57089
2021-08-25,161.73,167.22,160.59,166.175,208567
2021-08-26,165.96,166.45,164.42,165.49,119773
2021-08-27,165.96,168.88,165.275,168.71,105188
2021-08-30,168.14,168.14,164.26,164.28,84822
2021-08-31,164.03,166.4,163.76,166.01,79820
2021-09-01,166.67,167.21,164.14,164.43,136202
2021-09-02,165.03,165.03,161.14,161.99,156498
2021-09-03,160.88,161.03,158.18,159.29,280534
2021-09-07,158.77,160.65,158.6,159.69,143029
2021-09-08,159.03,159.2,156.805,158.85,132224
2021-09-09,158.77,162.13,158.77,159.43,103232
2021-09-10,161.17,161.41,158.46,158.72,82796
2021-09-13,160.005,161.76,159.75,161.44,137604
2021-09-14,162.79,165.77,158.86,159.42,170495
2021-09-15,160.225,162.28,159.305,161.31,101977
2021-09-16,163.215,164.46,162.31,162.63,108164
2021-09-17,161.84,164.24,161.84,163.985,179718
