date,open,high,low,close,volume
2021-07-21,84.61,84.61,82.7,82.73,57944
2021-07-22,83.13,83.28,81.51,81.7,63943
2021-07-23,81.345,81.35,78.47,79.98,189938
2021-07-26,80.145,81.52,79.43,81.16,67230
2021-07-27,80.96,81.71,80.79,81.09,37638
2021-07-28,81.02,81.46,80.84,81.17,33561
2021-07-29,81.8,82.28,80.86,81.07,32926
2021-07-30,81.26,81.64,80.68,80.86,40958
2021-08-02,80.99,81.665,80.825,81.42,64087
2021-08-03,81.35,81.35,80.04,80.39,53738
2021-08-04,80.09,80.36,78.66,79.01,110443
2021-08-05,79.745,80.96,77.97,80.805,152429
2021-08-06,81.55,86.32,81.55,85.22,198821
2021-08-09,85.26,87.825,85.21,87.31,117614
2021-08-10,87.49,89.61,87.34,88.8,80377
2021-08-11,89.31,90.49,88.62,89.53,213780
2021-08-12,89.23,89.89,88.71,89.47,90828
2021-08-13,89.25,89.57,88.48,88.67,72946
2021-08-16,88.18,89.42,87.92,89.12,82980
2021-08-17,89.25,90.11,88.73,89.38,73893
2021-08-18,89.545,90.93,89.545,90.72,171212
2021-08-19,90.585,92.85,90.585,92.5,113194
2021-08-20,92.9,94.85,92.65,94.65,100650
2021-08-23,94.4,94.92,93.8,94.87,123425
2021-08-24,94.8,95.2,94.18,94.5,62714
2021-08-25,93.97,95.0,93.94,94.68,68108
2021-08-26,94.47,94.63,94.02,94.31,46307
2021-08-27,94.62,94.78,94.2,94.395,45120
2021-08-30,94.7,96.155,94.7,95.7,44788
2021-08-31,95.315,96.185,95.21,95.98,42545
2021-09-01,95.2,96.83,94.6,96.66,48794
2021-09-02,96.85,97.85,96.78,97.85,86893
2021-09-03,97.43,97.88,97.28,97.41,49013
2021-09-07,97.17,97.37,96.29,96.97,69386
2021-09-08,96.62,97.22,96.56,96.66,60604
2021-09-09,95.87,96.36,94.88,95.46,235848
2021-09-10,95.43,95.685,94.66,94.87,156395
2021-09-13,95.325,95.44,93.865,94.06,96098
2021-09-14,94.26,94.28,92.3,92.66,107761
2021-09-15,92.91,94.05,92.45,93.22,71040
2021-09-16,93.05,93.16,92.435,92.775,41676
2021-09-17,92.39,92.43,91.41,92.355,77451
2021-09-20,92.025,92.82,91.92,92.8,87765
2021-09-21,92.48,93.16,92.35,92.52,66169
2021-09-22,92.13,93.285,91.56,92.96,65772
2021-09-23,93.35,93.71,93.06,93.29,59217
2021-09-24,92.905,93.0,92.08,92.29,112348
2021-09-27,92.08,92.13,90.66,90.82,92822
2021-09-28,90.51,90.57,89.45,89.69,74098
2021-09-29,89.71,89.98,89.31,89.74,71761
2021-09-30,90.04,90.8,89.82,89.98,149933
2021-10-01,90.1,90.74,88.48,89.85,93948
2021-10-04,89.82,90.65,89.37,89.83,71856
2021-10-05,89.63,92.0,89.63,91.5,48978
2021-10-06,91.68,92.74,91.17,92.49,112237
2021-10-07,92.67,93.25,91.755,91.92,53907
2021-10-08,92.26,92.505,91.145,91.4,63009
2021-10-11,91.57,91.87,90.97,90.995,35851
2021-10-12,90.98,91.36,90.21,90.47,45640
2021-10-13,90.97,91.47,90.22,90.73,51689
2021-10-14,89.69,92.19,89.28,92.07,54011
2021-10-15,92.32,92.51,91.085,91.31,48027
2021-10-18,90.66,90.66,90.07,90.12,36542
2021-10-19,89.98,90.66,89.68,90.66,46952
2021-10-20,91.43,92.65,91.18,92.62,118343
2021-10-21,92.66,93.285,92.25,93.07,91159
2021-10-22,92.84,93.54,92.12,92.21,115130
2021-10-26,87.74,89.7,87.04,89.07,78051
2021-10-27,89.74,91.65,89.67,91.46,117227
2021-10-28,91.66,93.065,91.32,91.83,86079
2021-10-29,91.41,92.36,91.1,91.47,39326
2021-11-01,91.25,93.305,91.1,92.88,76325
2021-11-02,92.8,93.53,91.775,93.2,96621
2021-11-03,93.72,94.405,93.19,94.14,78464
2021-11-04,92.0,92.2,90.0,91.44,148371
2021-11-05,91.66,92.37,90.47,90.47,72261
2021-11-08,91.07,91.565,90.02,91.09,74681
2021-11-09,91.08,92.76,91.0,91.31,89182
2021-11-10,91.18,91.84,90.815,91.34,97251
2021-11-11,91.48,91.745,91.01,91.67,136835
2021-11-12,92.75,94.06,92.72,93.59,214373
2021-11-15,93.78,95.98,93.76,95.87,125332
2021-11-16,95.88,97.59,95.88,96.89,56805
2021-11-17,96.88,96.88,94.75,95.03,109748
