date,open,high,low,close,volume
2021-07-21,80.725,80.75,79.555,80.25,73835
2021-07-22,80.48,80.68,80.08,80.49,37928
2021-07-23,80.685,81.3,80.58,81.15,56616
2021-07-26,80.58,81.075,80.22,80.755,79458
2021-07-27,80.74,83.095,80.74,82.11,123380
2021-07-28,82.025,84.38,81.345,82.0,223791
2021-07-29,78.85,79.72,77.32,77.35,372113
2021-07-30,77.11,78.0,76.4,77.34,553275
2021-08-02,77.9,77.96,76.85,77.18,133567
2021-08-03,76.89,76.915,76.0,76.25,160432
2021-08-04,76.23,76.35,74.98,75.12,140070
2021-08-05,74.96,74.96,73.61,74.46,233071
2021-08-06,74.73,75.21,74.6,74.83,309571
2021-08-09,74.83,74.83,73.94,74.01,94333
2021-08-10,74.22,74.32,73.77,73.85,110142
2021-08-11,74.0,74.365,73.845,73.995,165144
2021-08-12,74.12,74.235,73.545,73.86,79574
2021-08-13,73.73,74.75,73.58,74.52,182948
2021-08-16,74.71,75.815,74.65,75.675,199408
2021-08-17,75.775,76.16,75.51,75.92,185388
2021-08-18,76.08,76.08,75.26,75.26,225358
2021-08-19,75.19,75.58,74.83,75.025,115126
2021-08-20,74.785,75.59,74.74,75.16,112932
2021-08-23,75.35,75.37,74.61,74.8,71174
2021-08-24,74.82,75.03,74.39,74.52,75302
2021-08-25,74.3,74.3,73.62,73.8,180235
2021-08-26,73.7,73.985,73.12,73.745,218394
2021-08-27,73.98,74.37,73.83,73.97,336424
2021-08-30,74.54,76.7,74.395,76.0,1110911
2021-08-31,75.91,76.36,75.34,76.24,562250
2021-09-01,76.285,77.87,75.91,77.62,126645
2021-09-02,80.79,82.94,80.22,81.08,489092
2021-09-03,80.935,83.145,80.82,82.715,289046
2021-09-07,82.32,83.75,82.0,83.35,233645
2021-09-08,83.17,83.89,82.7,82.76,141489
2021-09-09,82.68,82.7,81.39,81.7,119436
2021-09-10,81.815,81.83,80.71,80.93,132452
2021-09-13,81.91,81.91,80.335,80.66,77979
2021-09-14,80.83,81.78,80.61,81.78,113981
2021-09-15,81.45,84.165,81.45,83.58,231022
2021-09-16,83.4,83.82,82.325,83.24,83370
2021-09-17,82.82,83.625,82.77,83.61,124018
2021-09-20,82.94,83.17,81.93,82.3,119639
2021-09-21,82.53,83.18,81.96,81.96,67548
2021-09-22,81.99,82.39,81.03,81.045,69689
2021-09-23,81.02,81.38,80.735,80.79,138184
2021-09-24,80.77,81.07,80.54,80.85,83495
2021-09-27,80.5,80.845,79.93,80.57,110137
2021-09-28,80.12,80.97,80.09,80.7,125420
2021-09-29,81.1,82.28,80.865,81.81,164737
2021-09-30,82.035,82.52,80.42,80.42,141953
2021-10-01,80.565,81.66,79.76,81.265,194943
2021-10-04,81.13,81.51,79.82,80.37,123357
2021-10-05,80.78,82.19,80.49,80.86,99743
2021-10-06,80.47,80.925,79.67,80.85,94094
2021-10-07,81.19,81.88,80.5,80.58,113853
2021-10-08,80.685,81.03,80.005,80.18,75011
2021-10-11,79.885,80.05,78.85,78.95,58223
2021-10-12,78.75,79.025,78.28,78.73,71914
2021-10-13,79.015,79.21,78.51,78.82,40385
2021-10-14,79.6,79.92,79.39,79.92,98802
2021-10-15,79.88,80.34,79.68,79.7,77127
2021-10-18,79.25,79.25,77.96,78.185,75592
2021-10-19,78.42,79.73,78.4,79.69,122261
2021-10-20,79.935,81.7,79.935,81.25,112874
2021-10-21,81.76,81.76,80.8,81.44,41570
2021-10-22,81.68,82.225,81.59,82.19,53999
2021-10-26,81.52,82.1,81.215,81.79,58277
2021-10-27,82.22,82.365,81.765,81.94,159962
2021-10-28,82.2,84.3,78.36,78.61,430243
2021-10-29,78.17,79.35,77.6,78.955,299252
2021-11-01,79.0,80.145,78.89,79.82,179987
2021-11-02,79.9,80.82,79.38,80.27,80642
2021-11-03,80.25,80.92,79.59,80.05,80411
2021-11-04,79.91,80.19,77.85,78.31,96540
2021-11-05,78.06,79.28,77.77,78.04,145551
2021-11-08,78.25,79.08,78.08,78.74,91036
2021-11-09,78.4,78.63,77.57,77.69,51189
2021-11-10,77.9,79.14,77.9,79.01,97339
2021-11-11,79.12,79.34,78.675,79.14,63203
2021-11-12,79.42,79.69,79.06,79.47,39756
2021-11-15,79.41,79.58,78.7,79.55,98848
2021-11-16,79.315,79.95,79.28,79.28,88789
2021-11-17,78.95,80.14,78.79,79.58,62666
2021-11-18,79.83,79.83,79.09,79.12,78194
2021-11-19,79.275,79.61,78.78,79.23,111917
2021-11-22,79.44,79.91,78.82,79.28,102610
2021-11-23,78.98,79.02,78.07,78.4,72453
2021-11-24,78.525,78.72,77.43,77.64,98861
2021-11-26,77.635,77.89,76.075,76.35,70669
2021-11-29,76.66,76.88,76.0,76.03,72014
2021-11-30,75.8,76.1,74.35,74.58,89752
2021-12-01,74.95,76.61,74.52,75.08,111900
2021-12-02,74.92,76.6,74.81,76.24,98018
2021-12-03,76.72,78.135,76.54,78.05,104309
2021-12-06,78.44,80.6,78.25,79.23,209077
2021-12-07,79.57,80.92,79.46,79.865,125744
2021-12-08,80.24,80.95,79.82,80.61,99636
2021-12-09,80.435,81.27,79.92,80.55,96779
2021-12-10,80.66,81.23,80.43,80.85,47369
2021-12-13,80.97,83.765,80.87,83.18,132621
2021-12-14,83.34,83.6,82.31,82.52,132842
2021-12-15,83.035,83.035,81.61,82.72,79460
2021-12-16,82.355,84.07,82.22,83.91,140726
2021-12-17,84.28,85.085,83.31,83.66,100045
2021-12-20,83.11,83.24,81.905,82.5,109305
2021-12-21,82.98,84.35,82.78,83.87,66104
2021-12-22,84.06,85.385,83.53,85.32,81985
2021-12-23,85.65,86.08,85.42,85.55,81798
2021-12-27,86.065,86.66,85.56,86.63,26939
2021-12-28,86.5,87.08,86.46,86.76,64667
2021-12-29,86.79,87.42,86.79,87.19,89264
2021-12-30,87.24,87.48,86.38,86.45,68457
2021-12-31,86.31,86.665,85.83,85.83,46429
2022-01-03,85.52,86.93,85.34,86.93,59932
2022-01-04,86.865,88.005,86.61,87.99,99717
2022-01-05,88.035,88.9,87.84,87.86,217774
2022-01-06,87.96,88.18,86.76,86.78,58564
2022-01-07,87.44,87.98,87.26,87.45,73340
2022-01-10,87.34,87.56,85.945,86.315,140066
2022-01-11,86.46,86.46,84.81,86.37,79205
2022-01-12,85.885,86.83,85.62,86.44,85838
2022-01-13,86.195,86.69,85.48,85.86,99717
2022-01-14,85.605,85.82,84.32,85.74,122323
2022-01-18,85.61,86.3,85.215,85.88,143031
2022-01-19,86.205,86.35,85.23,85.61,88641
2022-01-20,85.76,87.56,85.76,85.99,111280
2022-01-21,86.21,86.78,85.585,86.29,105834
2022-01-24,85.48,85.7,84.81,85.355,24742
2022-01-25,84.86,85.89,83.93,85.08,133411
2022-01-26,85.0,85.515,83.96,84.24,115018
2022-01-27,84.755,86.13,84.06,84.63,127242
2022-01-28,84.64,85.35,83.18,85.3,145624
2022-01-31,85.27,85.545,84.445,85.43,157300
2022-02-01,85.29,85.52,83.79,84.955,153217
2022-02-02,84.69,85.655,83.98,85.54,191705
2022-02-03,85.66,86.19,85.03,86.16,182836
