date,open,high,low,close,volume
2021-07-21,111.08,111.68,110.08,110.8,86293
2021-07-22,110.98,110.98,108.77,109.97,48185
2021-07-23,111.35,113.6,111.29,113.25,90758
2021-07-26,113.38,115.53,113.38,114.85,181574
2021-07-27,114.375,114.705,113.2,114.37,70999
2021-07-28,114.18,114.18,112.1,113.1,65140
2021-07-29,113.72,114.79,113.22,114.26,68077
2021-07-30,113.425,114.75,112.205,112.36,82163
2021-08-02,112.75,113.38,112.35,112.43,67298
2021-08-03,113.07,115.12,112.99,114.62,47811
2021-08-04,114.155,114.55,113.03,113.295,66284
2021-08-05,114.2,116.365,114.2,115.38,140835
2021-08-06,115.39,116.28,114.83,114.845,63847
2021-08-09,114.635,114.635,111.61,112.49,68715
2021-08-10,112.395,115.03,112.14,115.03,55833
2021-08-11,115.47,119.11,115.37,118.07,166791
2021-08-12,118.83,119.255,117.25,118.1,44632
2021-08-13,117.595,117.595,113.7,113.73,96014
2021-08-16,113.24,115.9,112.34,115.35,72642
2021-08-17,113.5,113.755,109.73,110.7,114934
2021-08-18,110.815,114.07,110.06,110.1,131371
2021-08-19,108.95,110.71,108.795,109.69,73784
2021-08-20,109.69,113.49,109.51,112.57,88079
2021-08-23,113.25,114.53,112.06,112.11,170499
2021-08-24,117.59,123.96,116.5,121.53,503894
2021-08-25,122.21,124.78,120.17,121.87,123649
2021-08-26,121.35,121.41,117.96,118.13,159157
2021-08-27,118.09,118.85,117.26,117.48,74096
2021-08-30,117.94,119.38,117.62,118.32,104622
2021-08-31,118.975,119.06,116.21,116.47,135055
2021-09-01,115.65,117.31,114.23,116.76,172210
2021-09-02,117.0,117.37,115.83,116.22,73990
2021-09-03,115.42,115.8,113.87,113.99,128940
2021-09-07,113.99,114.32,111.23,111.5,133958
2021-09-08,110.85,111.43,109.95,111.005,199761
2021-09-09,110.54,113.01,110.29,112.34,120486
2021-09-10,112.93,113.66,111.22,111.3,72723
2021-09-13,111.755,112.76,110.36,112.08,87414
2021-09-14,112.39,112.43,110.06,110.16,79065
2021-09-15,109.91,109.91,108.75,109.23,67758
2021-09-16,109.15,110.09,108.85,109.58,70560
2021-09-17,109.415,111.1,109.21,109.62,77339
2021-09-20,107.7,109.27,105.33,106.64,70476
2021-09-21,107.19,108.12,106.0,106.9,86771
2021-09-22,107.79,108.5,106.56,106.83,50299
2021-09-23,107.48,107.91,106.13,106.13,84172
2021-09-24,106.1,106.12,104.235,104.75,98005
2021-09-27,105.75,110.835,105.72,110.16,202467
2021-09-28,111.155,111.75,107.44,109.38,142866
2021-09-29,109.78,110.29,108.255,109.45,84685
2021-09-30,108.3,108.515,105.37,105.73,228060
2021-10-01,106.52,106.8,103.45,105.32,60229
2021-10-04,104.91,106.86,104.91,105.58,81251
2021-10-05,106.06,107.71,105.745,106.32,92960
2021-10-06,105.76,106.76,104.8,105.74,108184
2021-10-07,107.765,109.22,107.38,107.53,102069
2021-10-08,108.28,110.31,107.1,107.24,48250
2021-10-11,107.34,109.83,107.28,108.87,86600
2021-10-12,109.475,110.53,108.87,109.35,58426
2021-10-13,109.46,111.4,108.125,110.78,71331
2021-10-14,111.13,113.05,110.31,112.63,95002
2021-10-15,113.715,114.67,113.19,113.61,146207
2021-10-18,113.51,116.38,113.51,115.6,114790
2021-10-19,116.45,116.61,113.915,113.92,81491
2021-10-20,114.73,115.38,114.03,114.48,77347
2021-10-21,114.5,117.65,114.47,117.63,64630
2021-10-22,117.59,118.5,116.95,118.38,73696
2021-10-26,121.49,123.6,121.2,121.24,270535
2021-10-27,121.4,122.14,118.67,118.72,48337
2021-10-28,119.57,121.42,119.57,121.18,67009
2021-10-29,120.62,123.46,120.58,122.22,63439
2021-11-01,123.43,124.2,122.7,123.88,55459
2021-11-02,123.39,124.61,123.02,123.76,86042
2021-11-03,124.175,125.97,123.81,125.135,65031
2021-11-04,125.89,128.8,125.66,128.65,83713
2021-11-05,129.875,130.5,128.38,129.06,76835
2021-11-08,128.81,130.36,128.405,130.06,112618
2021-11-09,129.66,133.26,129.66,132.925,79891
2021-11-10,132.67,133.37,131.165,131.24,67075
2021-11-11,131.74,133.53,131.37,132.85,79015
2021-11-12,133.27,136.74,133.27,135.64,91976
2021-11-15,136.36,136.75,131.81,132.36,134789
2021-11-16,132.77,135.57,132.45,134.95,64814
2021-11-17,134.3,135.24,132.27,132.83,82579
2021-11-18,134.755,136.015,133.85,135.59,90389
2021-11-19,135.775,137.53,135.08,136.24,75841
