date,open,high,low,close,volume
2021-07-21,67.01,67.235,66.565,67.15,235403
2021-07-22,67.2,67.99,66.93,67.955,337764
2021-07-23,68.0,68.525,67.83,68.33,205649
2021-07-26,68.22,68.32,67.5,67.68,320247
2021-07-27,67.22,67.715,67.1,67.48,357777
2021-07-28,67.295,68.99,67.07,68.72,302343
2021-07-29,68.96,69.26,68.05,68.16,295509
2021-07-30,68.15,68.465,67.5,67.88,251730
2021-08-02,68.2,68.675,67.96,68.02,173264
2021-08-03,68.12,69.33,68.05,69.3,180403
2021-08-04,68.91,69.33,68.48,68.48,189336
2021-08-05,68.67,68.67,67.98,68.425,156636
2021-08-06,68.375,68.375,67.755,68.1,217766
2021-08-09,68.3,68.3,67.22,67.345,285898
2021-08-10,67.5,67.555,66.78,67.38,392528
2021-08-11,67.545,67.71,66.76,66.86,154344
2021-08-12,66.78,67.21,66.675,66.94,205006
2021-08-13,66.99,67.815,66.99,67.51,162992
2021-08-16,67.68,68.7,67.52,68.7,234682
2021-08-17,68.53,69.15,68.32,68.98,243003
2021-08-18,68.95,69.05,67.865,67.95,186337
2021-08-19,67.62,69.095,67.61,68.525,269881
2021-08-20,68.48,69.345,68.31,69.205,349789
2021-08-23,69.26,69.74,68.885,68.93,134527
2021-08-24,68.54,68.75,68.21,68.515,139516
2021-08-25,68.21,68.21,67.33,67.605,188688
2021-08-26,67.6,67.74,66.96,66.995,145531
2021-08-27,67.06,67.19,66.58,66.59,193533
2021-08-30,66.74,67.475,66.53,67.21,149127
2021-08-31,67.05,67.63,66.78,66.85,175512
2021-09-01,67.16,67.16,65.44,65.8,286821
2021-09-02,65.94,66.11,65.5,66.11,238298
2021-09-03,65.92,65.92,65.3,65.605,213186
2021-09-07,65.5,65.515,64.67,65.2,286324
2021-09-08,64.7,65.125,64.05,64.91,326208
2021-09-09,64.46,64.745,63.465,63.58,277270
2021-09-10,63.605,63.82,62.975,63.135,227546
2021-09-13,63.39,63.475,62.57,62.835,199865
2021-09-14,62.98,63.075,61.975,62.1,231932
2021-09-15,62.02,62.465,61.85,61.99,257535
2021-09-16,62.0,62.0,60.66,61.215,456138
2021-09-17,60.53,61.415,60.37,61.33,356267
2021-09-20,60.61,61.37,60.155,60.49,256040
2021-09-21,60.55,61.13,60.32,60.325,179744
2021-09-22,60.5,60.66,60.06,60.15,251423
2021-09-23,60.31,61.335,60.28,60.62,167694
2021-09-24,60.535,61.09,60.175,60.225,162369
2021-09-27,60.11,60.71,59.795,59.85,187831
2021-09-28,59.82,60.21,59.4,59.86,255674
2021-09-29,59.94,60.935,59.94,60.62,265964
2021-09-30,60.11,60.57,59.16,59.165,285012
2021-10-01,59.34,59.75,58.68,59.48,191895
2021-10-04,59.38,60.01,58.855,58.93,286258
2021-10-05,58.99,59.675,58.95,59.12,569806
2021-10-06,59.16,59.23,58.62,59.18,213956
2021-10-07,58.85,59.335,58.38,58.975,401341
2021-10-08,58.89,58.9,56.805,57.235,952646
2021-10-11,57.29,57.75,57.015,57.445,402851
2021-10-12,57.46,58.61,56.825,57.06,262778
2021-10-13,57.08,57.38,56.66,57.07,216873
2021-10-14,57.06,58.14,57.06,57.7,306166
2021-10-15,58.04,58.69,57.94,58.355,362958
2021-10-18,58.06,58.085,56.935,56.94,430622
2021-10-19,57.07,57.635,57.06,57.59,189178
2021-10-20,57.95,58.595,57.91,58.08,352500
2021-10-21,57.99,58.03,57.375,57.815,144620
2021-10-22,57.81,58.08,57.445,57.6,151503
2021-10-26,57.97,58.335,57.655,58.23,231965
2021-10-27,58.33,58.41,56.15,56.53,767781
2021-10-28,56.54,57.73,56.44,57.105,643007
2021-10-29,57.19,58.565,57.185,58.4,288587
2021-11-01,58.405,59.21,58.34,58.7,273333
2021-11-02,58.86,59.625,58.32,58.63,465363
2021-11-03,58.46,59.47,58.43,59.37,343616
2021-11-04,59.39,59.665,58.62,59.245,279819
2021-11-05,59.08,59.85,58.79,59.44,204244
2021-11-08,59.82,60.2,59.07,59.395,196542
