date,open,high,low,close,volume
2021-07-21,49.78,50.48,49.605,50.04,173404
2021-07-22,49.905,50.045,49.525,49.795,155358
2021-07-23,50.155,50.54,49.69,49.945,161217
2021-07-26,49.6,50.465,49.6,50.215,128803
2021-07-27,49.53,50.825,49.49,50.185,136107
2021-07-28,50.43,50.865,49.925,50.355,174731
2021-07-29,50.785,51.75,50.61,51.29,163479
2021-07-30,51.095,51.68,50.99,51.345,134361
2021-08-02,51.64,52.55,51.215,51.24,316272
2021-08-03,51.52,52.3,50.81,52.0,166196
2021-08-04,51.315,52.05,51.25,51.505,143962
2021-08-05,51.91,52.24,51.59,51.8,157154
2021-08-06,52.45,53.51,52.45,53.17,231157
2021-08-09,52.9,53.71,52.74,53.36,131251
2021-08-10,53.18,54.015,53.18,53.83,141896
2021-08-11,54.03,54.86,53.83,54.75,203347
2021-08-12,54.715,55.02,54.43,54.88,138765
2021-08-13,54.83,54.99,53.775,53.87,240216
2021-08-16,53.49,54.35,53.2,54.28,127502
2021-08-17,53.8,54.325,53.45,53.795,136549
2021-08-18,53.35,54.53,53.35,53.51,151319
2021-08-19,52.95,53.27,52.54,52.735,201802
2021-08-20,52.45,53.5,52.45,53.32,146652
2021-08-23,53.65,54.39,53.65,54.03,123992
2021-08-24,54.285,54.86,54.285,54.525,119451
2021-08-25,54.53,55.96,54.53,55.57,170459
2021-08-26,55.55,55.87,55.42,55.475,142104
2021-08-27,55.5,56.5,55.5,56.42,158085
2021-08-30,56.24,56.265,55.155,55.18,63637
2021-08-31,55.375,55.52,54.89,55.21,79165
2021-09-01,55.29,55.29,54.195,54.4,129246
2021-09-02,54.52,54.64,54.07,54.3,114776
2021-09-03,54.445,54.48,53.715,53.92,115524
2021-09-07,53.925,53.925,53.01,53.13,190779
2021-09-08,52.985,53.08,52.535,52.97,144325
2021-09-09,52.88,53.65,52.8,52.89,189565
2021-09-10,53.16,53.22,51.86,51.93,196166
2021-09-13,52.37,52.59,51.82,52.235,99544
2021-09-14,52.25,52.3,50.88,51.13,138822
2021-09-15,51.24,52.165,51.05,52.06,152349
2021-09-16,52.23,52.43,50.98,51.36,221843
2021-09-17,51.4,51.42,50.47,51.15,186328
2021-09-20,49.79,49.925,48.75,49.6,174569
2021-09-21,49.795,49.88,49.14,49.305,69107
2021-09-22,49.96,50.38,49.81,49.93,96007
2021-09-23,50.49,51.985,50.485,51.49,120735
2021-09-24,51.395,52.12,51.395,51.54,114692
2021-09-27,52.04,53.77,52.04,53.39,153736
2021-09-28,53.505,54.28,52.815,52.905,200481
2021-09-29,52.86,52.97,52.385,52.635,73832
2021-09-30,52.765,53.17,51.845,51.845,95056
2021-10-01,51.93,53.34,51.85,52.94,74544
2021-10-04,52.81,53.865,52.685,52.85,120817
2021-10-05,53.13,54.72,53.1,54.41,95546
2021-10-06,53.91,54.77,53.55,54.545,108571
2021-10-07,55.075,55.41,54.405,54.53,205101
2021-10-08,54.81,56.13,54.68,55.825,106856
2021-10-11,56.17,56.635,55.5,55.54,120196
2021-10-12,55.535,56.04,55.325,55.515,117507
2021-10-13,55.48,55.61,54.51,55.24,156701
2021-10-14,55.93,56.61,55.51,56.57,263375
2021-10-15,57.2,57.69,56.76,57.18,99904
2021-10-18,57.08,57.985,57.08,57.42,129081
2021-10-19,55.99,57.675,55.53,57.675,214394
2021-10-20,57.76,59.65,57.76,59.3,143044
2021-10-21,59.18,60.06,59.16,59.745,108901
2021-10-22,60.06,60.45,59.53,59.71,186873
2021-10-26,59.59,59.59,58.945,59.095,174240
2021-10-27,58.665,59.45,58.38,58.445,101299
2021-10-28,58.67,59.51,58.67,59.45,108560
2021-10-29,59.16,59.74,59.05,59.18,211465
2021-11-01,59.84,60.05,59.49,60.05,92568
2021-11-02,59.86,60.425,59.8,59.935,69150
2021-11-03,59.63,60.48,59.55,60.09,68195
2021-11-04,59.83,59.83,58.53,59.08,57946
2021-11-05,59.405,59.62,58.77,58.84,91103
2021-11-08,58.83,59.415,58.705,58.985,93674
2021-11-09,58.36,58.85,58.195,58.56,83096
2021-11-10,58.47,59.525,58.45,59.14,113176
2021-11-11,59.39,60.44,59.04,59.96,163751
2021-11-12,59.93,60.145,59.63,60.07,97143
2021-11-15,60.3,60.36,59.74,59.9,72056
2021-11-16,59.84,59.905,59.13,59.17,65214
2021-11-17,59.01,59.15,57.84,58.04,52257
2021-11-18,58.25,58.41,57.585,57.765,70734
2021-11-19,56.92,57.48,56.37,57.06,100721
2021-11-22,57.9,58.86,57.68,58.22,82699
2021-11-23,58.57,59.035,58.32,59.01,64438
2021-11-24,59.0,59.26,58.465,58.92,65113
2021-11-26,56.84,57.145,56.07,56.76,116259
