date,open,high,low,close,volume
2021-07-21,169.28,169.78,168.88,169.76,7518
2021-07-22,169.875,170.67,169.6,170.59,8499
2021-07-23,171.7,172.58,171.06,172.51,9032
2021-07-26,171.91,172.41,170.9,172.32,5530
2021-07-27,172.28,172.36,170.36,171.89,10699
2021-07-28,171.52,171.66,170.45,170.9,10890
2021-07-29,171.9,172.75,171.75,172.44,16933
2021-07-30,172.585,173.6,172.11,173.43,39249
2021-08-02,174.55,175.15,173.22,173.385,21620
2021-08-03,173.18,175.13,172.18,175.01,17108
2021-08-04,174.55,174.89,173.12,173.99,16334
2021-08-05,174.45,174.745,173.53,173.92,8868
2021-08-06,173.24,174.38,173.17,173.31,20224
2021-08-09,173.34,173.58,172.57,172.945,12453
2021-08-10,172.66,173.19,170.955,171.59,16764
2021-08-11,171.69,173.22,171.69,172.2,18500
2021-08-12,169.825,173.62,169.425,172.795,49788
2021-08-13,174.43,175.74,174.08,174.16,29560
2021-08-16,173.65,177.1,172.9,177.1,49852
2021-08-17,175.87,176.95,175.445,176.82,9206
2021-08-18,176.185,176.975,173.57,173.57,11672
2021-08-19,172.95,174.535,172.95,173.505,34393
2021-08-20,173.27,175.145,172.92,174.46,36864
2021-08-23,174.31,174.63,172.47,172.5,13613
2021-08-24,172.61,172.61,171.28,171.31,19805
2021-08-25,171.67,171.67,170.32,170.95,11806
2021-08-26,169.805,170.48,169.22,169.72,10359
2021-08-27,170.2,171.935,170.09,171.59,17060
2021-08-30,172.04,172.51,171.76,172.35,10996
2021-08-31,172.62,173.06,171.56,172.25,20922
2021-09-01,172.525,172.525,170.88,171.4,13605
2021-09-02,171.76,171.805,170.35,170.97,10957
2021-09-03,170.525,171.49,170.525,170.71,7481
2021-09-07,170.03,170.03,168.6,168.77,15446
2021-09-08,169.0,171.85,168.805,171.85,17525
2021-09-09,172.44,172.54,170.72,170.72,37936
2021-09-10,170.52,171.29,169.53,169.96,12931
2021-09-13,170.91,171.475,169.47,170.36,33751
2021-09-14,169.84,170.57,169.14,169.6,13639
2021-09-15,169.32,170.35,168.95,169.57,10773
2021-09-16,169.97,169.97,168.75,168.75,7923
2021-09-17,169.03,169.37,166.375,166.675,19923
2021-09-20,165.52,165.65,162.74,164.42,19218
2021-09-21,164.94,165.02,162.33,162.72,11049
2021-09-22,163.01,164.36,161.81,164.21,40500
2021-09-23,166.1,168.605,165.95,168.0,23951
2021-09-24,167.22,169.24,167.22,169.12,21709
2021-09-27,168.67,168.9,167.45,168.36,20804
2021-09-28,166.89,167.53,165.79,166.88,60533
2021-09-29,167.32,169.79,166.83,168.42,24446
2021-09-30,169.73,170.26,166.61,166.61,38665
2021-10-01,166.5,167.42,164.4,165.97,49673
2021-10-04,164.99,165.79,161.39,162.55,41606
2021-10-05,162.45,164.785,161.61,164.35,19369
2021-10-06,163.25,167.05,163.24,167.05,19527
2021-10-07,168.18,168.85,167.355,168.85,19113
2021-10-08,168.82,169.41,168.61,168.94,13672
2021-10-11,168.02,169.33,167.825,168.375,23877
2021-10-12,169.17,171.37,168.34,170.7,13325
2021-10-13,170.69,172.73,170.45,172.53,12873
2021-10-14,173.96,178.135,173.96,178.13,45815
2021-10-15,178.56,180.06,178.525,179.87,19697
2021-10-18,179.36,179.36,177.6,177.985,53193
2021-10-19,178.46,180.8,177.44,180.8,21667
2021-10-20,180.6,183.14,180.6,181.21,15362
2021-10-21,180.98,182.91,180.98,182.46,8858
2021-10-22,182.73,184.77,181.91,184.06,14492
2021-10-26,183.12,184.945,183.12,184.26,22875
2021-10-27,184.17,184.17,180.7,181.31,34818
2021-10-28,181.0,182.36,178.83,179.6,27652
2021-10-29,179.26,180.23,176.735,178.4,54601
2021-11-01,179.285,179.53,175.165,177.27,30197
2021-11-02,178.075,179.64,177.505,178.95,51400
2021-11-03,175.45,175.45,166.94,169.93,40627
2021-11-04,170.33,172.495,170.33,171.29,23207
