date,open,high,low,close,volume
2021-07-21,53.695,53.92,53.18,53.26,53418
2021-07-22,53.29,53.66,53.18,53.59,28913
2021-07-23,53.94,54.415,53.77,54.355,50119
2021-07-26,54.225,54.935,54.03,54.48,77503
2021-07-27,53.97,56.15,53.97,54.76,133068
2021-07-28,54.75,54.95,53.855,54.11,77822
2021-07-29,54.38,55.04,54.36,54.83,40124
2021-07-30,54.985,55.25,54.335,54.4,55958
2021-08-02,54.66,54.75,54.025,54.23,95185
2021-08-03,54.235,54.75,53.985,54.105,58740
2021-08-04,54.0,54.28,53.54,53.69,40512
2021-08-05,53.85,54.21,53.71,54.195,54870
2021-08-06,54.62,54.62,54.14,54.49,35339
2021-08-09,54.42,54.82,54.275,54.79,50412
2021-08-10,54.73,55.17,54.7,54.89,74597
2021-08-11,55.15,55.42,55.015,55.39,37578
2021-08-12,55.42,55.53,55.16,55.4,36030
2021-08-13,55.4,55.875,55.4,55.76,56583
2021-08-16,55.73,56.405,55.66,56.405,28584
2021-08-17,56.26,56.62,56.155,56.62,26760
2021-08-18,56.24,57.16,56.23,56.705,75894
2021-08-19,56.44,57.06,56.44,56.88,42849
2021-08-20,56.89,57.86,56.86,57.765,34848
2021-08-23,58.02,58.495,57.72,57.72,41033
2021-08-24,57.785,57.89,57.59,57.665,31012
2021-08-25,57.575,58.1,57.52,57.88,45123
2021-08-26,57.84,58.03,57.6,57.66,27826
2021-08-27,57.73,58.23,57.68,58.1,77883
2021-08-30,58.25,58.44,58.02,58.02,23909
2021-08-31,58.14,58.46,57.98,58.065,43132
2021-09-01,57.955,58.68,57.69,58.46,56258
2021-09-02,58.54,58.96,58.35,58.73,39096
2021-09-03,58.51,59.035,58.375,58.97,31546
2021-09-07,58.85,59.46,57.92,58.15,130714
2021-09-08,58.09,58.595,57.86,58.565,66916
2021-09-09,58.54,59.07,58.42,58.43,45394
2021-09-10,58.53,58.53,57.71,57.78,48403
2021-09-13,58.165,58.165,57.06,57.445,40274
2021-09-14,57.38,57.38,55.78,56.09,105391
2021-09-15,56.05,57.79,56.03,57.46,66111
2021-09-16,57.485,57.57,56.685,57.44,63176
2021-09-17,57.59,57.65,56.19,56.96,143371
