date,open,high,low,close,volume
2021-07-21,116.98,119.06,116.855,116.96,14916
2021-07-22,116.08,116.08,113.71,114.46,31068
2021-07-23,115.31,115.69,113.78,114.91,41928
2021-07-26,115.37,115.98,114.35,115.35,34130
2021-07-27,115.18,116.71,115.125,116.09,45695
2021-07-28,117.475,119.36,115.025,118.2,48607
2021-07-29,119.16,119.85,118.35,118.38,30004
2021-07-30,118.59,120.15,117.26,117.4,23429
2021-08-02,118.355,120.095,116.26,116.35,23208
2021-08-03,116.49,116.49,114.16,116.08,22103
2021-08-04,115.41,116.7,114.62,114.73,21648
2021-08-05,115.775,116.89,115.675,116.89,27611
2021-08-06,118.06,118.7,117.43,117.96,23148
2021-08-09,116.42,117.75,116.42,117.31,43136
2021-08-10,116.81,117.52,116.2,116.2,13459
2021-08-11,116.76,118.13,116.625,118.13,20269
2021-08-12,118.37,118.37,116.74,117.64,11649
2021-08-13,117.865,118.235,117.57,117.84,9448
2021-08-16,116.73,118.89,116.73,116.99,19512
2021-08-17,115.73,116.61,113.84,115.95,28644
2021-08-18,114.745,115.32,113.08,113.35,18295
2021-08-19,113.01,113.965,111.545,112.75,26161
2021-08-20,113.3,113.89,111.48,113.08,27822
2021-08-23,113.98,114.14,113.14,113.87,9073
2021-08-24,113.99,114.63,113.105,114.33,15405
2021-08-25,113.39,115.18,113.265,113.99,21247
2021-08-26,113.64,113.94,111.81,111.92,35480
2021-08-27,112.905,113.67,112.74,113.08,42404
2021-08-30,113.67,113.67,110.67,111.97,38578
2021-08-31,112.14,113.91,111.785,113.01,36039
2021-09-01,113.835,116.33,113.535,115.48,42411
2021-09-02,115.3,115.505,114.03,115.03,24579
2021-09-03,114.38,114.38,112.28,113.98,25552
2021-09-07,114.51,115.08,112.43,113.54,33058
2021-09-08,113.195,114.29,113.195,113.685,15362
2021-09-09,112.78,112.96,111.4,111.4,11575
2021-09-10,111.57,111.57,108.08,108.08,24199
2021-09-13,108.885,111.02,108.81,110.61,16730
2021-09-14,111.0,111.0,109.705,110.315,16022
2021-09-15,110.81,111.575,110.08,111.41,13724
2021-09-16,111.3,111.945,111.08,111.18,19118
2021-09-17,110.875,110.875,109.91,110.005,20774
2021-09-20,108.64,110.27,107.79,109.56,13883
2021-09-21,110.6,111.0,108.77,108.785,18090
2021-09-22,110.16,112.03,109.85,111.22,30115
2021-09-23,112.2,113.98,112.2,112.48,30159
2021-09-24,112.17,113.63,112.17,112.81,46918
2021-09-27,113.89,115.24,113.16,113.26,20921
2021-09-28,113.295,113.975,112.43,112.91,20136
2021-09-29,112.15,113.1,111.17,111.2,17678
2021-09-30,110.56,111.34,108.35,108.35,22470
2021-10-01,109.485,112.15,109.04,111.76,10254
2021-10-04,112.24,112.6,111.695,111.95,8795
2021-10-05,112.29,112.29,110.5,111.115,48237
2021-10-06,110.27,112.98,109.24,112.94,47452
2021-10-07,113.86,114.36,112.84,113.32,54636
2021-10-08,113.565,114.66,113.045,113.85,34592
2021-10-11,113.89,114.83,113.68,114.69,57658
2021-10-12,114.21,116.93,113.97,116.18,53815
2021-10-13,115.04,115.87,113.59,115.78,42555
2021-10-14,116.4,116.69,115.44,116.4,36545
2021-10-15,117.1,117.58,116.57,117.06,20793
2021-10-18,115.76,116.59,115.23,115.83,26581
2021-10-19,116.435,116.65,115.48,116.12,30757
2021-10-20,116.15,119.28,116.15,119.08,32298
2021-10-21,118.93,119.06,116.14,116.87,11791
2021-10-22,116.5,118.36,116.5,117.7,14746
2021-10-26,117.04,119.2,117.04,118.61,52924
2021-10-27,118.86,119.305,115.01,115.24,71915
2021-10-28,115.14,115.53,112.555,114.17,24838
2021-10-29,113.83,114.59,113.44,113.65,44435
2021-11-01,114.405,114.84,112.71,114.51,41040
2021-11-02,114.55,114.985,113.32,113.88,19431
2021-11-03,114.42,117.37,114.42,117.12,18966
2021-11-04,116.765,117.24,114.06,114.58,37385
2021-11-05,116.255,118.095,115.63,116.93,41019
2021-11-08,118.31,119.17,117.82,118.44,19318
2021-11-09,117.875,117.875,117.01,117.51,15804
2021-11-10,117.36,118.49,117.24,117.47,14981
2021-11-11,116.73,118.48,116.55,118.21,9664
2021-11-12,118.53,119.2,117.69,118.0,15281
2021-11-15,118.11,120.69,118.11,120.69,27099
2021-11-16,119.9,120.31,117.32,117.8,27520
2021-11-17,117.23,117.47,114.085,117.18,35289
2021-11-18,117.12,119.53,117.12,119.26,20913
2021-11-19,118.23,118.8,115.51,116.96,32226
2021-11-22,116.96,119.47,116.415,118.14,29958
2021-11-23,118.83,119.58,117.69,117.91,32662
2021-11-24,117.935,118.465,117.25,118.03,13437
2021-11-26,114.17,114.17,109.78,111.7,47170
2021-11-29,112.06,112.11,109.05,110.31,49666
2021-11-30,108.955,108.955,106.5,107.905,55251
2021-12-01,109.32,111.26,105.23,105.24,38789
2021-12-02,106.375,111.325,106.055,110.48,47246
2021-12-03,111.18,111.79,108.84,110.23,68722
2021-12-06,112.67,115.31,112.15,113.43,78110
2021-12-07,113.79,115.19,113.79,115.185,49571
2021-12-08,115.5,118.27,115.03,117.42,29391
2021-12-09,115.32,115.7,113.31,114.81,47438
2021-12-10,115.115,115.16,112.7,114.1,49275
2021-12-13,113.485,114.43,110.905,113.8,30072
2021-12-14,113.96,114.91,113.77,114.27,32131
2021-12-15,114.08,115.7,113.25,115.66,44045
2021-12-16,116.085,116.085,113.14,114.01,33530
2021-12-17,114.14,115.4,113.66,114.22,89280
2021-12-20,111.82,111.82,108.685,111.36,33934
2021-12-21,112.425,115.84,112.425,114.83,36405
2021-12-22,114.26,115.0,113.41,114.66,31693
2021-12-23,114.845,114.98,113.53,114.27,24555
2021-12-27,113.99,115.89,113.775,115.89,26023
2021-12-28,115.325,115.84,114.71,115.36,27709
2021-12-29,115.34,115.78,114.09,115.53,31083
2021-12-30,115.09,116.76,115.09,115.76,29919
2021-12-31,116.055,116.305,115.19,115.19,14530
2022-01-03,116.66,119.97,116.45,119.965,39730
2022-01-04,121.59,124.82,121.54,123.93,54274
2022-01-05,124.5,125.27,121.91,122.33,44869
2022-01-06,122.975,124.91,122.28,124.86,112139
2022-01-07,124.93,128.0,124.86,125.675,151385
2022-01-10,125.635,126.05,124.485,125.12,20540
2022-01-11,124.18,124.555,122.415,123.5,40042
2022-01-12,123.78,123.78,122.675,123.43,43909
2022-01-13,123.79,126.335,123.56,125.71,34952
2022-01-14,124.06,125.87,124.06,125.09,38792
2022-01-18,124.87,124.87,122.895,123.38,39747
2022-01-19,123.78,123.78,119.95,119.95,34848
2022-01-20,120.37,121.38,116.45,116.61,29582
2022-01-21,116.63,116.75,113.65,114.485,59040
2022-01-24,112.72,112.72,110.52,111.91,9729
2022-01-25,114.43,115.02,112.06,114.155,83512
2022-01-26,116.27,118.7,113.49,114.65,60155
2022-01-27,115.355,116.62,109.665,110.49,82726
2022-01-28,110.81,113.27,108.11,113.26,53731
2022-01-31,112.74,112.74,110.44,112.09,128121
2022-02-01,111.73,116.09,111.35,115.53,58673
2022-02-02,115.665,117.135,115.37,115.55,36820
2022-02-03,115.43,115.43,113.175,113.6,20437
2022-02-04,113.15,114.08,111.25,112.72,36046
2022-02-07,113.51,114.59,112.56,113.855,49183
2022-02-08,114.23,114.89,113.07,113.74,77048
2022-02-09,115.32,116.54,115.25,116.54,43398
2022-02-10,115.9,118.71,114.85,115.65,58308
2022-02-11,116.58,118.74,115.66,117.65,86358
2022-02-14,117.62,118.43,116.79,116.95,50650
2022-02-15,119.21,120.505,119.04,119.885,35885
2022-02-16,120.545,122.64,120.135,122.555,61195
2022-02-17,121.565,123.16,121.39,122.005,38490
2022-02-18,122.56,123.1,120.98,121.11,66907
2022-02-22,120.15,121.76,119.18,121.19,70505
2022-02-23,122.58,122.58,118.36,118.41,51580
2022-02-24,114.86,120.42,114.86,120.075,85470
2022-02-25,120.62,123.58,120.62,123.465,43185
2022-02-28,121.93,123.4,120.67,122.35,38107
2022-03-01,122.51,122.51,119.48,120.76,33411
2022-03-02,121.58,123.195,121.58,122.9,44333
2022-03-03,123.07,123.155,120.84,122.49,28218
2022-03-04,121.45,123.18,120.26,123.13,32622
2022-03-07,122.9,123.82,120.67,121.07,37244
2022-03-09,124.22,125.195,123.6,124.03,79870
2022-03-10,122.9,125.16,122.9,125.16,21060
2022-03-11,126.07,126.42,123.385,123.44,53814
2022-03-14,124.09,125.6,122.3,122.7,73584
2022-03-15,122.94,124.07,121.47,122.57,38813
2022-03-16,123.81,124.58,122.0,123.84,113903
2022-03-17,123.59,124.73,122.97,124.73,22064
2022-03-18,123.66,124.6,122.69,124.57,39915
2022-03-21,125.34,126.25,124.66,125.6,24378
2022-03-22,126.52,127.15,125.205,125.44,28879
2022-03-23,125.27,125.27,122.97,123.235,26643
2022-03-24,123.97,126.21,123.97,126.13,43390
2022-03-25,126.89,129.87,126.89,129.87,43651
2022-03-28,129.46,129.78,128.66,129.7,39776
2022-03-29,130.4,133.05,130.1,132.42,42534
2022-03-30,131.56,132.27,130.02,130.85,27711
2022-03-31,131.69,131.905,128.73,128.76,29949
2022-04-01,128.76,130.25,127.93,130.25,34005
2022-04-04,128.74,128.775,127.11,128.325,14572
2022-04-05,129.53,129.63,125.47,125.84,26803
2022-04-06,125.84,125.885,123.95,125.08,43659
2022-04-07,123.26,123.69,120.6,122.34,48399
2022-04-08,122.73,123.32,121.2,122.68,42228
2022-04-11,123.57,123.77,121.97,123.09,13573
2022-04-12,123.11,124.42,122.41,123.47,28967
2022-04-13,124.705,124.98,123.3,124.85,33965
2022-04-14,125.31,125.5,124.58,124.58,20279
2022-04-18,124.9,125.52,123.09,123.75,31224
2022-04-19,125.15,126.66,124.94,126.16,28968
2022-04-20,127.69,128.2,126.83,127.65,27521
2022-04-21,127.79,128.33,126.86,127.13,20390
2022-04-22,127.34,127.93,125.63,125.7,25449
2022-04-25,124.84,126.11,122.72,125.74,27614
2022-04-26,126.23,126.23,124.075,124.17,26055
2022-04-27,123.995,124.26,122.105,122.15,31103
2022-04-28,122.05,123.97,121.58,123.53,37488
