date,open,high,low,close,volume
2021-07-21,50.15,50.57,49.98,50.45,78222
2021-07-22,50.405,51.01,50.405,50.775,94831
2021-07-23,51.0,51.945,51.0,51.925,172367
2021-07-26,51.8,51.995,51.26,51.49,74780
2021-07-27,51.51,52.4,51.325,51.97,121552
2021-07-28,51.95,52.29,51.53,51.58,291380
2021-07-29,52.42,54.07,52.22,53.935,391045
2021-07-30,54.16,55.5,53.97,55.22,212724
2021-08-02,55.59,56.01,54.5,54.66,145890
2021-08-03,55.04,57.24,55.03,57.19,287159
2021-08-04,56.6,57.88,56.54,57.045,249543
2021-08-05,57.45,57.51,55.91,56.29,134486
2021-08-06,56.61,56.795,55.855,56.41,348736
2021-08-09,56.27,56.51,55.955,56.255,98691
2021-08-10,56.46,57.5,56.44,56.615,146732
2021-08-11,56.83,56.995,56.09,56.89,86770
2021-08-12,56.415,56.48,55.685,55.97,120963
2021-08-13,55.87,56.24,55.755,56.15,75027
2021-08-16,56.0,56.795,55.64,56.58,66477
2021-08-17,56.0,56.12,54.385,55.13,116127
2021-08-18,55.09,55.97,55.09,55.15,90813
2021-08-19,54.3,55.98,54.28,55.26,193217
2021-08-20,55.45,55.595,54.72,55.36,82376
2021-08-23,55.79,56.155,55.395,55.89,71813
2021-08-24,55.88,56.68,55.75,56.65,73541
2021-08-25,56.43,58.02,56.43,57.76,92145
2021-08-26,57.72,57.94,57.17,57.46,143632
2021-08-27,57.65,58.41,57.65,58.33,175921
2021-08-30,58.605,58.885,58.04,58.04,146299
2021-08-31,57.95,57.95,56.95,57.59,106348
2021-09-01,57.64,57.965,56.74,57.92,73661
2021-09-02,58.18,58.29,57.48,57.935,98642
2021-09-03,57.64,57.85,57.25,57.4,88669
2021-09-07,56.31,56.985,56.18,56.2,214647
2021-09-08,56.025,56.92,55.82,56.64,81208
2021-09-09,56.86,57.39,56.41,56.72,89668
2021-09-10,57.17,57.18,56.405,56.45,58572
2021-09-13,57.07,57.07,55.2,55.735,267209
2021-09-14,55.94,55.97,54.595,54.975,229748
2021-09-15,55.12,55.895,54.9,55.77,77185
2021-09-16,55.62,55.73,54.7,55.085,184834
