date,open,high,low,close,volume
2021-07-21,168.85,171.355,168.68,169.37,65635
2021-07-22,168.68,168.93,166.775,167.21,74772
2021-07-23,168.18,169.03,166.445,166.91,73149
2021-07-26,167.31,168.62,166.855,168.15,58468
2021-07-27,166.31,169.52,166.31,169.38,50585
2021-07-28,173.02,173.03,164.3,166.07,170469
2021-07-29,167.455,167.97,165.73,167.52,55706
2021-07-30,168.99,170.045,168.09,168.71,107170
2021-08-02,170.88,172.65,170.36,170.36,90055
2021-08-03,171.43,173.205,168.9,172.56,75873
2021-08-04,171.025,173.23,170.94,172.17,31126
2021-08-05,172.915,174.3,169.34,172.6,152555
2021-08-06,174.53,175.45,173.75,174.95,47898
2021-08-09,174.69,176.285,173.66,175.66,37381
2021-08-10,175.35,178.26,175.35,178.12,53419
2021-08-11,178.435,181.665,178.36,181.09,75171
2021-08-12,181.23,182.68,180.93,181.715,56548
2021-08-13,181.81,182.91,181.41,182.81,27638
2021-08-16,182.04,184.46,182.01,184.24,39144
2021-08-17,183.79,185.995,183.31,184.66,32628
2021-08-18,183.285,186.5,183.285,184.36,56829
2021-08-19,182.93,185.91,182.93,185.405,57668
2021-08-20,185.085,186.73,184.235,186.19,61065
2021-08-23,186.62,187.75,185.405,185.405,39505
2021-08-24,186.53,186.63,185.225,185.33,43174
2021-08-25,185.43,187.53,185.31,186.77,67357
2021-08-26,187.44,187.44,184.31,184.31,39403
2021-08-27,184.55,186.44,184.46,186.37,31225
2021-08-30,185.54,185.675,183.82,183.82,32825
2021-08-31,184.34,185.15,183.59,183.84,55833
2021-09-01,183.955,184.055,182.02,182.96,95526
2021-09-02,182.78,183.18,181.82,182.99,45849
2021-09-03,182.5,184.0,181.41,183.47,30799
2021-09-07,183.04,183.04,180.14,181.76,74695
2021-09-08,180.975,182.7,180.975,182.4,56346
2021-09-09,183.06,184.0,181.055,181.115,36732
2021-09-10,182.03,182.76,179.955,180.23,29773
2021-09-13,181.68,183.37,181.32,183.29,40698
2021-09-14,183.9,184.65,180.91,181.19,44389
2021-09-15,181.34,183.76,181.23,182.78,36585
2021-09-16,182.52,182.76,180.01,181.05,34180
2021-09-17,183.67,184.38,179.995,180.57,83093
2021-09-20,177.975,178.52,175.395,178.04,90467
2021-09-21,178.36,179.04,175.305,175.795,44856
2021-09-22,177.105,178.23,176.35,176.92,118972
2021-09-23,178.755,179.5,177.31,177.46,44682
2021-09-24,177.72,178.125,176.53,176.71,86467
2021-09-27,177.7,179.48,176.85,178.31,65934
2021-09-28,177.88,179.15,174.84,175.45,80171
2021-09-29,175.49,177.27,175.23,176.27,39123
2021-09-30,176.905,177.6,173.49,173.49,30949
2021-10-01,174.215,176.5,173.035,175.53,26496
2021-10-04,175.005,177.02,173.28,173.645,35113
2021-10-05,173.84,175.93,172.86,175.06,60921
2021-10-06,173.52,176.95,172.07,176.83,55221
2021-10-07,178.18,180.25,178.18,178.25,69690
2021-10-08,180.095,183.04,180.05,182.75,103472
2021-10-11,184.13,185.52,182.605,182.7,82315
2021-10-12,183.5,183.5,181.39,181.73,65473
