date,open,high,low,close,volume
2021-07-21,21.74,23.355,21.72,23.19,1098427
2021-07-22,22.8,22.875,22.19,22.7,679877
2021-07-23,22.685,22.78,21.895,21.96,627337
2021-07-26,21.77,23.2,21.72,23.16,940414
2021-07-27,22.96,23.31,22.49,22.8,450513
2021-07-28,23.19,23.365,22.2,22.83,401168
2021-07-29,23.05,23.335,22.7,22.72,365182
2021-07-30,22.17,22.67,21.495,21.66,523402
2021-08-02,21.805,22.54,21.36,21.47,442430
2021-08-03,21.57,21.58,20.525,21.425,535464
2021-08-04,20.94,21.68,20.835,21.045,407920
2021-08-05,21.16,22.65,21.15,22.545,501364
2021-08-06,22.9,23.09,22.43,23.08,424611
2021-08-09,22.86,22.86,21.995,22.7,337404
2021-08-10,22.73,23.84,22.73,23.635,476211
2021-08-11,23.56,24.0,23.07,23.98,391471
2021-08-12,23.72,23.875,22.97,23.36,415641
2021-08-13,23.3,23.35,22.745,22.86,332029
2021-08-16,22.47,22.92,21.945,22.78,360683
2021-08-17,22.22,22.48,21.665,22.04,536796
2021-08-18,21.97,22.97,21.695,22.49,402265
2021-08-19,22.03,22.27,21.34,21.65,390740
2021-08-20,21.5,22.02,21.335,21.95,301937
2021-08-23,22.285,22.99,22.24,22.83,340551
2021-08-24,23.24,24.065,23.24,23.84,495825
2021-08-25,24.01,24.315,23.44,24.11,543894
2021-08-26,23.815,24.31,23.25,23.47,362113
2021-08-27,23.65,24.57,23.555,24.34,414981
2021-08-30,24.58,24.58,23.605,23.645,440962
2021-08-31,23.53,24.185,23.53,24.14,381821
2021-09-01,24.245,24.405,23.325,23.505,342875
2021-09-02,23.55,24.46,23.13,24.02,447243
2021-09-03,23.82,24.135,22.64,22.97,648230
2021-09-07,22.73,23.59,22.57,23.56,462541
2021-09-08,23.59,23.81,22.76,22.79,482721
2021-09-09,22.69,23.71,22.63,23.28,373036
2021-09-10,23.385,23.45,22.73,22.745,460476
2021-09-13,23.03,23.48,22.26,23.31,386289
2021-09-14,23.01,23.485,22.71,22.865,381989
2021-09-15,22.73,23.18,22.4,23.16,243307
2021-09-16,23.015,23.425,22.92,23.1,327917
2021-09-17,23.21,23.84,23.175,23.55,644731
2021-09-20,23.2,23.38,22.625,23.24,486320
2021-09-21,23.44,23.67,22.88,22.965,497004
2021-09-22,23.23,23.92,23.23,23.605,472637
2021-09-23,24.0,25.055,23.905,24.705,820904
2021-09-24,24.84,25.95,24.605,25.455,816302
2021-09-27,25.96,27.39,25.94,26.39,939740
2021-09-28,26.395,26.98,26.11,26.17,600929
2021-09-29,26.44,26.45,25.48,25.53,452161
2021-09-30,25.47,25.47,24.745,25.0,523061
2021-10-01,26.07,26.55,25.68,26.09,656071
2021-10-04,26.17,26.41,25.235,25.34,569792
2021-10-05,25.52,26.005,25.29,25.42,408567
2021-10-06,24.93,25.14,24.37,24.91,447781
2021-10-07,25.23,25.25,24.405,24.5,405041
2021-10-08,24.58,24.685,23.765,23.82,450443
2021-10-11,23.72,24.43,23.435,23.89,399279
2021-10-12,23.92,24.36,23.83,24.325,427304
2021-10-13,24.38,24.39,23.62,23.66,418123
2021-10-14,23.9,23.99,23.575,23.73,315311
2021-10-15,24.08,24.39,23.63,23.66,437793
2021-10-18,23.455,23.58,22.825,23.125,701503
2021-10-19,23.06,23.06,22.27,22.35,930424
2021-10-20,22.36,22.76,22.14,22.45,327493
2021-10-21,22.51,22.89,22.22,22.34,337299
2021-10-22,22.2,22.335,21.85,22.295,483207
2021-10-26,22.18,22.45,21.66,21.82,398792
2021-10-27,21.86,21.98,21.615,21.64,405761
2021-10-28,21.64,22.075,21.32,21.97,464022
2021-10-29,21.9,22.455,21.78,22.165,589791
2021-11-01,22.34,23.095,22.02,23.07,443771
2021-11-02,22.96,23.065,22.56,22.91,262716
2021-11-03,22.66,23.325,22.59,23.16,415603
2021-11-04,23.29,23.46,22.735,22.88,353471
2021-11-05,24.47,25.285,24.105,24.79,1095709
2021-11-08,24.91,25.06,24.45,24.59,711970
2021-11-09,24.47,24.505,23.715,24.18,527348
2021-11-10,23.73,24.33,23.32,23.5,422353
2021-11-11,23.34,23.62,22.975,23.02,323214
2021-11-12,22.87,22.9,22.06,22.36,583456
2021-11-15,22.5,22.72,22.145,22.285,379707
2021-11-16,22.07,22.07,21.335,21.595,858957
2021-11-17,21.6,21.84,20.99,21.325,573357
2021-11-18,21.49,21.57,20.58,20.95,529044
2021-11-19,20.32,20.875,19.86,20.48,891302
2021-11-22,20.43,20.905,20.15,20.33,501928
2021-11-23,20.57,20.805,20.015,20.14,353454
2021-11-24,19.97,20.645,19.765,20.15,622061
2021-11-26,18.06,18.27,17.2,17.94,1345338
2021-11-29,18.85,19.235,17.7,18.155,835167
2021-11-30,17.76,17.89,17.11,17.61,1459880
2021-12-01,18.15,18.485,16.34,16.38,1445832
2021-12-02,16.74,17.985,16.38,17.9,1280086
2021-12-03,17.72,17.795,16.84,17.205,885306
2021-12-06,17.54,19.185,17.415,18.595,1321059
2021-12-07,18.99,19.27,18.325,18.505,864697
2021-12-08,18.71,20.04,18.54,19.515,1119087
2021-12-09,19.01,19.6,18.9,19.21,570258
2021-12-10,19.19,19.35,18.68,19.27,548900
2021-12-13,18.69,18.83,17.92,18.35,1015049
2021-12-14,18.01,18.82,18.01,18.13,646824
2021-12-15,17.975,18.07,17.245,17.9,719858
2021-12-16,18.05,18.25,17.46,17.56,819410
2021-12-17,17.62,18.47,17.41,18.285,1017251
2021-12-20,17.65,19.285,17.63,18.9,1287221
2021-12-21,19.33,20.72,19.3,20.54,895868
2021-12-22,20.545,21.5,20.04,21.26,908832
2021-12-23,21.52,21.76,20.885,21.19,1013777
2021-12-27,20.34,21.13,20.035,20.97,518927
2021-12-28,20.59,21.8,20.53,20.905,464575
2021-12-29,20.595,20.89,20.29,20.8,432702
2021-12-30,20.76,21.505,20.285,20.53,858488
2021-12-31,20.51,20.77,20.03,20.135,405693
2022-01-03,20.49,21.73,20.445,21.415,643407
2022-01-04,22.03,22.37,21.51,21.735,542301
2022-01-05,21.82,22.13,21.06,21.17,516938
2022-01-06,21.56,21.98,21.025,21.08,445945
2022-01-07,21.38,22.29,21.14,21.91,594640
2022-01-10,22.04,22.11,20.97,21.41,586060
2022-01-11,21.39,22.22,21.12,21.985,576771
2022-01-12,22.195,22.46,21.805,22.3,594050
2022-01-13,22.42,23.3,22.375,22.91,764831
