date,open,high,low,close,volume
2021-07-21,176.66,177.88,176.0,177.275,52535
2021-07-22,177.4,177.67,176.77,177.47,23074
2021-07-23,178.2,181.06,178.17,180.94,27297
2021-07-26,182.12,182.12,180.515,181.605,22181
2021-07-27,180.87,182.16,178.9,181.33,22620
2021-07-28,181.86,182.155,179.84,180.35,53876
2021-07-29,180.83,183.77,180.83,183.07,24358
2021-07-30,183.24,183.44,181.695,183.37,28411
2021-08-02,183.9,185.36,183.285,183.76,53341
2021-08-03,185.26,185.365,182.38,185.32,25673
2021-08-04,182.28,190.67,179.815,188.36,112413
2021-08-05,189.185,191.02,187.61,190.65,45010
2021-08-06,191.27,192.66,189.76,190.1,39144
2021-08-09,188.965,189.99,188.045,189.625,57341
2021-08-10,189.96,192.75,189.63,191.49,47572
2021-08-11,192.225,196.19,192.225,195.97,66108
2021-08-12,195.555,198.16,195.495,197.96,28334
2021-08-13,196.895,198.41,196.895,198.41,48011
2021-08-16,197.965,199.02,196.79,199.0,85924
2021-08-17,198.36,198.43,195.015,196.67,37315
2021-08-18,195.83,197.49,195.13,195.13,12860
2021-08-19,193.9,195.14,193.04,193.94,38797
2021-08-20,194.86,196.41,194.68,195.79,19709
2021-08-23,195.88,197.15,195.425,196.93,19600
2021-08-24,197.51,198.215,196.64,196.985,22878
2021-08-25,196.785,199.04,196.52,198.42,34020
2021-08-26,198.6,199.02,197.31,198.15,21697
2021-08-27,197.58,199.4,197.18,199.27,29653
2021-08-30,199.745,201.3,198.67,200.69,35877
2021-08-31,200.16,201.27,199.32,200.65,37880
2021-09-01,200.835,201.305,198.47,200.28,31591
2021-09-02,201.53,203.31,201.08,203.16,20466
2021-09-03,202.16,203.69,202.16,202.73,21063
2021-09-07,201.83,202.25,200.28,201.17,23600
2021-09-08,200.305,200.64,198.7,200.35,36086
2021-09-09,200.145,201.98,199.43,199.52,40846
2021-09-10,200.42,201.84,197.77,197.98,26777
2021-09-13,199.75,199.75,195.39,196.84,33304
2021-09-14,197.47,197.47,192.66,193.41,33876
2021-09-15,192.59,195.51,191.71,195.04,63419
2021-09-16,193.75,195.66,193.75,194.36,48685
2021-09-17,193.18,193.54,190.25,191.2,30704
2021-09-20,187.86,189.89,185.79,187.77,29008
2021-09-21,188.67,188.92,185.77,187.8,15357
2021-09-22,189.17,190.56,188.93,189.6,15086
2021-09-23,189.07,194.25,189.07,192.41,12859
2021-09-24,192.28,193.505,191.76,193.05,10448
2021-09-27,192.58,193.65,191.58,192.21,23137
2021-09-28,189.81,189.81,185.68,186.09,23880
2021-09-29,187.93,188.445,183.94,185.34,33743
2021-09-30,186.49,186.61,181.94,181.94,45235
2021-10-01,183.82,186.36,180.325,185.63,57170
2021-10-04,186.34,187.415,182.31,182.72,32686
2021-10-05,183.045,185.64,182.5,184.01,25588
2021-10-06,177.24,177.5,172.28,175.55,77943
2021-10-07,177.56,178.71,176.58,177.36,35609
2021-10-08,177.1,177.955,176.16,176.95,23334
2021-10-11,175.82,176.475,174.37,174.75,25606
2021-10-12,175.18,175.3,173.29,173.6,36116
2021-10-13,174.57,175.54,172.935,173.9,25673
2021-10-14,176.74,178.22,175.62,177.23,16080
2021-10-15,178.45,178.77,177.2,177.705,19964
2021-10-18,179.14,190.645,179.0,186.31,152235
2021-10-19,186.57,187.77,185.94,187.61,18243
2021-10-20,188.415,189.49,187.9,188.46,32997
2021-10-21,188.285,190.63,188.06,190.63,26541
2021-10-22,191.13,192.955,190.905,191.49,34251
2021-10-25,191.245,192.81,190.82,191.54,24102
2021-10-26,191.47,191.545,188.35,188.35,25317
2021-10-27,187.915,188.1,184.13,184.36,62559
2021-10-28,185.05,187.42,184.72,185.99,36307
2021-10-29,185.13,187.14,184.895,186.69,26779
2021-11-01,187.36,189.03,186.89,187.65,37661
2021-11-02,188.135,189.54,187.03,189.28,31117
2021-11-03,189.31,189.31,182.11,185.45,49804
2021-11-04,187.77,188.945,184.91,184.95,40201
2021-11-05,186.805,189.64,185.46,187.18,85085
2021-11-08,187.42,188.9,184.915,185.34,24647
2021-11-09,185.705,187.91,185.705,187.07,32790
