date,open,high,low,close,volume
2022-02-02,50.5,56.23,50.5,52.935,1031460
2022-02-03,52.05,56.52,50.415,54.23,620404
2022-02-04,52.59,54.185,50.17,50.185,323504
2022-02-07,50.0,50.0,46.03,46.06,506124
2022-02-08,45.12,47.56,44.305,45.535,445127
2022-02-09,45.25,47.45,44.005,47.29,327142
2022-02-10,45.55,48.415,45.51,47.11,158175
2022-02-11,46.42,48.85,46.315,48.21,192951
2022-02-14,48.26,49.0,46.99,48.09,122036
2022-02-15,47.3,48.42,47.21,47.93,112856
2022-02-16,48.075,48.43,46.96,47.21,96722
2022-02-17,46.89,47.025,45.195,45.33,176979
2022-02-18,45.08,45.775,44.96,45.4,57421
2022-02-22,45.455,45.455,43.49,43.54,181813
2022-02-23,43.79,43.98,42.18,43.095,131970
2022-02-24,43.015,44.53,42.25,44.29,104062
2022-02-25,44.02,44.92,43.745,43.915,113600
2022-02-28,43.48,46.37,42.46,46.0,186174
2022-03-01,46.005,48.05,45.98,47.79,355083
2022-03-02,47.85,50.255,47.33,49.48,188583
2022-03-03,49.72,50.33,47.575,49.5,137981
2022-03-04,49.51,51.025,48.34,51.01,134807
2022-03-07,50.58,52.51,49.87,51.67,150220
2022-03-08,51.59,55.22,50.96,52.33,194763
2022-03-09,52.28,53.6,50.6,51.425,168928
2022-03-10,50.725,51.57,49.275,51.335,142161
2022-03-11,51.42,51.7,48.3,49.2,297584
2022-03-14,51.6,51.6,48.59,50.855,158881
2022-03-15,51.285,51.545,49.92,51.26,99123
2022-03-16,51.54,52.32,50.38,51.75,162969
2022-03-17,52.07,52.7,50.935,51.01,112017
2022-03-18,50.44,51.03,48.89,48.98,255188
2022-03-21,49.145,49.4,48.62,49.24,192481
2022-03-22,50.3,52.04,50.16,51.17,156834
2022-03-23,51.095,51.76,50.97,50.98,120904
2022-03-24,51.245,52.55,51.19,52.35,116950
2022-03-25,52.205,53.78,52.08,53.76,129766
2022-03-28,54.26,56.83,54.06,56.74,186424
