date,open,high,low,close,volume
2021-07-21,86.94,86.94,84.93,84.94,56755
2021-07-22,84.59,85.47,84.06,85.165,41712
2021-07-23,84.66,86.575,84.315,86.49,32212
2021-07-26,86.32,86.94,86.055,86.44,44596
2021-07-27,86.67,88.21,86.535,87.04,59041
2021-07-28,86.64,87.03,85.875,86.33,31288
2021-07-29,86.62,87.18,86.32,86.935,57581
2021-07-30,85.89,88.21,85.5,86.58,105557
2021-08-02,86.31,86.7,84.4,85.66,105191
2021-08-03,84.945,85.93,84.49,85.15,93501
2021-08-04,84.64,85.25,82.97,83.75,59103
2021-08-05,84.25,84.46,83.28,83.71,59689
2021-08-06,83.755,83.915,82.98,83.47,70169
2021-08-09,83.74,84.28,83.405,84.11,35177
2021-08-10,83.835,84.215,83.32,84.14,32461
2021-08-11,84.51,84.66,84.15,84.3,21174
2021-08-12,84.32,84.51,84.07,84.31,31675
2021-08-13,84.405,85.26,84.22,85.09,28315
2021-08-16,85.44,86.36,85.4,86.2,23468
2021-08-17,86.22,86.82,86.06,86.6,36404
2021-08-18,86.22,86.25,84.72,84.745,56061
2021-08-19,85.07,86.61,85.07,86.39,27617
2021-08-20,86.46,86.98,85.92,86.02,20113
2021-08-23,85.9,85.9,84.935,84.935,21734
2021-08-24,84.19,84.32,83.165,83.165,27078
2021-08-25,82.775,82.98,82.29,82.38,23369
2021-08-26,82.64,82.68,81.9,82.35,61074
2021-08-27,82.51,82.965,82.14,82.74,28546
2021-08-30,83.005,83.61,83.005,83.57,42563
2021-08-31,83.505,83.86,83.2,83.69,33986
2021-09-01,83.835,84.385,83.72,84.3,24518
2021-09-02,84.52,84.63,84.02,84.33,34011
2021-09-03,84.17,84.745,83.92,84.41,22030
2021-09-07,84.43,84.43,83.4,84.01,54753
2021-09-08,84.04,86.205,84.04,84.6,135552
2021-09-09,84.47,84.47,82.98,83.46,181468
2021-09-10,83.17,83.175,82.425,82.72,99887
2021-09-13,82.95,84.14,82.95,83.39,39577
2021-09-14,83.46,83.78,82.935,83.76,68762
2021-09-15,83.59,83.85,83.29,83.635,99148
2021-09-16,83.37,83.69,82.61,83.44,60148
2021-09-17,83.44,83.95,83.29,83.56,77152
2021-09-20,83.44,83.92,83.03,83.72,73727
2021-09-21,83.8,84.65,83.8,84.11,127635
2021-09-22,84.61,84.61,83.04,83.22,41451
2021-09-23,82.88,83.49,82.825,83.31,51686
2021-09-24,83.38,83.39,82.605,83.04,110685
2021-09-27,82.88,82.98,82.34,82.565,34781
2021-09-28,82.1,83.54,82.1,83.29,58299
2021-09-29,83.16,84.64,83.16,84.31,40706
2021-09-30,84.03,84.29,82.57,82.57,44449
2021-10-01,82.5,83.0,81.45,82.23,33866
2021-10-04,82.94,83.1,81.55,81.7,46997
2021-10-05,81.57,81.83,81.09,81.2,30751
2021-10-06,80.925,82.89,80.925,82.75,59413
2021-10-07,83.02,83.69,82.945,82.97,38004
2021-10-08,83.03,83.41,82.61,83.19,37022
2021-10-11,83.12,83.13,82.74,82.99,18159
2021-10-12,83.0,83.28,82.34,82.55,18082
2021-10-13,82.71,83.17,82.3,83.13,26746
2021-10-14,83.22,83.55,83.13,83.38,23808
2021-10-15,83.69,83.94,82.94,83.465,19142
2021-10-18,83.25,83.5,82.76,82.94,80018
2021-10-19,82.42,83.31,81.37,83.31,97353
2021-10-20,83.59,84.775,83.485,83.605,52718
2021-10-21,84.07,84.29,83.655,83.8,61757
2021-10-22,84.05,84.855,84.05,84.69,47890
2021-10-26,83.77,84.76,83.77,84.64,33494
2021-10-27,84.805,85.04,83.8,84.04,61485
2021-10-28,83.96,85.73,83.93,85.26,95457
2021-10-29,86.34,88.39,86.34,87.48,172441
2021-11-01,87.895,88.52,86.94,87.71,33664
2021-11-02,87.64,89.41,87.64,89.09,41576
2021-11-03,89.16,89.45,88.13,88.92,41984
2021-11-04,88.705,89.35,88.24,89.35,31978
2021-11-05,89.37,89.455,88.6,88.76,29582
