date,open,high,low,close,volume
2021-07-21,233.93,235.055,232.89,233.52,128700
2021-07-22,233.88,233.88,231.25,232.18,86030
2021-07-23,233.405,234.12,232.095,232.89,146253
2021-07-26,231.705,231.845,228.1,228.42,135832
2021-07-27,226.975,228.97,224.66,228.93,420642
2021-07-28,229.05,229.05,225.165,227.31,177665
2021-07-29,228.0,229.91,227.73,229.06,82481
2021-07-30,228.89,230.755,227.44,229.46,105584
2021-08-02,228.96,230.715,228.645,229.34,220555
2021-08-03,229.94,234.29,228.96,233.89,66948
2021-08-04,233.0,233.47,230.81,231.46,111702
2021-08-05,213.24,213.24,199.66,206.17,567585
2021-08-06,207.45,211.1,205.41,209.285,354232
2021-08-09,209.0,213.13,208.93,211.11,116253
2021-08-10,210.95,211.3,209.36,211.1,127996
2021-08-11,213.07,213.07,210.99,211.26,71531
2021-08-12,210.16,211.46,209.43,209.64,118567
2021-08-13,210.9,211.22,209.06,210.53,70610
2021-08-16,209.525,211.49,208.3,210.9,62752
2021-08-17,210.34,212.0,209.1,210.5,95204
2021-08-18,209.38,209.46,205.43,205.64,197879
2021-08-19,204.77,206.74,204.51,206.2,200055
2021-08-20,206.4,208.89,205.71,207.515,115358
2021-08-23,208.505,209.06,207.21,207.71,47450
2021-08-24,210.235,213.43,209.62,211.95,101206
2021-08-25,210.85,213.39,209.31,211.42,52223
2021-08-26,210.46,211.38,207.66,207.73,80198
2021-08-27,208.62,211.55,208.62,210.61,86777
2021-08-30,210.745,210.75,207.25,207.56,59555
2021-08-31,207.03,214.515,206.91,211.7,126585
2021-09-01,212.29,212.29,208.615,211.08,96473
2021-09-02,211.75,219.58,211.75,218.22,153848
2021-09-03,217.76,217.95,215.425,217.0,44223
2021-09-07,215.92,218.32,214.75,216.29,78160
2021-09-08,216.57,216.755,212.74,213.44,80598
2021-09-09,212.835,215.23,212.505,213.88,84534
2021-09-10,208.92,209.67,203.3,204.57,202049
2021-09-13,205.52,211.73,204.18,209.08,106858
2021-09-14,209.07,210.705,203.45,203.56,92741
2021-09-15,204.2,208.54,203.955,206.49,72085
2021-09-16,207.34,209.115,203.53,205.51,107134
2021-09-17,205.7,207.31,204.67,205.76,84471
2021-09-20,203.0,203.98,200.91,202.46,130032
2021-09-21,203.565,205.17,201.97,202.46,173106
2021-09-22,204.135,205.11,201.58,201.98,101182
2021-09-23,202.33,204.5,201.87,202.4,144373
2021-09-24,202.985,205.405,202.9,203.89,143297
2021-09-27,203.81,208.18,203.81,206.62,272909
2021-09-28,206.6,207.94,203.0,203.1,134048
2021-09-29,203.745,205.91,203.27,203.95,69831
2021-09-30,207.02,207.25,200.135,200.16,66630
2021-10-01,200.95,203.77,198.98,202.52,82498
2021-10-04,202.5,204.5,198.8,199.495,59512
2021-10-05,200.31,203.92,199.74,201.32,83648
2021-10-06,199.93,203.33,197.54,203.28,99597
2021-10-07,205.5,207.32,204.66,204.66,67574
2021-10-08,207.71,208.95,204.33,205.13,68193
2021-10-11,204.845,207.45,203.59,203.94,39936
2021-10-12,204.26,205.05,201.81,202.13,43814
2021-10-13,201.37,201.37,197.46,199.42,71358
2021-10-14,204.62,206.84,202.91,203.03,68838
2021-10-15,205.27,208.06,205.01,206.17,68591
2021-10-18,204.94,205.83,203.58,204.56,61130
2021-10-19,205.99,207.08,204.86,206.57,59700
2021-10-20,208.31,215.99,208.14,214.69,142013
2021-10-21,213.85,216.26,213.85,216.25,84426
2021-10-22,216.36,219.09,214.8,216.385,117711
2021-10-26,215.01,216.37,213.6,215.6,78074
2021-10-27,215.9,216.355,213.32,213.44,94013
2021-10-28,213.84,216.09,213.84,215.78,62772
2021-10-29,214.87,216.03,213.34,213.58,57642
2021-11-01,214.49,217.26,213.8,216.13,61076
