date,open,high,low,close,volume
2021-07-21,54.66,55.695,54.405,55.55,52277
2021-07-22,55.47,55.51,54.84,55.38,38121
2021-07-23,55.67,56.32,55.67,56.17,27877
2021-07-26,56.14,56.94,56.14,56.62,32242
2021-07-27,56.07,56.455,55.7,56.45,22555
2021-07-28,56.28,57.08,56.135,56.8,22447
2021-07-29,57.445,58.31,57.445,57.785,30233
2021-07-30,57.78,58.3,57.75,58.14,41855
2021-08-02,58.27,58.76,57.78,57.815,38693
2021-08-03,57.73,58.435,57.43,58.27,34335
2021-08-04,57.74,58.01,56.93,56.94,28849
2021-08-05,56.93,57.1,56.475,56.81,39779
2021-08-06,57.13,57.33,56.81,56.855,21668
2021-08-09,56.65,57.36,56.6,56.85,16558
2021-08-10,56.98,56.98,56.245,56.42,34213
2021-08-11,56.29,56.89,55.86,56.47,80293
2021-08-12,56.52,56.53,55.665,56.115,41793
2021-08-13,56.315,56.33,55.835,55.925,27427
2021-08-16,55.9,56.05,55.42,56.0,60353
2021-08-17,55.71,55.83,54.97,55.4,51584
2021-08-18,55.63,55.95,54.745,54.775,77290
2021-08-19,54.57,55.15,54.57,54.92,40007
2021-08-20,55.0,55.15,54.62,54.995,180125
2021-08-23,55.07,55.87,54.985,55.87,130878
2021-08-24,56.135,56.32,55.87,56.26,139559
2021-08-25,56.35,57.46,56.14,56.785,44836
2021-08-26,56.85,57.04,56.32,56.69,50713
2021-08-27,56.95,57.415,56.635,57.17,85853
2021-08-30,57.5,57.74,57.1,57.26,45748
2021-08-31,57.08,57.43,56.85,57.13,57257
2021-09-01,57.04,57.34,56.34,56.92,83949
2021-09-02,57.16,58.56,56.04,58.51,208198
2021-09-03,58.24,58.28,56.28,56.95,137762
2021-09-07,56.63,56.96,55.555,55.645,64007
2021-09-08,55.555,57.06,55.555,56.25,76496
2021-09-09,56.47,56.52,55.465,55.5,57057
2021-09-10,55.615,55.615,53.89,53.93,64203
2021-09-13,54.02,54.645,54.01,54.31,39014
2021-09-14,54.3,54.3,52.87,52.95,57926
