date,open,high,low,close,volume
2021-07-21,182.41,182.41,178.745,178.85,48694
2021-07-22,178.02,184.55,177.42,180.71,118257
2021-07-23,179.28,185.07,179.12,184.73,53803
2021-07-26,184.3,187.4,183.73,185.595,107811
2021-07-27,184.32,186.06,182.03,182.91,59177
2021-07-28,182.015,183.52,181.38,181.7,40133
2021-07-29,182.22,184.2,181.62,182.78,31626
2021-07-30,183.38,183.49,180.455,181.01,78044
2021-08-02,180.65,181.75,179.07,181.37,64936
2021-08-03,162.78,166.375,159.4,164.055,489519
2021-08-04,162.805,166.835,162.67,165.605,66737
2021-08-05,165.47,165.55,162.755,163.56,96246
2021-08-06,163.33,164.12,161.75,162.55,69527
2021-08-09,163.99,165.3,162.76,164.725,54486
2021-08-10,164.5,165.72,163.21,164.82,54503
2021-08-11,164.92,166.7,164.37,166.52,78241
2021-08-12,166.57,167.28,165.76,166.74,27616
2021-08-13,167.0,169.225,166.91,168.6,21934
2021-08-16,169.11,171.725,169.11,169.89,49356
2021-08-17,169.995,171.87,169.44,171.23,63812
2021-08-18,170.99,171.4,167.33,168.37,35632
2021-08-19,168.795,171.435,168.795,171.14,60808
2021-08-20,171.6,172.97,170.015,170.015,36328
2021-08-23,169.02,169.67,168.11,168.23,45604
2021-08-24,167.5,168.4,166.525,166.69,39481
2021-08-25,165.73,165.97,164.59,164.79,149601
2021-08-26,164.42,166.25,164.39,165.015,129223
2021-08-27,164.55,166.12,164.55,164.81,26332
2021-08-30,165.0,166.77,165.0,166.77,46921
2021-08-31,166.78,168.11,166.02,168.08,42533
2021-09-01,167.96,171.36,167.96,170.73,51746
2021-09-02,170.55,171.795,169.82,170.07,180027
2021-09-03,168.735,170.515,168.735,169.52,46331
2021-09-07,169.5,169.5,166.81,168.1,73000
2021-09-08,168.3,171.67,168.3,169.72,32820
2021-09-09,169.14,169.79,168.09,168.94,33125
2021-09-10,168.555,170.11,168.07,169.75,37265
2021-09-13,170.0,172.24,169.9,171.21,77888
2021-09-14,171.76,172.42,170.085,172.27,47758
2021-09-15,172.16,173.05,168.9,168.9,41657
2021-09-16,168.615,168.9,166.07,166.595,49642
2021-09-17,166.06,168.375,165.96,166.11,46133
2021-09-20,166.715,167.09,163.73,164.73,55389
2021-09-21,164.845,165.945,163.55,163.75,37380
2021-09-22,163.54,164.2,162.03,162.15,16372
2021-09-23,162.43,163.21,161.69,162.34,50429
2021-09-24,162.41,165.06,162.41,164.62,35177
2021-09-27,163.22,165.72,163.22,164.82,29412
2021-09-28,165.5,167.09,165.13,166.61,28739
2021-09-29,167.19,169.22,166.69,168.13,42608
2021-09-30,168.12,168.12,165.6,165.6,66536
2021-10-01,165.17,165.64,162.3,164.48,54227
2021-10-04,164.55,165.38,163.03,163.69,40844
2021-10-05,163.83,163.83,161.98,162.69,25088
2021-10-06,162.88,165.59,162.16,165.13,34311
2021-10-07,164.79,166.55,164.4,165.04,24428
2021-10-08,164.725,164.725,162.41,163.47,24471
2021-10-11,163.1,163.405,162.08,162.26,15462
2021-10-12,162.65,164.275,162.39,162.94,22292
2021-10-13,162.57,162.665,160.075,160.74,53499
2021-10-14,161.11,163.63,160.75,163.63,48789
2021-10-15,163.45,164.06,162.51,163.275,17662
2021-10-18,162.86,162.86,160.4,160.54,31956
2021-10-19,160.28,160.28,156.32,159.01,118265
2021-10-20,159.545,163.05,159.545,160.875,49882
2021-10-21,161.73,161.73,159.9,160.05,29017
2021-10-22,160.73,161.93,160.73,161.53,35749
2021-10-26,161.0,161.805,160.24,161.17,37072
2021-10-27,162.07,162.865,159.5,159.6,23879
2021-10-28,159.96,161.96,159.58,161.81,39389
2021-10-29,162.13,163.98,162.13,162.96,44501
2021-11-01,162.88,164.12,162.45,163.46,73407
2021-11-02,166.885,168.6,163.945,165.33,139206
2021-11-03,164.145,166.915,163.365,165.38,29640
2021-11-04,165.3,166.34,163.69,164.26,28358
2021-11-05,163.73,163.935,161.44,163.32,45470
2021-11-08,162.97,164.4,162.285,164.23,42595
2021-11-09,164.59,166.31,164.02,166.17,36712
2021-11-10,166.58,166.73,164.81,165.49,23658
2021-11-11,164.23,165.985,163.0,165.915,47448
2021-11-12,166.0,166.9,165.08,166.065,35594
2021-11-15,166.375,169.93,166.375,169.92,58476
2021-11-16,169.85,170.95,169.2,169.9,44211
2021-11-17,170.49,172.18,168.81,169.27,60416
2021-11-18,167.79,168.67,164.885,165.77,28494
2021-11-19,168.92,171.4,166.5,166.945,43508
2021-11-22,166.5,168.675,166.0,167.6,21749
2021-11-23,167.39,169.02,166.7,168.85,33226
2021-11-24,168.39,168.69,166.73,168.15,33012
2021-11-26,169.99,174.46,169.57,174.19,119813
2021-11-29,172.025,173.26,169.09,169.17,77722
2021-11-30,169.195,169.195,162.65,162.89,57498
2021-12-01,163.65,166.95,162.39,165.75,53562
2021-12-02,166.495,168.04,166.07,166.41,59031
2021-12-03,166.73,169.54,166.705,168.21,45563
2021-12-06,168.48,169.47,167.46,168.77,44342
2021-12-07,168.355,168.355,163.895,165.24,144121
2021-12-08,165.945,168.19,165.5,167.75,26150
2021-12-09,167.36,167.725,165.83,166.93,27472
2021-12-10,167.39,169.09,167.39,168.55,20259
2021-12-13,167.555,173.05,166.21,172.145,60715
2021-12-14,172.87,173.76,171.4,172.78,53105
2021-12-15,173.3,177.805,173.3,176.08,89896
2021-12-16,174.89,179.005,174.81,178.19,54029
2021-12-17,178.63,180.67,173.37,174.25,77045
2021-12-20,174.905,179.48,174.78,176.545,67986
2021-12-21,175.91,175.91,170.28,171.12,32152
2021-12-22,171.25,171.25,169.36,170.78,31634
2021-12-23,170.515,171.09,169.44,169.83,23166
2021-12-27,170.13,171.02,169.62,170.89,21640
2021-12-28,171.37,172.06,170.84,172.02,33430
2021-12-29,172.44,173.095,170.91,171.46,36979
2021-12-30,171.99,172.71,171.24,172.29,30185
2021-12-31,173.68,174.68,172.935,174.375,20299
2022-01-03,173.5,174.94,171.2,174.94,34583
2022-01-04,174.13,176.325,173.76,175.57,29095
2022-01-05,176.2,178.07,176.2,177.38,38120
2022-01-06,177.82,179.945,176.96,178.505,67044
2022-01-07,179.07,180.5,178.295,179.96,71516
2022-01-10,180.6,182.16,179.425,179.675,105610
2022-01-11,179.72,180.84,178.895,179.59,47418
2022-01-12,178.605,182.455,178.27,182.09,63915
2022-01-13,181.97,183.37,181.74,182.93,57971
2022-01-14,183.36,186.83,182.81,186.47,149379
2022-01-18,185.695,185.695,180.71,181.09,50248
2022-01-19,182.27,182.66,179.49,181.13,66771
2022-01-20,180.65,180.92,175.78,175.93,92629
2022-01-21,176.895,180.225,176.05,178.67,52227
2022-01-24,179.33,182.295,179.33,182.0,25287
2022-01-25,175.28,175.8,171.77,174.52,87224
2022-01-26,165.745,170.0,164.55,164.65,109175
2022-01-27,164.8,166.83,163.2,165.4,104181
2022-01-28,164.89,166.98,164.89,166.95,79575
2022-01-31,166.31,168.3,164.9,167.86,44273
2022-02-01,168.51,169.07,165.65,168.66,42331
2022-02-02,166.06,167.18,165.38,166.97,55170
2022-02-03,167.34,167.495,164.985,165.12,62830
2022-02-04,144.67,147.82,140.075,141.435,427618
2022-02-07,140.355,146.6,138.62,146.37,157628
2022-02-08,145.87,145.915,143.19,143.21,112482
2022-02-09,143.99,144.43,140.53,142.63,110490
2022-02-10,142.58,143.53,141.14,141.455,74201
2022-02-11,141.56,145.03,141.22,144.03,71035
2022-02-14,144.29,144.29,140.39,142.9,89089
2022-02-15,143.29,144.45,141.94,142.61,42586
2022-02-16,143.4,143.4,139.97,141.24,36676
2022-02-17,140.99,146.25,140.8,146.05,227710
2022-02-18,145.69,150.6,145.69,150.6,110743
2022-02-22,150.78,151.16,147.89,148.52,80347
2022-02-23,148.64,148.71,147.22,147.58,66055
2022-02-24,146.59,146.63,140.89,143.2,124625
2022-02-25,143.76,147.63,143.27,147.62,65007
2022-02-28,146.22,146.965,144.39,145.7,44394
2022-03-01,145.34,146.55,143.86,144.85,49790
