date,open,high,low,close,volume
2021-07-21,117.41,118.39,116.74,118.25,66680
2021-07-22,118.27,120.04,117.67,119.91,35476
2021-07-23,120.13,122.54,120.13,121.32,57836
2021-07-26,122.385,122.385,120.41,120.83,39076
2021-07-27,120.27,121.68,119.935,121.41,29088
2021-07-28,121.14,121.66,120.42,121.41,14111
2021-07-29,121.88,122.95,121.21,122.76,29733
2021-07-30,122.93,123.12,122.08,122.2,35130
2021-08-02,122.095,123.28,121.34,122.715,47801
2021-08-03,122.66,124.25,122.465,123.75,39199
2021-08-04,123.82,128.87,123.82,125.63,137711
2021-08-05,126.05,126.05,119.585,121.84,93604
2021-08-06,122.045,122.045,119.78,120.69,58470
2021-08-09,120.535,121.83,119.23,120.25,13050
2021-08-10,120.02,120.02,117.33,118.97,57526
2021-08-11,119.68,119.92,118.18,119.09,41774
2021-08-12,119.77,120.49,118.27,119.99,52583
2021-08-13,119.77,120.0,118.34,119.58,57193
2021-08-16,119.86,120.815,119.43,119.99,28132
2021-08-17,119.66,121.18,119.595,120.97,50037
2021-08-18,120.245,121.07,118.56,118.59,19073
2021-08-19,118.12,120.55,118.06,119.32,33654
2021-08-20,118.82,119.775,118.81,119.57,14343
2021-08-23,120.12,120.225,119.09,119.68,16298
2021-08-24,119.13,119.27,117.9,118.0,47794
2021-08-25,117.3,118.84,116.58,118.09,27648
2021-08-26,118.07,118.07,115.83,116.71,68510
2021-08-27,117.505,120.27,117.505,119.89,33936
2021-08-30,119.88,120.475,119.44,119.52,11949
2021-08-31,119.805,122.74,119.805,122.3,38700
2021-09-01,121.76,122.78,119.94,122.78,32047
2021-09-02,123.32,124.99,123.145,124.99,36352
2021-09-03,125.25,125.56,125.02,125.14,26506
2021-09-07,124.85,125.445,123.31,124.215,21783
2021-09-08,124.31,125.115,123.52,124.28,23152
2021-09-09,124.17,124.945,123.61,123.61,23948
2021-09-10,123.26,123.76,121.9,122.87,36118
2021-09-13,123.17,123.76,122.67,123.72,19853
2021-09-14,123.49,123.73,122.77,123.05,29870
2021-09-15,122.795,125.865,122.57,125.79,44881
2021-09-16,126.64,126.94,124.28,124.28,66665
2021-09-17,124.06,124.635,123.12,123.775,41454
2021-09-20,122.42,122.99,120.575,121.97,72659
2021-09-21,122.335,123.37,121.06,121.51,24206
2021-09-22,122.125,123.27,122.0,122.11,33233
2021-09-23,122.98,123.61,122.55,122.55,32054
