date,open,high,low,close,volume
2021-07-21,240.29,242.95,238.49,242.1,229132
2021-07-22,243.405,248.7,243.4,248.35,298769
2021-07-23,249.935,250.55,246.69,248.28,224816
2021-07-26,247.68,248.39,246.1,247.6,190036
2021-07-27,247.13,248.01,241.205,243.445,269970
2021-07-28,243.875,246.07,243.06,243.995,187796
2021-07-29,243.89,246.11,243.725,244.03,99251
2021-07-30,242.865,244.175,241.67,241.89,122864
2021-08-02,242.345,242.345,239.035,240.88,114287
2021-08-03,241.33,243.03,239.12,241.08,101457
2021-08-04,241.84,244.65,239.82,244.31,174275
2021-08-05,244.86,250.89,243.63,250.54,243210
2021-08-06,249.22,252.065,249.22,250.54,124790
2021-08-09,251.11,252.32,248.0,249.35,123269
2021-08-10,250.7,251.12,243.1,243.38,119929
2021-08-11,244.5,246.13,240.17,242.25,148805
2021-08-12,242.55,248.4,242.01,248.4,155760
2021-08-13,251.38,253.765,248.9,251.45,207965
2021-08-16,250.58,251.0,244.54,249.25,148135
2021-08-17,246.81,249.2,245.94,246.96,173802
2021-08-18,248.0,256.77,248.0,251.05,344022
2021-08-19,249.19,255.395,249.11,253.11,270372
2021-08-20,253.21,257.87,253.21,256.15,237097
2021-08-23,257.08,261.815,256.715,260.53,316524
2021-08-24,261.255,262.47,259.07,259.52,259581
2021-08-25,260.72,261.855,258.805,261.56,230596
2021-08-26,269.81,275.19,267.42,267.81,857788
2021-08-27,267.94,270.91,265.43,266.54,401367
2021-08-30,265.735,267.56,264.78,264.95,236475
2021-08-31,264.67,266.75,262.8,265.25,281493
2021-09-01,266.51,273.195,265.66,268.28,296664
2021-09-02,269.2,269.26,263.93,264.13,179278
2021-09-03,263.645,267.41,261.83,267.105,698782
2021-09-07,266.76,267.89,264.11,265.22,209930
2021-09-08,263.99,264.34,261.63,262.63,135681
2021-09-09,262.0,263.44,260.48,260.65,111204
2021-09-10,261.0,261.44,256.52,257.18,304504
2021-09-13,256.98,257.61,252.34,254.11,135817
2021-09-14,254.53,255.0,253.075,254.4,142555
2021-09-15,254.18,256.7,253.08,256.175,132791
2021-09-16,255.74,261.2,255.09,260.42,189588
2021-09-17,259.89,261.66,258.76,260.42,154136
2021-09-20,255.59,259.18,254.94,258.26,275313
2021-09-21,259.73,262.55,257.78,257.93,213971
2021-09-22,259.12,260.27,256.36,259.18,182242
2021-09-23,269.76,279.38,266.66,277.88,644550
2021-09-24,278.72,286.34,278.49,285.67,529503
2021-09-27,282.44,283.66,279.04,279.67,290785
2021-09-28,275.21,276.57,270.19,272.39,396322
2021-09-29,273.8,274.48,269.41,270.44,245537
2021-09-30,270.76,274.07,270.495,271.24,226451
2021-10-01,271.365,276.305,268.935,275.18,246322
2021-10-04,275.13,275.13,266.155,270.89,318870
2021-10-05,271.85,273.39,271.25,271.69,159193
2021-10-06,269.65,275.475,267.835,275.33,197233
2021-10-07,276.76,279.43,274.195,274.625,205907
2021-10-08,275.76,276.81,272.295,272.5,99600
2021-10-11,271.87,276.25,271.83,273.7,96197
2021-10-12,276.545,280.71,276.13,279.02,226917
2021-10-13,280.0,285.06,278.85,284.48,195989
2021-10-14,286.08,290.58,284.66,290.02,241348
2021-10-15,292.435,292.73,289.44,291.63,180583
2021-10-18,290.47,293.23,288.86,291.62,93664
2021-10-19,292.195,295.49,291.49,292.21,151762
2021-10-20,293.135,295.36,288.05,290.11,264654
2021-10-21,289.53,291.52,288.5,289.72,104806
2021-10-22,289.185,292.97,288.38,292.57,112966
2021-10-26,296.255,298.27,293.78,295.07,135313
2021-10-27,296.675,299.17,295.09,295.09,142777
2021-10-28,296.345,298.73,293.56,298.44,176890
2021-10-29,297.69,300.74,296.61,299.75,166452
2021-11-01,301.34,304.58,299.87,302.71,161449
2021-11-02,301.68,303.42,299.59,303.04,163777
2021-11-03,303.43,303.66,298.22,302.85,125160
2021-11-04,303.03,308.33,302.42,308.02,201685
2021-11-05,308.24,311.37,303.435,307.25,252371
2021-11-08,307.32,310.98,306.04,309.94,170713
2021-11-09,310.215,311.66,307.26,309.77,121972
2021-11-10,306.5,308.53,297.98,299.59,232151
2021-11-11,301.65,305.68,301.53,302.98,102745
2021-11-12,305.42,307.13,301.64,306.71,208469
2021-11-15,307.245,307.57,303.26,305.59,96414
2021-11-16,303.99,307.405,303.13,307.19,154382
2021-11-17,307.84,309.9,307.25,308.0,127660
2021-11-18,306.55,306.55,299.6,303.02,253363
2021-11-19,305.33,305.87,301.1,301.1,160278
2021-11-22,302.095,305.45,296.8,296.8,236345
2021-11-23,292.72,296.31,288.38,291.505,351680
2021-11-24,286.0,289.32,283.465,289.16,225121
2021-11-26,284.88,287.38,283.1,284.22,175156
2021-11-29,289.57,298.38,284.855,296.59,448294
2021-11-30,296.33,299.14,283.4,285.055,576575
2021-12-01,271.91,276.8,251.8,252.01,1510220
2021-12-02,252.655,262.555,252.29,261.295,477157
2021-12-03,261.23,261.33,251.86,258.34,489862
2021-12-06,256.2,259.21,250.8,258.79,339783
2021-12-07,266.27,270.07,263.67,267.12,435756
2021-12-08,268.48,268.48,264.68,266.38,266539
2021-12-09,265.775,266.66,262.65,264.36,218256
2021-12-10,267.43,270.4,264.44,266.12,144745
2021-12-13,265.81,270.51,264.795,265.62,143253
2021-12-14,261.46,262.105,253.31,255.6,435399
2021-12-15,254.3,260.16,251.935,260.16,346993
2021-12-16,259.91,260.84,252.4,253.24,294662
2021-12-17,250.83,253.86,246.9,253.08,282580
2021-12-20,249.53,251.515,246.55,247.19,188638
2021-12-21,248.44,252.99,245.32,252.45,203126
2021-12-22,253.44,253.48,249.695,252.72,212813
2021-12-23,251.93,254.25,249.47,253.16,131075
2021-12-27,253.48,258.41,253.26,258.38,147311
2021-12-28,260.05,260.47,254.94,255.43,137638
2021-12-29,256.37,256.37,253.17,254.56,126632
2021-12-30,255.25,257.88,254.56,255.29,116835
2021-12-31,254.75,256.47,253.9,254.09,114028
2022-01-03,254.57,256.65,248.71,255.46,201614
2022-01-04,256.74,256.74,243.46,248.23,410033
2022-01-05,236.11,238.18,227.32,227.69,1016466
2022-01-06,227.49,234.39,226.11,229.14,484438
2022-01-07,228.5,232.2,226.09,228.33,220346
2022-01-10,225.5,229.83,219.0,229.74,365849
2022-01-11,228.97,236.305,226.7,234.85,410551
2022-01-12,237.13,239.28,235.84,237.78,273153
2022-01-13,237.625,238.645,227.93,228.33,275799
2022-01-14,227.825,233.15,227.825,231.15,214070
2022-01-18,228.15,230.65,225.73,225.99,281368
2022-01-19,227.885,232.175,226.19,226.21,212317
2022-01-20,229.665,231.31,222.56,223.04,267847
2022-01-21,223.24,224.63,218.3,218.59,350726
2022-01-24,212.69,216.195,210.96,213.75,188510
2022-01-25,220.615,223.66,214.705,215.43,772777
2022-01-26,219.78,221.13,209.14,211.075,980387
2022-01-27,214.39,223.135,212.21,212.62,520406
2022-01-28,215.26,222.26,210.92,222.13,379577
2022-01-31,222.93,232.855,222.57,232.75,418268
2022-02-01,232.48,232.78,226.5,232.19,393824
2022-02-02,233.68,234.44,223.05,224.83,495058
2022-02-03,218.0,220.68,210.44,212.59,690039
2022-02-04,216.07,221.51,213.445,219.305,323421
2022-02-07,220.0,221.395,216.78,217.03,272333
2022-02-08,216.25,217.93,212.15,217.5,273645
2022-02-09,220.9,222.15,215.69,222.15,367946
2022-02-10,218.0,221.835,215.81,217.735,293938
2022-02-11,218.885,219.73,206.16,207.89,373885
2022-02-14,205.43,209.885,204.67,206.29,422241
2022-02-15,209.78,214.55,208.59,214.35,365712
2022-02-16,211.48,212.33,208.43,211.78,346104
2022-02-17,208.39,209.68,199.67,199.92,431249
2022-02-18,200.5,202.5,195.81,196.89,352480
2022-02-22,195.62,201.44,193.53,195.13,327698
2022-02-23,197.125,198.95,190.14,190.49,301694
2022-02-24,184.85,204.89,184.66,204.29,841723
2022-02-25,204.25,208.41,201.72,208.19,352083
2022-02-28,208.89,211.64,207.015,210.68,419774
2022-03-01,213.4,214.18,208.46,208.71,758878
2022-03-02,216.74,217.26,201.2,210.38,1065431
2022-03-03,210.61,211.1,204.235,204.7,440793
2022-03-04,205.195,206.31,199.33,203.06,373178
2022-03-07,203.6,204.9,196.08,196.13,460189
2022-03-09,197.75,205.16,197.75,203.105,430680
2022-03-10,199.12,201.2,197.69,199.93,303134
2022-03-11,203.955,204.2,197.645,197.98,367209
2022-03-14,197.65,200.075,191.87,193.12,348261
2022-03-15,198.94,198.94,192.78,196.1,307444
2022-03-16,199.37,205.81,197.33,205.66,333910
2022-03-17,204.68,210.66,202.76,210.2,244444
2022-03-18,209.585,219.49,208.305,218.87,400720
2022-03-21,218.095,218.95,210.65,213.87,382623
2022-03-22,213.72,221.785,212.77,218.19,287936
2022-03-23,213.25,213.49,208.41,211.135,348554
2022-03-24,212.15,214.09,209.945,213.9,157917
2022-03-25,214.625,215.33,208.51,210.96,120050
2022-03-28,210.9,215.3,209.52,215.16,213395
2022-03-29,219.11,222.115,216.84,221.25,248562
2022-03-30,219.42,219.425,213.42,214.955,237882
2022-03-31,215.045,216.765,212.33,212.34,270805
2022-04-01,212.34,214.0,210.07,212.305,292745
2022-04-04,214.89,220.95,214.22,218.86,322923
2022-04-05,217.83,217.835,208.69,210.22,381805
2022-04-06,205.265,205.265,198.08,200.795,323964
2022-04-07,199.56,202.68,198.19,200.17,326637
2022-04-08,198.6,200.02,196.76,197.18,194783
2022-04-11,194.13,197.045,192.33,195.35,357568
2022-04-12,199.28,201.12,194.64,194.805,230518
2022-04-13,191.985,197.05,189.39,195.795,378877
2022-04-14,196.24,196.45,189.25,189.25,294120
2022-04-18,188.15,189.3,185.56,187.01,173595
2022-04-19,187.42,192.145,185.53,191.44,217533
2022-04-20,192.65,192.94,186.11,186.25,284200
2022-04-21,188.81,190.02,176.74,177.3,493239
2022-04-22,177.525,179.0,171.115,171.43,415225
2022-04-25,169.57,174.76,169.47,174.76,310248
2022-04-26,173.03,173.54,167.585,170.04,352331
2022-04-27,171.105,177.205,170.69,174.7,422384
2022-04-28,181.67,186.9,179.03,185.86,641690
2022-04-29,182.65,185.255,175.32,175.96,309514
2022-05-02,175.57,177.78,173.18,177.76,276505
2022-05-03,177.3,180.3,176.37,178.57,295328
2022-05-04,179.595,185.98,174.84,185.63,414908
2022-05-05,181.13,182.235,169.86,172.56,355190
2022-05-06,169.38,172.35,165.62,169.76,353662
2022-05-09,166.45,170.18,162.245,163.69,522054
2022-05-10,167.53,171.09,163.275,167.19,399854
2022-05-11,165.67,169.98,160.84,161.28,324878
2022-05-12,157.14,166.81,154.82,160.46,582942
2022-05-13,163.605,168.61,162.16,167.02,289925
2022-05-16,164.75,166.1,161.97,164.25,158009
2022-05-17,167.325,168.88,158.36,163.74,268956
2022-05-18,162.21,164.44,156.21,157.4,308111
2022-05-19,155.63,159.19,154.94,155.54,592829
2022-05-20,159.23,160.49,154.59,159.66,436956
2022-05-23,159.665,160.64,156.095,160.23,268706
2022-05-24,157.5,158.39,154.56,156.825,404212
2022-05-25,156.12,161.86,155.96,159.78,346724
2022-05-26,159.69,163.68,157.72,162.47,319024
2022-05-27,160.6,165.18,160.36,165.08,292281
2022-05-31,166.96,167.14,159.39,160.77,696498
2022-06-01,178.315,184.4,174.51,176.03,1058477
2022-06-02,174.955,190.12,174.86,188.51,993335
2022-06-03,184.78,189.6,183.9,184.95,351649
2022-06-06,188.905,190.23,181.76,182.995,222887
2022-06-07,181.85,188.57,181.8,187.11,337153
2022-06-08,187.18,190.45,185.49,189.19,249571
2022-06-09,188.39,192.62,186.65,187.19,457070
2022-06-10,183.545,183.84,177.25,178.46,413211
2022-06-13,170.84,172.63,165.08,166.21,474333
2022-06-14,168.63,169.325,162.165,164.57,377631
2022-06-15,166.8,171.43,164.77,168.41,289788
2022-06-16,163.75,166.82,158.66,159.88,258025
2022-06-17,159.02,166.14,159.02,163.25,505351
2022-06-21,165.215,169.31,165.01,166.78,285017
2022-06-22,164.43,170.42,164.355,167.31,307881
2022-06-23,168.93,173.36,167.21,173.03,291557
2022-06-24,176.795,186.39,176.795,186.0,516077
2022-06-27,186.02,186.535,180.49,181.31,263831
2022-06-28,180.27,182.33,171.48,171.48,263839
2022-06-29,172.48,172.545,168.12,170.62,276877
2022-06-30,165.16,166.83,161.12,165.13,439442
2022-07-01,164.76,168.88,164.16,168.28,184635
2022-07-05,166.36,172.33,164.67,172.16,198807
2022-07-06,173.47,174.97,170.86,172.69,210222
2022-07-07,174.17,176.9,173.26,176.615,147185
2022-07-08,174.17,176.52,172.93,175.53,144545
2022-07-11,174.79,176.22,171.295,174.34,119933
2022-07-12,173.31,173.31,164.54,166.34,336557
