date,open,high,low,close,volume
2021-07-21,31.33,31.7,31.33,31.54,349075
2021-07-22,32.78,33.27,32.605,32.685,648872
2021-07-23,32.39,32.855,32.39,32.805,529421
2021-07-26,32.86,32.97,32.51,32.91,487838
2021-07-27,32.73,32.99,32.32,32.375,339554
2021-07-28,32.25,32.44,31.855,31.895,442269
2021-07-29,32.15,32.29,32.03,32.1,256993
2021-07-30,32.125,32.345,32.05,32.34,297065
2021-08-02,32.48,32.61,31.97,32.09,217127
2021-08-03,32.195,32.535,32.04,32.415,111996
2021-08-04,32.25,32.37,31.7,31.925,206787
2021-08-05,32.25,32.275,31.97,32.15,214757
2021-08-06,32.14,32.465,32.14,32.295,107520
2021-08-09,32.255,32.475,32.16,32.4,151957
2021-08-10,32.6,33.2,32.575,32.96,410591
2021-08-11,33.03,33.995,33.03,33.99,485284
2021-08-12,33.96,34.165,33.62,34.13,172451
2021-08-13,34.27,34.275,33.7,33.875,151201
2021-08-16,33.77,33.89,33.465,33.87,187172
2021-08-17,33.78,33.84,33.26,33.745,259641
2021-08-18,33.66,34.21,33.65,33.77,286633
2021-08-19,33.6,33.92,33.395,33.6,261021
2021-08-20,33.76,33.855,33.61,33.73,233320
2021-08-23,33.87,34.32,33.77,33.86,275023
2021-08-24,33.87,33.96,33.32,33.35,346391
2021-08-25,33.44,33.555,33.275,33.46,232800
2021-08-26,33.49,33.635,33.11,33.28,150305
2021-08-27,33.29,33.535,33.29,33.45,213803
2021-08-30,33.31,33.335,33.035,33.09,144251
2021-08-31,33.12,33.2,32.34,32.525,384218
2021-09-01,32.58,32.83,32.235,32.545,368822
2021-09-02,32.68,32.77,32.425,32.545,488676
2021-09-03,32.51,32.55,31.94,32.0,307583
2021-09-07,31.88,31.99,31.47,31.51,481478
2021-09-08,31.44,31.76,31.275,31.66,457445
2021-09-09,31.69,31.69,31.215,31.35,286548
2021-09-10,31.3,31.49,30.92,30.955,295134
2021-09-13,31.23,31.27,30.66,30.91,417782
