date,open,high,low,close,volume
2021-07-21,97.93,100.46,97.79,99.82,234971
2021-07-22,99.35,99.4,97.91,98.79,149413
2021-07-23,98.54,99.11,98.0,98.84,128066
2021-07-26,99.44,101.25,99.44,100.875,350062
2021-07-27,100.05,100.715,99.01,100.62,145314
2021-07-28,100.92,101.79,100.29,101.17,220005
2021-07-29,102.27,102.865,101.97,102.55,278469
2021-07-30,103.01,104.04,100.77,101.78,327736
2021-08-02,101.88,103.95,101.575,101.65,192500
2021-08-03,101.69,102.89,100.68,102.58,163789
2021-08-04,100.37,101.87,100.12,100.275,195129
2021-08-05,100.95,102.385,100.67,101.235,167374
2021-08-06,102.17,102.56,101.625,101.94,91060
2021-08-09,101.065,101.35,99.96,100.205,151970
2021-08-10,100.775,102.31,100.65,102.03,181272
2021-08-11,102.2,102.95,101.63,102.85,129731
2021-08-12,102.83,103.24,101.78,102.655,106331
2021-08-13,102.375,102.465,101.65,101.92,166488
2021-08-16,100.83,101.19,99.935,100.92,231564
2021-08-17,100.12,101.62,99.67,100.7,176084
2021-08-18,98.67,99.41,96.555,96.61,333739
2021-08-19,94.84,95.27,92.87,94.29,335944
2021-08-20,93.28,94.845,93.28,94.275,158488
2021-08-23,96.16,96.985,96.15,96.75,219763
2021-08-24,97.82,98.61,97.39,97.84,166502
2021-08-25,97.22,98.72,96.78,98.55,236873
2021-08-26,98.03,98.72,97.215,97.215,288385
2021-08-27,98.44,99.42,98.13,98.68,186941
2021-08-30,99.045,99.26,97.98,98.405,166683
2021-08-31,98.08,98.355,96.66,96.68,543751
2021-09-01,96.85,97.06,95.49,95.72,519493
2021-09-02,96.69,98.355,96.575,97.71,759206
2021-09-03,97.54,98.395,97.41,97.49,316018
2021-09-07,97.14,97.975,96.755,97.055,300713
2021-09-08,97.34,98.45,96.355,96.39,248295
2021-09-09,95.845,97.59,95.48,96.0,235327
2021-09-10,97.5,97.51,95.935,96.08,224012
2021-09-13,97.06,98.64,97.06,97.96,197252
2021-09-14,98.48,98.705,95.99,96.12,225517
2021-09-15,97.105,98.52,97.01,98.25,253295
2021-09-16,98.18,98.58,96.97,97.26,175821
2021-09-17,97.11,98.34,96.38,96.74,177779
2021-09-20,94.67,95.215,93.325,94.785,280444
