date,open,high,low,close,volume
2021-07-21,48.62,49.01,48.3,48.76,181409
2021-07-22,48.93,48.93,48.27,48.66,211951
2021-07-23,48.69,49.01,48.48,48.95,102274
2021-07-26,49.0,49.18,48.8,48.89,124744
2021-07-27,48.56,48.85,48.14,48.7,147333
2021-07-28,48.78,48.96,48.58,48.61,55244
2021-07-29,48.72,49.12,48.44,49.06,115759
2021-07-30,48.81,49.27,48.69,48.96,56735
2021-08-02,49.03,49.23,48.66,48.81,80135
2021-08-03,49.04,50.08,48.72,49.89,159268
2021-08-04,49.6,49.62,49.25,49.34,38072
2021-08-05,49.64,49.95,49.47,49.84,77598
2021-08-06,49.84,50.08,49.78,49.94,45219
2021-08-09,49.69,50.06,49.51,49.92,60249
2021-08-10,50.14,50.26,49.76,49.93,104235
2021-08-11,49.95,50.91,49.95,50.87,101341
2021-08-12,50.79,51.07,50.5,50.97,125090
2021-08-13,51.05,51.05,50.53,50.69,86989
2021-08-16,50.25,50.61,49.95,50.5,88637
2021-08-17,50.02,50.3,49.28,49.58,89088
2021-08-18,49.35,49.66,49.18,49.19,60519
2021-08-19,48.97,49.12,48.56,48.76,90748
2021-08-20,49.37,50.13,49.19,49.93,146846
2021-08-23,50.19,50.91,49.91,50.74,154720
2021-08-24,51.04,51.32,50.65,51.05,93174
2021-08-25,50.97,51.92,50.78,51.73,164512
2021-08-26,52.0,52.03,51.26,51.5,216923
2021-08-27,50.13,51.37,48.18,49.14,730649
2021-08-30,49.52,50.21,48.9,49.75,226318
2021-08-31,49.78,49.88,49.32,49.37,106267
2021-09-01,49.48,49.65,49.02,49.06,134140
2021-09-02,49.35,49.54,48.93,49.19,93216
2021-09-03,49.28,49.64,49.13,49.21,111985
2021-09-07,48.96,49.18,48.59,48.66,78951
2021-09-08,48.68,48.76,47.74,48.08,174446
2021-09-09,48.08,49.04,47.96,48.84,205460
2021-09-10,49.15,49.22,48.17,48.26,280568
2021-09-13,49.67,50.37,49.46,50.13,649612
2021-09-14,50.01,50.05,49.26,49.39,220457
2021-09-15,49.54,51.05,49.32,50.91,273033
2021-09-16,50.85,51.49,50.68,51.38,320369
2021-09-17,51.21,51.74,49.97,50.96,318963
2021-09-20,50.08,51.69,50.08,51.15,459466
2021-09-21,51.56,51.77,50.12,50.31,262746
2021-09-22,50.61,50.61,49.67,50.31,253858
2021-09-23,50.84,53.33,50.21,52.06,551449
2021-09-24,52.17,52.76,52.17,52.65,271076
2021-09-27,52.46,53.26,52.46,53.15,191635
2021-09-28,52.92,53.55,52.86,53.38,223971
2021-09-29,53.57,53.82,52.68,53.41,216317
2021-09-30,53.61,53.63,52.1,52.73,207569
2021-10-01,52.98,53.81,52.78,53.61,172862
2021-10-04,53.84,53.99,52.93,53.34,186265
2021-10-05,53.48,53.95,53.09,53.72,154270
2021-10-06,52.88,53.55,52.69,53.46,142026
2021-10-07,53.78,54.47,53.55,54.22,183039
2021-10-08,54.5,54.57,52.91,53.26,248043
2021-10-11,53.33,53.85,53.09,53.32,147700
2021-10-12,53.35,53.35,52.4,52.56,144812
2021-10-13,52.65,53.0,52.21,52.55,159767
2021-10-14,52.94,53.94,52.81,53.74,145289
2021-10-15,54.05,54.72,53.88,54.58,129105
2021-10-18,55.06,55.6,54.89,55.08,207492
2021-10-19,55.4,56.21,55.22,56.2,516038
2021-10-20,56.42,56.74,56.13,56.59,492135
2021-10-21,56.45,57.52,56.35,57.27,418516
2021-10-22,57.22,58.17,57.22,58.07,254432
2021-10-26,57.13,57.16,55.82,55.87,245697
2021-10-27,55.77,55.77,54.71,54.96,186199
2021-10-28,55.68,55.96,55.14,55.8,277754
2021-10-29,55.45,56.66,55.37,55.75,397731
2021-11-01,55.65,56.54,55.62,56.52,287191
2021-11-02,56.65,57.3,53.03,54.61,630600
2021-11-03,55.04,55.295,54.28,55.21,277838
2021-11-04,55.43,55.43,53.78,54.57,281591
2021-11-05,54.735,56.425,54.6,56.36,271835
2021-11-08,56.37,56.72,55.275,55.55,133875
2021-11-09,55.59,56.28,55.03,56.08,155738
2021-11-10,56.14,57.17,56.05,56.615,228148
2021-11-11,56.81,56.99,55.98,56.19,130765
2021-11-12,56.3,56.55,55.88,56.04,116236
2021-11-15,56.45,57.54,56.28,56.69,251208
2021-11-16,56.7,57.08,56.52,56.81,203571
2021-11-17,56.96,57.2,55.965,55.99,265583
2021-11-18,56.01,56.65,55.555,55.99,230347
2021-11-19,55.8,55.99,54.965,55.17,236585
2021-11-22,55.44,55.67,54.33,55.15,260239
2021-11-23,54.88,55.11,54.23,54.73,324317
2021-11-24,55.0,57.99,54.97,57.27,592499
2021-11-26,56.08,57.73,56.0,56.18,167450
2021-11-29,56.86,57.87,56.48,57.6,186050
2021-11-30,57.475,57.7,55.73,56.45,306444
2021-12-01,56.93,57.21,55.575,55.69,208874
2021-12-02,55.62,57.255,55.58,57.13,225096
2021-12-03,57.55,58.63,57.45,58.47,391042
2021-12-06,58.9,59.28,58.17,58.8,168781
2021-12-07,59.19,59.45,58.24,58.91,135336
2021-12-08,58.92,59.0,57.92,58.42,122137
2021-12-09,58.25,58.545,57.6,57.65,260513
2021-12-10,57.95,58.015,57.15,57.6,113570
2021-12-13,57.36,57.375,55.665,55.7,152891
2021-12-14,54.69,55.145,54.275,54.62,269489
2021-12-15,54.685,56.05,54.465,56.04,122184
2021-12-16,56.31,56.33,54.955,55.0,147602
2021-12-17,54.84,55.015,54.06,54.62,221542
2021-12-20,54.07,54.14,53.1,53.6,207791
2021-12-21,54.6,55.475,54.01,55.475,115198
2021-12-22,55.46,55.69,54.85,55.38,165196
2021-12-23,55.665,56.245,55.43,55.88,118150
2021-12-27,56.17,56.77,56.15,56.595,94643
2021-12-28,56.77,57.34,56.77,56.95,103584
2021-12-29,57.38,57.76,56.995,57.07,70064
2021-12-30,57.08,57.08,56.47,56.5,64487
2021-12-31,56.45,56.63,56.17,56.17,50082
2022-01-03,56.4,57.08,56.28,56.97,102433
2022-01-04,57.33,59.0,57.33,58.5,202636
2022-01-05,58.4,59.48,57.88,58.04,212896
2022-01-06,58.1,58.67,57.64,58.09,235380
2022-01-07,58.12,58.41,57.32,58.015,116631
2022-01-10,59.17,60.005,58.63,59.875,362032
2022-01-11,59.94,60.66,59.775,60.245,304026
2022-01-12,60.25,60.51,59.14,59.95,105255
2022-01-13,60.53,60.67,59.89,60.17,421628
2022-01-14,59.97,60.76,59.69,60.545,204418
2022-01-18,60.34,60.81,59.425,59.465,151003
2022-01-19,59.63,60.42,57.93,57.93,174133
2022-01-20,58.23,59.045,57.36,57.4,106811
2022-01-21,57.155,57.19,55.27,55.6,213307
2022-01-24,54.7,54.7,53.74,54.65,46076
2022-01-25,54.85,56.02,53.605,55.43,148804
2022-01-26,56.37,56.73,54.97,55.38,124574
2022-01-27,56.44,57.6,55.055,55.43,205307
2022-01-28,55.41,56.37,54.82,56.24,136104
2022-01-31,56.115,56.81,55.95,56.81,126712
2022-02-01,57.04,58.61,56.89,58.58,93656
2022-02-02,58.96,59.71,58.8,59.47,128385
2022-02-03,59.205,60.07,58.91,59.18,86976
2022-02-04,59.08,59.31,58.285,58.75,79844
2022-02-07,59.17,59.61,58.84,58.94,84365
2022-02-08,59.23,60.03,58.8,59.97,90631
2022-02-09,60.32,61.0,60.155,60.78,91092
2022-02-10,60.37,61.52,60.34,60.695,138955
2022-02-11,60.66,61.3,59.36,59.495,104089
2022-02-14,59.46,59.55,58.23,58.59,74514
2022-02-15,58.91,60.415,58.86,59.78,159179
2022-02-16,59.49,60.53,59.43,60.31,130309
2022-02-17,60.105,60.35,59.25,59.25,76008
2022-02-18,59.32,59.91,58.81,58.89,132253
2022-02-22,58.53,58.99,56.91,57.14,122442
2022-02-23,57.98,58.36,56.56,56.75,172360
2022-02-24,55.1,55.95,54.37,55.91,471518
2022-02-25,50.91,53.05,49.185,51.46,676126
2022-02-28,50.79,52.01,50.315,50.95,322385
2022-03-01,50.33,50.53,49.63,49.885,304147
2022-03-02,50.295,53.775,50.27,53.6,324380
2022-03-03,53.6,53.91,52.49,52.59,221597
2022-03-04,52.115,52.47,51.4,51.99,124107
2022-03-07,51.72,51.72,49.0,49.33,249606
2022-03-09,51.64,52.54,51.555,51.99,187927
