date,open,high,low,close,volume
2021-07-21,176.545,177.89,175.38,176.84,214235
2021-07-22,176.3,176.33,173.905,175.175,201043
2021-07-23,175.46,176.5,174.055,176.16,175105
2021-07-26,175.54,178.76,175.355,178.76,240986
2021-07-27,178.25,179.535,176.61,179.53,248533
2021-07-28,179.69,180.34,177.58,179.1,169699
2021-07-29,179.91,181.41,178.3,178.35,155816
2021-07-30,177.57,178.97,175.15,176.07,187659
2021-08-02,177.21,178.71,175.34,175.5,165717
2021-08-03,175.95,176.035,170.95,172.98,205229
2021-08-04,172.49,173.215,171.345,172.67,155806
2021-08-05,172.61,177.065,172.61,176.72,284832
2021-08-06,177.54,178.605,176.63,177.18,121145
2021-08-09,176.99,177.21,175.08,176.72,158676
2021-08-10,176.31,177.39,175.59,177.11,135671
2021-08-11,177.39,178.485,176.53,178.06,151784
2021-08-12,177.925,179.68,176.475,179.41,318870
2021-08-13,186.01,187.57,180.895,181.1,947528
2021-08-16,180.55,180.55,176.51,179.04,231452
2021-08-17,176.81,178.41,174.93,175.76,168397
2021-08-18,175.75,176.75,174.51,174.74,168670
2021-08-19,173.82,174.62,172.605,173.3,194910
2021-08-20,172.97,175.2,172.67,175.16,119551
2021-08-23,176.69,178.28,175.97,177.68,148142
2021-08-24,178.15,180.06,178.12,178.45,98940
2021-08-25,178.15,178.56,176.945,178.33,128545
2021-08-26,178.03,178.865,176.365,176.6,157675
2021-08-27,176.61,180.5,176.6,180.14,329711
2021-08-30,180.33,181.39,178.915,180.03,158814
2021-08-31,179.39,182.97,178.58,181.32,173599
2021-09-01,182.02,184.2,181.84,183.49,215965
2021-09-02,184.69,185.29,181.56,181.82,193248
2021-09-03,180.88,181.64,179.14,181.19,154319
2021-09-07,181.0,185.51,180.155,184.34,365638
2021-09-08,184.34,187.405,183.95,185.135,308009
2021-09-09,185.32,187.54,184.635,185.84,178373
2021-09-10,186.79,187.01,184.025,184.09,156568
2021-09-13,185.145,185.79,183.62,184.96,115869
2021-09-14,184.96,185.09,182.2,182.36,221559
2021-09-15,182.64,184.61,181.13,184.435,172346
2021-09-16,184.09,184.56,182.13,183.3,138131
2021-09-17,183.34,185.89,182.74,183.51,181728
2021-09-20,180.15,180.88,176.565,178.655,178939
2021-09-21,180.32,182.13,169.03,171.15,922065
2021-09-22,173.04,175.32,171.685,173.57,1171550
2021-09-23,174.57,177.15,174.57,176.21,264243
2021-09-24,175.45,176.67,175.12,176.01,169859
2021-09-27,176.45,179.45,175.98,178.19,187385
2021-09-28,177.82,177.95,173.94,174.61,313726
2021-09-29,174.1,174.87,172.63,172.635,173225
2021-09-30,173.155,173.65,169.1,169.1,377535
2021-10-01,172.44,177.305,172.42,175.83,332600
2021-10-04,175.04,175.94,172.67,173.405,240309
2021-10-05,173.75,176.22,173.75,174.58,138763
2021-10-06,172.81,175.66,171.61,175.44,120151
2021-10-07,177.72,179.61,177.34,177.71,207808
2021-10-08,177.37,178.54,176.52,176.71,127667
2021-10-11,176.02,176.42,173.49,173.5,146714
2021-10-12,173.62,174.41,172.61,173.05,101624
2021-10-13,173.7,173.7,170.98,172.97,219563
2021-10-14,174.2,176.0,174.14,174.42,163969
