date,open,high,low,close,volume
2021-07-21,156.49,156.49,154.45,154.57,46053
2021-07-22,154.465,154.79,153.385,153.97,25745
2021-07-23,153.84,155.05,152.8,154.94,37752
2021-07-26,154.445,154.445,152.95,153.8,40104
2021-07-27,153.46,155.68,153.46,155.21,39545
2021-07-28,155.3,155.32,153.42,154.235,32200
2021-07-29,154.0,154.7,149.825,150.28,78619
2021-07-30,154.75,157.255,153.42,154.16,143136
2021-08-02,154.38,156.61,153.02,154.76,61663
2021-08-03,154.92,156.55,154.72,155.03,43156
2021-08-04,155.675,157.06,154.38,155.97,77050
2021-08-05,156.53,156.615,154.09,156.035,59994
2021-08-06,155.735,157.95,155.65,157.19,53071
2021-08-09,156.74,158.03,156.27,157.67,117924
2021-08-10,157.285,157.62,154.37,154.39,27433
2021-08-11,155.06,156.85,154.76,156.48,39639
2021-08-12,155.46,158.0,155.46,157.53,45966
2021-08-13,158.04,159.12,157.69,159.12,25197
2021-08-16,158.755,161.61,158.755,161.46,56691
2021-08-17,161.03,162.335,160.59,161.6,51440
2021-08-18,161.335,161.77,158.96,159.56,87917
2021-08-19,160.13,163.55,160.13,162.73,51433
2021-08-20,161.945,164.2,161.87,162.71,55377
2021-08-23,162.24,163.29,161.45,162.04,83805
2021-08-24,161.85,161.895,160.05,161.58,53380
2021-08-25,160.45,160.81,157.12,158.55,33691
2021-08-26,158.205,159.51,157.565,158.91,30615
2021-08-27,159.04,160.335,158.78,160.09,64022
2021-08-30,159.34,162.41,159.34,162.395,72523
2021-08-31,162.44,164.12,161.34,163.885,108041
2021-09-01,164.21,166.74,163.615,166.55,62036
2021-09-02,166.02,168.06,164.82,168.0,70758
2021-09-03,166.845,168.3,166.08,167.465,68813
2021-09-07,165.91,166.63,164.36,166.43,85801
2021-09-08,166.385,168.27,165.54,166.11,78675
2021-09-09,159.15,160.39,157.79,157.9,234307
2021-09-10,158.01,158.01,155.19,155.35,151220
2021-09-13,156.06,156.49,153.64,154.745,68732
2021-09-14,153.47,154.66,153.46,154.17,63622
2021-09-15,154.02,156.74,154.02,156.09,78140
