date,open,high,low,close,volume
2021-07-21,116.6,116.94,115.025,115.035,47410
2021-07-22,115.28,115.485,114.885,114.92,40694
2021-07-23,114.84,116.49,114.84,116.27,42910
2021-07-26,115.99,116.44,114.76,115.76,65655
2021-07-27,116.36,119.26,115.87,118.71,82340
2021-07-28,117.92,118.02,116.11,117.65,56403
2021-07-29,118.06,118.88,117.44,118.19,47261
2021-07-30,118.175,118.495,116.98,117.28,21024
2021-08-02,117.8,118.55,117.28,117.59,24744
2021-08-03,117.85,118.33,117.23,118.13,38961
2021-08-04,117.255,117.89,116.48,117.86,18365
2021-08-05,118.055,119.31,118.0,119.31,16392
2021-08-06,119.34,120.63,119.34,119.57,23737
2021-08-09,119.13,120.01,119.13,120.01,25242
2021-08-10,120.17,120.815,119.63,120.05,82160
2021-08-11,120.27,120.91,120.12,120.18,110231
2021-08-12,120.69,120.69,119.915,119.95,38836
2021-08-13,120.19,120.705,120.19,120.39,19541
2021-08-16,120.25,121.63,119.97,120.02,33820
2021-08-17,119.7,120.36,118.97,120.25,35110
2021-08-18,120.37,120.37,119.45,120.2,17845
2021-08-19,119.92,121.2,119.89,120.23,42355
2021-08-20,119.11,121.83,119.11,121.53,90013
2021-08-23,121.61,121.83,120.875,121.2,50193
2021-08-24,120.91,120.91,119.5,120.47,45195
2021-08-25,120.14,121.1,120.05,120.73,34872
2021-08-26,120.54,120.57,120.1,120.465,41194
2021-08-27,120.69,121.355,120.47,120.62,48536
2021-08-30,120.865,120.96,120.27,120.39,16156
2021-08-31,120.19,120.8,119.62,120.35,23644
2021-09-01,119.51,121.645,119.48,121.375,35750
2021-09-02,121.705,122.13,121.18,122.13,76625
2021-09-03,121.59,121.75,120.75,120.75,21575
2021-09-07,119.87,120.01,118.84,119.27,33402
2021-09-08,119.0,121.78,119.0,121.34,34255
2021-09-09,121.26,121.445,120.55,120.55,28195
2021-09-10,120.645,120.645,118.73,118.78,16410
2021-09-13,119.49,119.61,117.94,118.03,24973
2021-09-14,118.43,118.43,117.235,117.3,21894
2021-09-15,117.25,117.72,116.69,116.81,27572
2021-09-16,117.3,118.41,116.47,117.57,85272
2021-09-17,117.86,118.45,113.96,113.99,63438
2021-09-20,113.57,114.485,112.63,113.89,119362
2021-09-21,114.215,114.61,112.67,113.41,51796
2021-09-22,113.09,114.46,112.985,113.9,19129
2021-09-23,114.815,114.815,113.555,113.79,25820
2021-09-24,113.65,114.04,113.35,113.72,14541
2021-09-27,113.5,114.95,112.36,112.58,20428
2021-09-28,112.58,112.6,110.57,111.4,35742
2021-09-29,111.455,113.695,111.41,113.195,51753
2021-09-30,113.635,113.635,111.67,111.67,36274
2021-10-01,111.84,112.82,111.58,111.61,19313
2021-10-04,112.805,113.46,111.93,112.99,64030
2021-10-05,113.145,114.59,112.71,113.75,55986
2021-10-06,113.19,115.39,112.585,115.31,36207
2021-10-07,115.62,116.66,114.73,115.07,67960
2021-10-08,114.87,115.04,114.03,114.17,18759
2021-10-11,113.56,114.03,111.57,112.15,32955
2021-10-12,111.85,113.05,111.85,112.84,21382
2021-10-13,112.525,114.16,112.1,114.01,52369
2021-10-14,114.03,115.07,114.03,115.07,31380
2021-10-15,115.27,115.57,114.705,115.09,29754
2021-10-18,114.08,114.635,113.74,113.76,19349
2021-10-19,114.135,114.84,113.78,114.47,16174
2021-10-20,114.78,116.145,114.78,115.41,29616
2021-10-21,115.62,115.7,115.235,115.4,20657
2021-10-22,115.95,116.61,115.825,116.03,34104
2021-10-26,115.985,117.2,115.89,116.43,26933
2021-10-27,115.69,115.86,113.84,113.85,50699
2021-10-28,114.27,114.585,113.83,114.38,13161
2021-10-29,114.3,114.73,112.73,113.37,23129
2021-11-01,113.465,113.465,112.255,112.98,23185
2021-11-02,113.14,113.35,111.82,113.09,22350
2021-11-03,113.04,113.99,112.24,113.24,22135
2021-11-04,113.38,113.57,112.67,113.38,34462
2021-11-05,113.93,114.835,113.525,114.15,29924
2021-11-08,114.08,114.08,112.04,112.36,25973
2021-11-09,112.36,112.95,111.9,112.5,23095
2021-11-10,112.88,113.49,112.63,113.19,45482
2021-11-11,113.06,113.065,111.71,112.53,20403
2021-11-12,112.4,112.4,111.8,111.97,9407
2021-11-15,112.07,113.29,111.945,113.25,68705
2021-11-16,113.06,113.79,112.77,112.77,99852
2021-11-17,112.42,113.13,112.0,112.73,63590
2021-11-18,112.6,112.65,111.08,111.4,59650
2021-11-19,111.04,111.34,110.175,111.11,69958
2021-11-22,111.45,113.53,110.785,112.89,102505
2021-11-23,113.01,113.36,112.24,112.24,37648
2021-11-24,112.07,112.67,111.6,112.15,35182
2021-11-26,110.885,111.085,110.19,110.71,24792
2021-11-29,111.02,111.85,110.75,111.56,40383
2021-11-30,110.16,110.98,108.28,108.28,48905
2021-12-01,109.8,111.65,109.12,109.12,55808
2021-12-02,109.805,110.95,109.76,109.99,49343
2021-12-03,110.27,111.91,109.79,111.91,72725
2021-12-06,113.18,115.07,113.18,114.28,35679
2021-12-07,114.17,116.0,114.11,115.055,86519
2021-12-08,115.29,116.17,114.55,114.58,18513
2021-12-09,114.0,116.0,113.99,115.19,28875
2021-12-10,115.95,116.465,115.81,116.235,27801
2021-12-13,116.27,117.69,115.78,117.15,37991
2021-12-14,117.6,117.7,116.87,117.45,56178
2021-12-15,117.65,119.71,117.65,119.61,83305
2021-12-16,119.9,120.78,119.77,120.33,49123
2021-12-17,118.915,119.69,116.36,116.59,37922
2021-12-20,115.33,117.25,114.54,117.135,33338
