date,open,high,low,close,volume
2021-07-21,215.61,215.95,213.88,214.45,52845
2021-07-22,213.97,215.13,213.59,214.98,23244
2021-07-23,216.33,218.23,215.52,217.94,24049
2021-07-26,217.705,219.52,216.52,219.19,64760
2021-07-27,216.8,221.225,213.84,221.02,109495
2021-07-28,220.77,220.77,216.615,219.19,38452
2021-07-29,220.285,220.79,219.21,220.21,41262
2021-07-30,221.36,222.64,220.48,220.83,36604
2021-08-02,222.04,222.29,218.04,218.05,64783
2021-08-03,218.24,219.455,217.68,219.455,61942
2021-08-04,217.38,218.55,217.19,217.94,38457
2021-08-05,218.35,218.39,217.06,218.15,23260
2021-08-06,218.15,219.73,217.47,219.685,36038
2021-08-09,220.54,220.54,217.935,218.51,22326
2021-08-10,219.14,219.75,218.53,219.12,27952
2021-08-11,219.51,220.905,218.67,220.66,38721
2021-08-12,219.87,220.22,218.96,219.69,19391
2021-08-13,220.1,221.62,219.73,221.62,29270
2021-08-16,219.9,221.31,218.51,221.31,29116
2021-08-17,220.905,221.36,219.23,221.29,47256
2021-08-18,219.85,220.95,219.22,219.22,73867
2021-08-19,217.9,220.99,217.74,220.43,40655
2021-08-20,220.535,222.275,220.53,222.09,24744
2021-08-23,222.77,222.965,221.96,222.44,22440
2021-08-24,222.83,223.07,222.155,222.415,15799
2021-08-25,222.35,224.38,221.81,224.15,21023
2021-08-26,223.45,223.93,222.59,223.14,34389
2021-08-27,223.875,225.74,223.395,225.05,38914
2021-08-30,224.85,226.495,224.85,225.44,26121
2021-08-31,225.495,225.96,224.35,225.38,35231
2021-09-01,224.09,225.75,223.23,224.885,57837
2021-09-02,225.87,227.38,225.075,226.92,30566
2021-09-03,227.02,227.9,225.11,225.16,34131
2021-09-07,225.115,228.17,225.04,227.18,66462
2021-09-08,226.81,229.98,226.81,229.59,38885
2021-09-09,229.545,231.16,227.41,227.43,59070
2021-09-10,227.07,227.21,225.15,225.85,31195
2021-09-13,228.01,228.17,223.005,224.34,101145
2021-09-14,225.525,225.82,223.3,223.565,81175
2021-09-15,223.18,224.44,222.41,223.82,60026
2021-09-16,222.24,223.91,221.02,223.58,43052
2021-09-17,222.46,222.46,218.08,218.3,57804
2021-09-20,216.05,219.15,214.745,217.145,43467
2021-09-21,218.06,219.615,217.47,217.93,41192
2021-09-22,218.61,222.66,218.42,220.7,37932
2021-09-23,223.12,224.23,222.78,224.0,20683
2021-09-24,223.215,225.48,223.215,223.82,41446
2021-09-27,222.01,223.77,217.91,218.26,70387
2021-09-28,216.92,216.925,211.54,212.81,48331
2021-09-29,213.635,214.81,212.49,212.66,46010
2021-09-30,213.57,214.49,208.61,208.61,30327
2021-10-01,210.505,214.64,209.18,213.55,86194
2021-10-04,213.78,214.89,211.3,212.35,45490
2021-10-05,212.95,215.675,211.49,214.38,28322
2021-10-06,212.115,216.74,212.115,216.64,43109
2021-10-07,218.07,220.01,216.07,216.45,46602
2021-10-08,216.415,216.94,214.89,214.97,27477
2021-10-11,215.12,215.35,212.15,212.21,45008
2021-10-12,212.375,212.76,211.4,212.19,47152
2021-10-13,212.29,214.0,211.47,213.28,54459
2021-10-14,214.42,219.55,214.04,219.35,49066
2021-10-15,219.58,222.11,219.425,220.13,83080
2021-10-18,218.58,219.31,217.39,218.71,40108
2021-10-19,219.28,220.09,217.76,219.48,35534
2021-10-20,218.72,220.96,218.72,220.54,28563
2021-10-21,221.29,222.25,220.02,222.25,28410
2021-10-22,222.59,222.915,221.13,221.395,70030
2021-10-25,222.125,224.21,220.85,221.62,61882
2021-10-26,223.9,230.89,221.09,230.27,101707
2021-10-27,225.525,226.43,221.025,221.12,72923
2021-10-28,221.925,223.485,220.725,221.05,38899
2021-10-29,219.22,223.13,219.22,222.24,55429
2021-11-01,224.72,225.39,222.1,222.53,31567
2021-11-02,223.15,227.63,222.37,226.8,69207
2021-11-03,226.89,229.035,223.54,227.91,115300
2021-11-04,227.88,229.85,227.205,228.1,59172
2021-11-05,229.77,230.715,228.63,230.66,65214
2021-11-08,229.93,231.44,229.61,230.86,28392
2021-11-09,230.62,231.455,229.42,230.9,47923
2021-11-10,232.045,234.19,230.57,233.46,108698
2021-11-11,231.91,234.07,231.91,232.48,55792
2021-11-12,233.43,235.86,233.43,235.765,48676
2021-11-15,236.765,236.765,234.995,235.42,42461
2021-11-16,236.08,236.72,233.33,233.34,34110
2021-11-17,233.43,233.97,231.64,232.37,20371
2021-11-18,231.09,231.39,230.06,230.8,30724
2021-11-19,230.43,236.385,230.43,235.03,36979
2021-11-22,235.78,238.92,234.495,234.495,47869
2021-11-23,234.34,234.88,232.23,233.42,23839
2021-11-24,232.51,233.265,230.13,231.35,20923
2021-11-26,228.01,230.1,226.0,226.34,41009
2021-11-29,228.215,228.66,224.7,227.57,56020
2021-11-30,226.72,227.855,220.815,221.68,71589
2021-12-01,223.41,227.28,220.21,220.21,66493
2021-12-02,222.01,226.18,222.01,224.64,51869
2021-12-03,224.955,225.83,218.19,220.85,91078
2021-12-06,223.86,231.525,223.77,229.56,81154
2021-12-07,232.65,233.83,229.51,230.75,55778
2021-12-08,231.92,232.915,230.05,232.43,33038
2021-12-09,230.955,231.53,228.62,230.38,61697
2021-12-10,231.64,232.2,230.84,232.06,98170
2021-12-13,232.05,232.575,228.88,231.34,39317
2021-12-14,230.67,231.42,228.08,228.84,32771
2021-12-15,228.66,229.62,226.72,229.19,46880
2021-12-16,228.84,231.58,227.61,229.91,95535
2021-12-17,229.71,229.71,225.28,225.43,108262
2021-12-20,223.145,224.16,220.525,224.12,36908
2021-12-21,225.315,226.235,224.52,225.44,36113
2021-12-22,225.95,227.27,225.83,226.84,19637
2021-12-23,227.95,230.1,227.7,228.43,18161
2021-12-27,229.505,231.84,229.05,231.695,29291
2021-12-28,232.54,234.385,232.495,234.07,18146
2021-12-29,233.87,236.05,233.81,235.71,13776
2021-12-30,236.15,236.66,234.02,234.14,14114
2021-12-31,233.23,235.45,233.23,234.525,18203
2022-01-03,234.71,234.94,228.77,229.73,36458
2022-01-04,231.585,234.36,231.065,233.48,48988
2022-01-05,234.185,237.365,233.2,233.2,29229
2022-01-06,234.15,234.15,229.07,230.45,50679
2022-01-07,229.4,231.1,227.85,229.86,30892
2022-01-10,229.11,229.11,223.65,225.77,41752
2022-01-11,227.12,227.12,222.56,226.47,57719
2022-01-12,226.0,227.045,224.65,226.42,113518
2022-01-13,227.4,227.65,222.65,223.19,41520
2022-01-14,221.08,221.445,215.28,215.98,130797
