date,open,high,low,close,volume
2021-07-21,73.7,73.93,72.715,72.74,38004
2021-07-22,72.7,73.21,72.51,73.025,54893
2021-07-23,73.235,74.195,73.23,74.175,60600
2021-07-26,74.29,74.41,73.63,73.96,56196
2021-07-27,73.87,75.69,73.5,75.55,69491
2021-07-28,75.49,75.6,74.03,74.6,45123
2021-07-29,74.75,74.75,74.06,74.53,44620
2021-07-30,74.78,75.31,73.485,73.75,101640
2021-08-02,74.12,74.77,73.98,74.49,59038
2021-08-03,74.37,75.4,74.22,74.87,46134
2021-08-04,74.25,74.93,73.95,74.9,68785
2021-08-05,74.52,75.32,74.27,75.32,67500
2021-08-06,75.3,76.305,74.58,75.535,83056
2021-08-09,75.72,76.08,75.4,76.075,44675
2021-08-10,76.105,76.76,75.9,76.4,54954
2021-08-11,76.67,77.31,76.48,77.12,46643
2021-08-12,77.36,77.85,77.06,77.245,53835
2021-08-13,77.19,77.975,77.14,77.75,54112
2021-08-16,77.88,78.75,77.685,78.26,69895
2021-08-17,77.355,77.565,76.375,77.24,58127
2021-08-18,77.09,77.38,76.265,76.61,40893
2021-08-19,76.9,77.56,76.585,76.67,37449
2021-08-20,76.28,77.25,76.21,76.99,27828
2021-08-23,76.84,76.865,75.63,75.8,56005
2021-08-24,75.74,75.74,74.82,75.025,36883
2021-08-25,75.0,75.52,74.545,75.27,50608
2021-08-26,75.0,75.32,74.69,75.22,50880
2021-08-27,75.28,75.68,75.11,75.63,54329
2021-08-30,75.71,76.01,75.595,75.69,60082
2021-08-31,75.63,76.075,75.26,75.46,57929
2021-09-01,75.52,76.65,75.51,76.445,100636
2021-09-02,76.74,77.13,76.7,77.12,49404
2021-09-03,77.01,77.06,76.3,76.32,44315
2021-09-07,76.3,76.425,74.84,74.87,77473
2021-09-08,75.0,77.04,74.83,76.94,135542
2021-09-09,76.75,76.925,76.34,76.37,83024
2021-09-10,76.08,76.08,74.685,74.695,74492
2021-09-13,75.4,75.705,74.22,74.39,120037
2021-09-14,74.64,74.82,73.995,74.2,55598
2021-09-15,74.24,74.84,73.855,73.97,81264
2021-09-16,74.05,74.45,73.605,73.66,64549
2021-09-17,73.1,73.93,72.94,73.06,126718
2021-09-20,73.33,74.35,72.83,73.31,103029
2021-09-21,73.225,74.0,72.97,73.04,44518
2021-09-22,72.92,73.69,72.71,73.23,49774
2021-09-23,73.335,73.865,73.025,73.12,55793
2021-09-24,73.21,73.685,72.91,72.98,56172
2021-09-27,73.235,74.1,72.47,72.53,59123
2021-09-28,72.4,72.89,71.88,72.14,99017
2021-09-29,72.21,74.03,72.21,73.44,56530
2021-09-30,73.38,73.63,72.59,72.6,78077
2021-10-01,72.95,73.05,71.54,71.6,86587
2021-10-04,71.74,73.47,71.74,73.225,83087
2021-10-05,73.085,73.435,72.71,73.03,44849
2021-10-06,72.87,74.65,72.735,74.6,60585
2021-10-07,74.795,75.29,74.24,74.38,68070
2021-10-08,74.25,74.3,73.425,73.47,70712
2021-10-11,75.715,76.5,73.92,73.92,630642
2021-10-12,74.04,76.075,73.83,75.695,277645
2021-10-13,75.7,76.37,75.43,76.05,268680
2021-10-14,76.02,76.41,75.595,75.7,216211
2021-10-15,75.48,75.745,74.35,74.41,312416
2021-10-18,73.0,73.3,72.08,72.88,175392
2021-10-19,73.29,73.75,72.89,73.7,78978
2021-10-20,73.94,75.6,73.88,75.52,80579
2021-10-21,75.66,75.76,75.045,75.46,39729
2021-10-22,75.62,76.33,75.62,76.08,76352
2021-10-25,75.92,76.27,75.525,75.89,40876
2021-10-26,75.855,76.74,75.84,76.26,50239
2021-10-27,76.545,76.6,75.73,75.98,60705
2021-10-28,75.89,76.48,75.89,76.29,55521
2021-10-29,76.12,76.55,75.18,75.39,61480
2021-11-01,75.395,76.64,75.395,76.07,56923
2021-11-02,76.13,76.65,75.45,76.44,45603
2021-11-03,76.28,77.215,75.98,77.0,98491
2021-11-04,76.93,77.265,75.54,76.22,90826
2021-11-05,78.06,78.785,77.435,78.23,152618
2021-11-08,77.91,77.98,76.75,77.09,101437
2021-11-09,77.42,77.98,77.22,77.83,66694
2021-11-10,77.91,78.59,77.31,77.99,71004
2021-11-11,77.5,77.86,77.01,77.55,106856
2021-11-12,77.41,77.53,77.03,77.15,52911
2021-11-15,77.74,78.8,77.66,78.77,61903
2021-11-16,78.3,78.445,77.51,77.52,51053
2021-11-17,77.2,77.63,76.85,77.5,48050
2021-11-18,77.2,77.77,76.52,77.68,66567
2021-11-19,77.9,78.395,77.74,78.04,61183
2021-11-22,77.91,79.36,77.65,78.57,47332
2021-11-23,78.76,79.57,78.605,79.2,61464
2021-11-24,79.16,79.54,78.85,79.23,44998
2021-11-26,78.79,79.85,78.63,78.77,28562
2021-11-29,79.07,80.5,78.77,80.36,112941
2021-11-30,79.68,79.92,77.64,77.64,111619
2021-12-01,77.97,79.51,77.51,77.94,53359
2021-12-02,78.28,79.35,78.19,78.69,99112
2021-12-03,78.935,80.525,78.75,80.5,77319
2021-12-06,80.91,82.03,80.89,81.34,137292
2021-12-07,81.07,81.695,80.84,81.575,79503
2021-12-08,81.81,82.16,81.04,81.51,58823
2021-12-09,81.59,81.93,80.48,81.67,64471
2021-12-10,81.83,82.79,81.57,82.63,78454
2021-12-13,82.47,83.96,82.47,83.465,68821
2021-12-14,83.51,83.87,82.92,83.2,74091
2021-12-15,83.22,84.65,83.18,84.56,97588
2021-12-16,84.22,85.2,84.22,84.71,75062
2021-12-17,84.715,85.105,83.67,83.8,73026
2021-12-20,83.22,84.24,82.73,84.06,44969
2021-12-21,84.13,84.61,83.06,83.35,64082
2021-12-22,83.4,83.94,83.22,83.82,41475
2021-12-23,83.92,84.27,83.64,83.77,35205
2021-12-27,83.79,83.79,83.315,83.71,36265
2021-12-28,83.73,84.4,83.69,84.4,25575
2021-12-29,84.44,85.17,84.35,85.105,23426
2021-12-30,85.22,85.35,84.71,85.2,34451
2021-12-31,85.06,85.58,84.68,85.32,35156
2022-01-03,85.3,85.36,84.04,85.15,42021
2022-01-04,84.925,85.86,84.82,84.98,85188
2022-01-05,85.42,86.21,85.155,85.52,59267
2022-01-06,85.87,86.0,84.91,85.38,64704
2022-01-07,85.07,86.05,84.6,85.68,63975
2022-01-10,85.565,86.07,84.56,84.79,53481
2022-01-11,84.85,84.85,82.1,83.05,89957
2022-01-12,82.52,83.23,82.37,83.19,59489
2022-01-13,83.19,84.21,82.84,83.96,47343
2022-01-14,84.12,84.2,82.95,83.5,47500
2022-01-18,82.68,82.92,81.35,82.0,126596
2022-01-19,82.12,82.96,81.65,82.16,81511
2022-01-20,81.94,82.79,81.45,82.04,94891
2022-01-21,82.86,83.68,82.28,82.67,72791
2022-01-24,82.42,83.285,80.17,82.0,111345
2022-01-25,81.43,82.67,81.33,81.815,110802
2022-01-26,81.46,82.41,80.83,81.45,125078
2022-01-27,82.405,83.43,82.07,82.74,107490
2022-01-28,82.46,84.74,82.3,84.62,129976
2022-01-31,84.89,86.545,84.44,86.45,139014
2022-02-01,86.6,87.19,85.17,86.04,56430
2022-02-02,85.82,87.22,85.67,87.13,67617
2022-02-03,86.99,87.64,86.76,86.99,47164
2022-02-04,86.25,86.98,85.28,86.1,47597
2022-02-07,86.17,86.88,85.43,86.63,69194
2022-02-08,87.11,87.11,86.21,86.44,48992
2022-02-09,86.84,87.16,86.24,86.36,48490
2022-02-10,85.56,85.85,83.85,84.03,54036
2022-02-11,84.37,84.9,83.76,84.26,73488
2022-02-14,84.52,84.52,82.13,83.05,60537
2022-02-15,82.66,82.82,80.96,81.38,39936
2022-02-16,81.35,81.51,80.12,81.09,64920
2022-02-17,81.36,81.885,80.45,81.48,72207
2022-02-18,81.87,84.8,81.87,84.61,171824
2022-02-22,84.75,85.28,83.32,84.78,85652
2022-02-23,85.12,85.42,84.33,84.4,110297
2022-02-24,84.03,84.24,81.54,83.335,123572
2022-02-25,84.525,86.28,84.47,85.92,79875
2022-02-28,85.03,86.12,84.945,85.77,103348
2022-03-01,86.02,87.07,84.32,85.395,75811
2022-03-02,85.61,87.46,85.61,86.91,142124
2022-03-03,87.18,88.4,87.05,88.28,162244
2022-03-04,88.0,89.9,87.87,89.89,93878
2022-03-07,89.71,90.28,88.93,90.14,75967
2022-03-09,89.58,89.785,88.17,88.41,48008
2022-03-10,88.305,89.69,88.15,89.48,75015
2022-03-11,89.845,90.54,89.19,89.28,61636
2022-03-14,90.29,90.29,88.89,89.51,75929
2022-03-15,90.15,90.75,89.75,90.43,67993
2022-03-16,89.59,90.205,88.43,89.65,73628
2022-03-17,89.82,90.495,89.17,89.975,79052
2022-03-18,89.88,89.88,88.12,88.72,74708
2022-03-21,89.15,90.39,89.15,89.57,49621
2022-03-22,89.62,89.62,88.47,89.25,57226
2022-03-23,89.68,90.48,88.69,89.95,65908
2022-03-24,90.25,91.43,90.25,91.4,72282
2022-03-25,91.64,92.94,91.64,92.695,105309
2022-03-28,92.85,93.11,92.02,93.05,44056
2022-03-29,93.0,93.63,92.545,93.52,53591
2022-03-30,93.62,94.73,93.23,94.73,46263
2022-03-31,94.68,95.7,94.5,94.67,69743
2022-04-01,94.36,96.11,93.65,96.09,78488
2022-04-04,95.465,95.64,94.05,95.46,88019
2022-04-05,95.585,96.93,95.585,96.15,55903
2022-04-06,96.96,98.52,96.15,98.4,79712
2022-04-07,98.235,98.55,97.215,97.55,117096
2022-04-08,98.0,98.19,96.52,97.92,83131
2022-04-11,97.02,97.755,96.22,96.62,146167
2022-04-12,96.07,97.98,95.74,97.8,153404
2022-04-13,97.925,98.05,97.2,97.89,102757
2022-04-14,98.39,98.55,97.79,98.01,43677
2022-04-18,98.35,98.49,96.55,96.935,38277
2022-04-19,97.33,98.2,97.13,98.03,63312
2022-04-20,98.81,99.13,98.4,98.42,57464
2022-04-21,98.01,99.09,97.73,98.13,43488
2022-04-22,98.045,98.05,96.34,96.41,45873
2022-04-25,96.79,96.79,94.15,96.03,87925
