date,open,high,low,close,volume
2021-07-21,324.89,325.225,322.63,322.94,30365
2021-07-22,321.01,326.835,321.01,326.59,37109
2021-07-23,327.275,333.57,327.275,333.57,41396
2021-07-26,333.205,333.645,330.56,333.34,47631
2021-07-27,332.125,332.34,327.93,329.58,69079
2021-07-28,330.94,331.72,329.73,331.13,47515
2021-07-29,332.615,336.54,332.38,333.67,43477
2021-07-30,333.2,335.51,332.8,333.96,26234
2021-08-02,332.64,333.72,327.165,327.72,68886
2021-08-03,328.295,328.295,324.655,327.54,43980
2021-08-04,327.58,327.68,324.69,325.78,40388
2021-08-05,328.05,329.67,326.53,328.76,37883
2021-08-06,330.41,330.41,328.06,328.72,22220
2021-08-09,327.86,327.86,325.36,326.57,47620
2021-08-10,326.41,327.76,324.19,327.76,50491
2021-08-11,328.315,329.57,326.42,327.435,32949
2021-08-12,327.755,328.15,324.735,326.84,60142
2021-08-13,327.025,328.17,326.15,326.51,39296
2021-08-16,325.91,328.41,322.96,327.995,55391
2021-08-17,325.01,326.48,320.95,322.62,73019
2021-08-18,319.71,322.64,318.18,319.04,130997
2021-08-19,317.56,330.715,317.05,327.485,231258
2021-08-20,328.395,330.66,327.18,330.06,44822
2021-08-23,332.2,339.81,332.2,336.215,67585
2021-08-24,335.975,338.855,334.4,337.6,31851
2021-08-25,338.755,340.24,334.75,335.3,77672
2021-08-26,338.615,338.645,335.6,336.64,48482
2021-08-27,338.38,341.745,337.36,340.69,44809
2021-08-30,342.595,344.9,342.595,343.47,46346
2021-08-31,344.06,344.49,340.26,340.43,50723
2021-09-01,341.94,347.125,341.48,344.19,45656
2021-09-02,346.13,347.7,342.85,344.01,28017
2021-09-03,343.01,344.4,340.585,342.01,38017
2021-09-07,341.77,341.77,335.33,337.53,76835
2021-09-08,336.96,337.66,333.425,336.74,82509
2021-09-09,337.79,338.71,336.68,337.575,64244
2021-09-10,341.02,341.56,335.55,335.615,48466
2021-09-13,337.435,338.89,329.71,333.08,94841
2021-09-14,332.615,333.72,330.36,330.79,90149
2021-09-15,330.895,331.19,323.105,326.44,127204
2021-09-16,325.46,325.61,320.1,323.01,97420
2021-09-17,321.86,322.93,318.61,319.91,89049
