date,open,high,low,close,volume
2021-07-21,397.25,397.25,381.74,383.665,82469
2021-07-22,385.25,387.52,380.41,384.42,51755
2021-07-23,385.69,387.3,381.46,382.29,48901
2021-07-26,381.5,381.5,373.67,378.1,45982
2021-07-27,376.75,383.28,376.28,383.13,77759
2021-07-28,380.315,381.27,376.66,380.065,27068
2021-07-29,382.455,385.24,379.68,384.84,37798
2021-07-30,383.96,386.39,382.72,384.3,55984
2021-08-02,385.545,391.27,384.705,390.3,51243
2021-08-03,391.83,395.69,388.925,395.52,45782
2021-08-04,394.1,397.83,393.69,395.81,49961
2021-08-05,390.74,391.11,374.96,376.6,106443
2021-08-06,378.835,381.3,376.16,379.66,54544
2021-08-09,379.8,381.3,376.18,376.24,46182
2021-08-10,375.84,378.77,375.41,377.48,31651
2021-08-11,377.6,378.15,366.38,367.48,153311
2021-08-12,367.48,369.575,366.175,367.66,156372
2021-08-13,368.64,369.77,364.13,367.47,59400
2021-08-16,366.905,376.31,365.425,376.31,62123
2021-08-17,376.575,380.685,375.405,380.27,58108
2021-08-18,378.86,378.86,371.235,371.235,54431
2021-08-19,369.33,376.08,369.33,375.65,70465
2021-08-20,376.61,379.51,376.49,378.12,42312
2021-08-23,378.225,378.84,376.86,377.35,29980
2021-08-24,377.5,378.665,374.62,377.07,19773
2021-08-25,375.81,377.37,372.865,373.22,34055
2021-08-26,372.965,373.39,369.63,370.095,71729
2021-08-27,370.535,374.18,368.81,372.47,31496
2021-08-30,372.17,372.715,370.0,370.59,35214
2021-08-31,368.965,377.85,368.66,375.47,89579
2021-09-01,374.13,374.13,365.19,369.1,117650
2021-09-02,370.91,383.1,370.585,382.955,68271
2021-09-03,382.0,382.0,377.08,378.92,33780
2021-09-07,378.01,379.0,374.41,377.64,34061
2021-09-08,377.48,379.08,369.89,370.93,52487
2021-09-09,369.83,375.73,369.83,371.57,40814
2021-09-10,373.23,373.23,355.44,357.37,182352
2021-09-13,359.42,372.545,359.07,368.66,58005
2021-09-14,369.25,370.75,364.98,366.48,58255
2021-09-15,366.195,378.6,366.195,374.27,69883
2021-09-16,374.92,379.58,373.4,374.87,44900
2021-09-17,374.915,381.415,374.82,379.5,60441
2021-09-20,376.65,378.04,373.42,376.86,50544
2021-09-21,377.54,381.9,377.54,379.29,63692
2021-09-22,380.41,382.26,375.16,375.5,46360
2021-09-23,375.85,382.72,375.85,380.31,51763
2021-09-24,379.68,382.73,378.43,381.455,22763
2021-09-27,379.99,390.05,379.99,388.41,72041
2021-09-28,387.25,389.26,382.65,385.68,98862
2021-09-29,385.43,388.94,383.22,388.47,50786
2021-09-30,389.6,390.92,372.72,372.72,93071
2021-10-01,374.57,377.07,363.51,375.54,68889
2021-10-04,377.72,380.01,368.78,370.26,38108
2021-10-05,372.93,377.55,372.925,373.5,80851
2021-10-06,370.905,370.905,363.82,370.29,113296
2021-10-07,374.99,383.6,374.99,380.7,40374
2021-10-08,384.75,386.3,380.085,386.29,62747
2021-10-11,388.4,388.4,380.37,380.72,45062
2021-10-12,381.29,381.77,376.78,377.53,36314
2021-10-13,376.81,376.81,370.18,375.72,51677
2021-10-14,387.4,399.16,386.995,390.62,126068
2021-10-15,392.875,394.46,389.4,393.3,50547
2021-10-18,390.7,392.39,387.52,388.165,59305
2021-10-19,391.23,397.29,391.23,393.55,64246
2021-10-20,400.565,425.01,400.565,424.04,121135
2021-10-21,420.19,430.64,420.07,430.39,58161
2021-10-22,430.98,435.32,427.76,433.38,38967
2021-10-26,434.05,438.64,429.52,436.07,62461
2021-10-27,436.945,439.395,433.48,433.63,44413
2021-10-28,433.34,436.32,431.68,433.27,69767
2021-10-29,431.855,435.58,430.63,434.72,34875
2021-11-01,435.49,438.45,422.96,428.96,54805
2021-11-02,430.115,430.115,418.37,420.29,68645
2021-11-03,417.29,425.22,413.32,424.475,59361
2021-11-04,424.48,424.76,417.6,422.42,37125
2021-11-05,424.31,430.28,420.88,422.04,38746
2021-11-08,422.39,427.615,421.19,426.49,50991
2021-11-09,425.21,430.335,424.73,430.27,53343
2021-11-10,431.98,435.3,423.84,425.02,49860
2021-11-11,424.585,430.82,422.96,430.67,87093
2021-11-12,432.76,437.78,432.305,437.07,78870
2021-11-15,435.7,438.125,433.42,434.42,69705
2021-11-16,433.185,436.86,430.34,430.34,60340
2021-11-17,431.25,433.97,426.63,429.795,97524
2021-11-18,430.25,433.34,425.43,425.91,83786
2021-11-19,423.68,425.32,414.065,415.2,92089
2021-11-22,417.91,425.92,417.87,419.685,53947
2021-11-23,418.28,424.47,417.39,424.03,53519
2021-11-24,421.855,425.35,420.88,425.03,46412
2021-11-26,420.89,422.05,411.78,415.99,35177
2021-11-29,417.1,419.0,413.02,416.18,38970
2021-11-30,413.095,413.095,405.38,406.16,64012
2021-12-01,411.45,415.47,404.22,404.22,121279
2021-12-02,403.86,403.86,396.34,399.76,139550
2021-12-03,401.155,403.63,392.45,394.91,138542
2021-12-06,400.23,407.35,400.015,403.76,123649
2021-12-07,406.435,414.95,406.435,411.23,120684
2021-12-08,413.5,416.94,410.62,416.11,48506
2021-12-09,414.92,420.3,413.915,420.14,44039
2021-12-10,420.765,431.54,420.315,430.995,77269
2021-12-13,428.77,431.84,425.855,429.98,49030
2021-12-14,429.2,438.23,428.7,433.98,37101
2021-12-15,434.6,443.79,434.17,443.655,64081
2021-12-16,443.9,451.71,441.9,448.11,82089
2021-12-17,444.285,450.78,441.85,445.06,50867
2021-12-20,445.92,447.005,432.105,439.33,96954
2021-12-21,443.64,447.88,442.21,446.71,30526
2021-12-22,445.39,455.9,445.39,453.93,32402
2021-12-23,457.62,458.71,455.21,455.675,24335
2021-12-27,457.2,459.61,456.8,459.46,17158
2021-12-28,462.95,465.435,462.41,464.35,26731
2021-12-29,464.76,469.25,463.68,467.76,33646
2021-12-30,469.0,469.99,466.73,467.08,26849
2021-12-31,466.84,468.065,463.55,463.745,20806
2022-01-03,458.96,464.89,456.29,464.89,55676
2022-01-04,463.7,466.015,457.68,458.16,52477
2022-01-05,460.94,465.09,458.24,458.36,43244
2022-01-06,443.74,452.695,433.37,439.48,93572
2022-01-07,435.125,438.42,426.28,435.09,87366
2022-01-10,433.69,439.32,431.04,437.96,52875
2022-01-11,439.48,454.91,438.99,453.84,90678
2022-01-12,454.36,454.36,448.72,451.86,35523
2022-01-13,449.74,449.74,445.07,445.93,33927
2022-01-14,447.47,452.22,447.185,452.22,43603
