date,open,high,low,close,volume
2021-07-21,97.6,98.53,97.46,98.28,73622
2021-07-22,98.34,98.34,97.29,97.43,37261
2021-07-23,97.725,98.65,97.345,98.5,63326
2021-07-26,98.48,99.11,97.82,98.34,49605
2021-07-27,97.76,99.07,97.2,98.35,41552
2021-07-28,98.16,98.9,97.07,98.44,64221
2021-07-29,99.41,100.2,98.6,99.99,85194
2021-07-30,99.94,101.005,99.51,100.9,105191
2021-08-02,101.445,102.415,99.645,99.73,65927
2021-08-03,100.14,101.27,99.205,101.04,106445
2021-08-04,98.87,101.65,98.37,100.22,101023
2021-08-05,101.67,102.06,100.75,101.06,70164
2021-08-06,101.86,102.26,101.01,101.45,120354
2021-08-09,101.28,101.42,100.745,101.19,65873
2021-08-10,101.57,103.205,101.22,103.08,67954
2021-08-11,103.25,104.35,102.915,104.26,71660
2021-08-12,103.43,104.23,103.09,104.125,70671
2021-08-13,103.82,104.17,103.34,103.71,49433
2021-08-16,103.12,103.78,102.59,103.595,66884
2021-08-17,102.97,103.35,101.7,102.75,50236
2021-08-18,102.09,102.945,101.555,101.57,36589
2021-08-19,100.33,101.94,99.79,101.24,118405
2021-08-20,101.24,102.22,101.17,101.71,34003
2021-08-23,102.49,103.42,102.38,102.6,76305
2021-08-24,103.12,104.0,103.12,103.43,48233
2021-08-25,103.12,104.59,102.925,104.2,51627
2021-08-26,103.88,104.54,103.88,104.15,40635
2021-08-27,104.49,104.985,104.49,104.76,36518
2021-08-30,104.94,105.91,104.47,105.27,86903
2021-08-31,105.4,105.545,104.535,105.45,437176
2021-09-01,105.72,105.72,103.74,104.0,210409
2021-09-02,104.615,105.69,104.46,105.68,33467
2021-09-03,105.555,105.99,105.185,105.37,85394
2021-09-07,105.02,105.02,103.64,103.71,64969
2021-09-08,103.2,103.64,102.54,103.06,70212
2021-09-09,102.565,102.91,99.925,100.01,176901
2021-09-10,101.065,101.42,99.92,100.03,100157
2021-09-13,101.23,101.24,98.435,99.18,125762
2021-09-14,99.66,99.66,97.31,97.66,125826
2021-09-15,97.785,99.535,97.23,99.34,91547
2021-09-16,99.44,99.44,98.23,98.75,60389
2021-09-17,97.19,98.08,96.01,96.47,72091
2021-09-20,94.695,94.71,93.27,94.71,79275
2021-09-21,95.255,95.32,93.65,93.72,61360
2021-09-22,94.87,96.17,94.66,95.475,93028
2021-09-23,96.21,97.755,96.21,96.96,112025
2021-09-24,96.52,97.36,96.18,96.26,77458
2021-09-27,96.57,97.62,96.56,96.72,61645
2021-09-28,96.47,96.9,95.56,95.69,68662
2021-09-29,95.97,96.175,95.355,95.63,68220
2021-09-30,96.3,96.31,94.17,94.17,147222
2021-10-01,95.09,95.63,93.59,95.12,94223
2021-10-04,94.885,95.46,93.28,93.62,120913
2021-10-05,93.8,95.97,93.69,95.49,103152
2021-10-06,94.88,95.89,93.885,95.7,134595
2021-10-07,97.29,99.15,97.15,97.33,200056
2021-10-08,96.925,97.41,96.02,96.67,61239
2021-10-11,93.05,95.74,92.91,94.16,213442
2021-10-12,94.9,95.02,92.11,92.35,134350
2021-10-13,92.68,92.68,90.38,91.86,212129
2021-10-14,93.22,95.09,93.02,94.71,169453
2021-10-15,95.51,96.5,95.19,95.745,105381
2021-10-18,95.18,95.81,94.74,95.755,90980
2021-10-19,96.53,96.53,95.73,96.41,63720
2021-10-20,97.12,97.68,96.415,97.27,65376
2021-10-21,96.74,96.78,95.8,96.68,49744
2021-10-22,97.21,97.55,96.35,96.64,44961
2021-10-25,96.54,97.21,96.035,96.53,45218
2021-10-26,97.05,98.37,96.65,97.1,115140
2021-10-27,97.1,98.0,96.13,96.16,81683
2021-10-28,96.81,97.77,96.81,97.51,62151
2021-10-29,97.25,97.87,96.51,97.01,73650
2021-11-01,97.9,98.42,97.235,97.89,94264
2021-11-02,97.98,100.47,97.67,100.17,154456
2021-11-03,95.01,99.0,95.01,95.29,232058
