date,open,high,low,close,volume
2021-07-21,823.02,825.19,814.215,819.08,44525
2021-07-22,822.28,826.0,817.57,820.64,17851
2021-07-23,822.87,834.82,816.955,833.99,21235
2021-07-26,833.27,833.5,824.2,829.0,16334
2021-07-27,827.375,842.37,826.1,842.37,19828
2021-07-28,839.97,841.59,832.745,837.45,27777
2021-07-29,827.68,833.82,784.56,785.78,70071
2021-07-30,797.965,828.385,797.965,820.37,47493
2021-08-02,822.6,825.49,814.655,817.11,29249
2021-08-03,819.84,832.63,817.235,821.235,41805
2021-08-04,821.7,832.075,819.79,827.96,28124
2021-08-05,830.47,833.9,822.66,830.525,41858
2021-08-06,825.11,828.55,819.58,820.56,30340
2021-08-09,820.765,822.53,814.78,815.39,32339
2021-08-10,815.08,816.045,797.885,797.885,31710
2021-08-11,802.0,808.7,798.74,807.13,22961
2021-08-12,809.64,816.93,808.14,811.62,40576
2021-08-13,811.4,816.43,805.2,814.08,33083
2021-08-16,814.07,823.62,814.07,822.8,10643
2021-08-17,818.93,828.36,818.93,827.51,10639
2021-08-18,822.275,824.37,812.15,814.325,16068
2021-08-19,812.775,836.095,812.775,833.74,16790
2021-08-20,830.99,843.15,830.42,835.75,21115
2021-08-23,833.62,839.86,831.56,836.68,43787
2021-08-24,832.015,832.015,819.49,820.24,41387
2021-08-25,815.475,818.3,801.505,807.92,22439
2021-08-26,813.29,829.96,810.15,824.855,41562
2021-08-27,825.955,829.3,819.38,825.13,25168
2021-08-30,825.16,842.01,825.16,838.88,35417
2021-08-31,837.7,848.19,834.36,844.11,32753
2021-09-01,837.93,869.85,837.93,868.41,31283
2021-09-02,866.81,875.32,853.09,874.28,37938
2021-09-03,866.12,885.26,866.09,883.51,27679
2021-09-07,870.425,883.34,860.4,882.3,29206
2021-09-08,878.84,882.96,874.345,882.57,38038
2021-09-09,877.91,877.91,854.02,854.58,33288
2021-09-10,842.945,850.715,834.33,844.59,35527
2021-09-13,848.09,852.48,834.25,839.335,53825
2021-09-14,846.02,852.19,834.475,834.475,54622
2021-09-15,835.79,848.85,833.86,843.74,33841
2021-09-16,839.16,854.3,838.795,854.19,49031
2021-09-17,848.98,873.445,844.08,872.53,69220
2021-09-20,860.71,868.9,841.5,851.34,35312
2021-09-21,848.18,860.92,848.18,848.8,34776
2021-09-22,846.655,862.53,842.89,860.78,29201
2021-09-23,857.94,867.55,834.52,848.0,48928
2021-09-24,846.51,846.51,828.68,834.82,33892
2021-09-27,826.53,826.53,807.25,807.58,45554
2021-09-28,801.89,801.89,787.67,798.42,40090
2021-09-29,805.07,810.15,800.51,801.01,28694
2021-09-30,808.56,810.99,789.17,789.38,28906
2021-10-01,791.51,796.29,780.58,789.32,15966
2021-10-04,794.71,794.71,780.18,785.25,18430
2021-10-05,771.9,771.9,756.14,759.765,56877
2021-10-06,761.41,764.04,749.78,761.63,51905
2021-10-07,767.485,774.19,762.55,766.23,38435
2021-10-08,760.62,760.62,749.435,750.63,32585
2021-10-11,753.58,754.0,745.14,749.82,20106
2021-10-12,750.31,759.93,746.625,759.6,25901
2021-10-13,757.01,765.82,757.01,763.82,25794
2021-10-14,769.055,775.02,766.99,769.84,19433
2021-10-15,772.22,783.72,772.22,781.46,20694
2021-10-18,781.36,781.36,766.89,766.89,36338
2021-10-19,775.855,779.71,769.84,779.71,42554
2021-10-20,780.655,795.54,780.655,794.32,32777
2021-10-21,795.345,812.73,793.13,810.47,23099
2021-10-22,811.96,823.92,811.905,821.37,12256
2021-10-25,818.695,828.91,818.695,823.4,14254
2021-10-26,827.88,833.48,824.94,831.455,28617
