date,open,high,low,close,volume
2021-07-21,85.08,85.465,84.57,84.7,73376
2021-07-22,84.23,84.48,83.525,83.885,48584
2021-07-23,84.38,84.89,83.98,84.765,36704
2021-07-26,84.495,84.99,83.885,84.49,43693
2021-07-27,84.24,85.2,84.24,84.82,42341
2021-07-28,84.84,85.68,84.025,84.14,112562
2021-07-29,84.29,85.0,84.18,84.45,41494
2021-07-30,84.77,85.75,84.12,84.13,76857
2021-08-02,84.73,85.465,83.76,83.885,64929
2021-08-03,83.82,84.32,83.38,84.3,62787
2021-08-04,83.99,84.45,83.76,83.99,35144
2021-08-05,84.61,84.885,83.75,84.635,34458
2021-08-06,85.575,85.575,84.485,84.69,27237
2021-08-09,83.96,84.3,83.4,83.64,26366
2021-08-10,83.54,83.54,82.07,82.09,60979
2021-08-11,82.25,82.54,81.52,81.95,65313
2021-08-12,82.37,82.38,81.69,81.98,39845
2021-08-13,82.05,82.71,81.82,82.64,57939
2021-08-16,82.28,83.27,82.01,82.62,16812
2021-08-17,82.14,82.57,81.67,82.55,19850
2021-08-18,81.93,82.49,81.66,81.72,16266
2021-08-19,81.29,82.82,81.15,82.37,47181
2021-08-20,81.98,83.05,81.64,82.54,43674
2021-08-23,82.77,83.0,81.93,82.32,23528
2021-08-24,82.3,82.3,81.09,81.8,26059
2021-08-25,81.55,82.6,81.32,81.94,27350
2021-08-26,82.53,83.26,82.24,82.77,47252
2021-08-27,83.56,83.8,83.13,83.36,20954
2021-08-30,83.29,84.53,83.26,84.36,47770
2021-08-31,84.09,84.375,83.88,84.06,62950
2021-09-01,84.1,85.62,83.88,85.55,83102
2021-09-02,85.61,86.02,84.855,86.0,68964
2021-09-03,85.29,85.835,84.52,85.605,48605
2021-09-07,85.4,85.4,82.63,83.35,41874
2021-09-08,82.67,84.47,82.65,84.02,56255
2021-09-09,82.87,83.58,82.4,82.46,69518
2021-09-10,82.38,82.4,81.42,81.42,45811
2021-09-13,81.93,82.95,81.76,81.95,51936
2021-09-14,82.03,82.54,81.35,81.72,38677
2021-09-15,81.75,82.58,81.585,81.97,43270
2021-09-16,82.065,82.39,81.38,81.78,67378
2021-09-17,81.7,82.12,80.27,80.29,97284
2021-09-20,79.98,80.77,79.345,80.67,97415
2021-09-21,81.32,81.89,80.72,80.77,56114
2021-09-22,81.28,82.11,81.28,81.35,78499
2021-09-23,82.06,83.26,82.055,82.46,54812
2021-09-24,81.9,82.61,81.55,81.55,46476
2021-09-27,81.7,82.44,80.06,80.085,110063
2021-09-28,79.695,80.74,79.29,80.42,96069
2021-09-29,80.77,82.49,80.77,81.53,46894
2021-09-30,81.94,81.94,80.18,80.95,88488
2021-10-01,81.51,81.75,80.24,81.52,101032
2021-10-04,81.35,83.35,81.35,82.94,118415
2021-10-05,83.53,83.67,82.44,83.2,68514
2021-10-06,83.03,83.9,81.06,83.75,101575
2021-10-07,84.39,84.63,83.43,83.63,81496
