date,open,high,low,close,volume
2021-07-21,51.08,51.24,50.54,50.56,34080
2021-07-22,50.68,50.77,50.25,50.42,51304
2021-07-23,50.63,51.38,50.53,51.35,72774
2021-07-26,51.55,51.99,51.27,51.91,117568
2021-07-27,51.6,52.94,51.6,52.67,52076
2021-07-28,52.1,52.27,51.82,52.18,39398
2021-07-29,52.23,52.38,51.93,52.18,42234
2021-07-30,52.57,52.61,51.33,51.45,94916
2021-08-02,51.68,52.07,51.52,51.81,147644
2021-08-03,51.67,52.31,51.67,52.02,62786
2021-08-04,51.27,51.95,51.08,51.84,120612
2021-08-05,51.82,53.3,51.82,53.25,126608
2021-08-06,53.33,53.35,52.83,53.05,124900
2021-08-09,53.11,53.46,52.93,53.42,120440
2021-08-10,53.31,54.45,53.31,54.34,200320
2021-08-11,54.0,54.63,53.81,54.51,64968
2021-08-12,54.52,54.73,54.23,54.4,70540
2021-08-13,54.23,54.99,54.23,54.95,129134
2021-08-16,54.55,55.86,54.55,55.15,254726
2021-08-17,55.28,55.28,54.43,55.06,86788
2021-08-18,54.95,55.29,54.72,55.08,74200
2021-08-19,55.23,56.04,55.23,55.91,148228
2021-08-20,55.68,57.34,55.68,57.31,193164
2021-08-23,57.21,57.42,56.69,57.0,465748
2021-08-24,57.02,57.05,56.38,56.85,502098
2021-08-25,56.81,57.17,56.5,56.9,99086
2021-08-26,56.78,57.13,56.49,56.83,520002
2021-08-27,56.83,56.91,55.7,55.85,708014
2021-08-30,54.77,55.02,53.8,54.68,487284
2021-08-31,54.53,55.36,54.53,55.31,559740
2021-09-01,55.41,56.4,55.32,56.27,343164
2021-09-02,56.42,56.83,56.18,56.82,173570
2021-09-03,56.49,56.69,56.14,56.28,126022
2021-09-07,56.07,56.31,55.57,56.23,170594
2021-09-08,56.06,57.5,56.06,57.42,177782
2021-09-09,57.2,57.48,56.44,56.46,142256
2021-09-10,56.23,56.41,55.92,55.92,88384
2021-09-13,56.54,56.96,56.25,56.66,134506
2021-09-14,56.91,57.51,56.77,57.17,325688
2021-09-15,57.02,57.02,55.96,56.43,964892
2021-09-16,56.27,56.63,55.95,56.21,167636
2021-09-17,56.1,56.24,55.44,55.53,191564
2021-09-20,55.29,55.63,54.21,54.78,193124
2021-09-21,54.84,55.26,54.01,54.01,212036
2021-09-22,53.97,53.97,52.85,52.99,152558
2021-09-23,52.77,52.94,51.27,51.31,272898
2021-09-24,51.27,51.42,50.23,50.41,274192
2021-09-27,50.27,50.83,49.98,50.01,146758
2021-09-28,49.77,50.45,49.26,49.64,256856
2021-09-29,49.85,50.79,49.57,50.38,171190
2021-09-30,50.48,50.55,49.63,49.63,171134
2021-10-01,49.69,50.28,49.55,49.65,231700
2021-10-04,49.73,50.88,49.67,50.68,341102
2021-10-05,50.81,51.07,50.54,50.74,179602
2021-10-06,50.49,51.61,50.22,51.59,183914
2021-10-07,51.63,52.27,51.63,51.71,134428
2021-10-08,51.63,51.94,51.39,51.6,103588
2021-10-11,51.46,51.65,50.96,51.36,220338
2021-10-12,51.44,51.87,51.22,51.42,55038
2021-10-13,51.32,51.5,50.84,51.28,106542
2021-10-14,51.38,51.88,51.38,51.74,63362
2021-10-15,51.95,52.09,51.12,51.13,168144
2021-10-18,50.7,51.04,50.21,50.9,186036
2021-10-19,51.09,51.14,50.82,51.02,63308
2021-10-20,51.27,52.34,51.27,52.01,95140
2021-10-21,51.94,52.29,51.93,51.97,54102
2021-10-22,52.14,52.57,52.14,52.3,61682
2021-10-26,51.96,52.44,51.92,51.97,56674
2021-10-27,52.13,52.26,51.48,51.56,173740
2021-10-28,51.78,51.83,51.07,51.39,114258
2021-10-29,51.58,51.92,51.11,51.51,263446
2021-11-01,51.51,52.26,51.39,51.73,216264
2021-11-02,51.75,51.92,50.97,51.92,312804
2021-11-03,52.31,53.09,51.27,51.67,258876
2021-11-04,51.85,52.0,50.94,51.44,346822
2021-11-05,51.75,52.28,51.7,52.15,165850
2021-11-08,51.98,51.98,50.15,50.56,70568
2021-11-09,50.69,51.25,50.64,51.18,99554
2021-11-10,51.48,51.75,51.23,51.74,88802
2021-11-11,51.77,52.23,51.25,51.57,101932
2021-11-12,51.18,51.18,50.16,50.81,118790
2021-11-15,51.25,52.54,51.2,52.54,134708
2021-11-16,52.54,53.01,52.54,52.64,244116
2021-11-17,52.4,52.98,52.16,52.9,148796
2021-11-18,52.99,53.02,52.49,52.73,85704
2021-11-19,52.95,53.09,52.73,52.98,141040
2021-11-22,52.87,53.8,52.74,53.65,111232
2021-11-23,53.59,53.59,52.97,53.15,259474
2021-11-24,53.22,53.35,52.59,53.2,139856
2021-11-26,52.63,53.12,51.36,51.68,114926
2021-11-29,51.79,52.79,51.68,52.56,147612
2021-11-30,52.02,52.03,50.17,50.17,140532
2021-12-01,50.6,51.42,50.17,50.17,116078
2021-12-02,50.54,51.61,50.48,50.99,123204
2021-12-03,51.26,51.66,50.61,51.63,83024
2021-12-06,52.06,53.47,52.06,52.49,220904
2021-12-07,52.55,52.71,52.25,52.41,61602
2021-12-08,52.5,53.1,52.28,52.8,89674
2021-12-09,52.59,53.58,52.51,53.13,169276
2021-12-10,53.2,53.94,53.19,53.73,153040
2021-12-13,53.66,54.24,53.23,53.92,186748
2021-12-14,53.93,54.4,53.53,53.64,188448
2021-12-15,53.62,54.98,53.62,54.93,272976
2021-12-16,54.96,56.05,54.87,55.31,131596
2021-12-17,54.83,55.46,54.61,54.72,82710
2021-12-20,54.24,54.83,53.43,54.72,106464
2021-12-21,55.15,55.48,54.3,54.63,92822
2021-12-22,54.59,54.99,54.36,54.99,48566
2021-12-23,55.06,55.2,54.98,55.05,42444
2021-12-27,55.05,55.44,54.96,55.42,38674
