date,open,high,low,close,volume
2021-07-21,45.98,46.28,45.8,45.81,86146
2021-07-22,45.93,46.105,45.8,46.01,56844
2021-07-23,46.21,46.64,46.12,46.52,61757
2021-07-26,46.555,46.89,46.15,46.405,126917
2021-07-27,46.26,47.35,46.12,47.24,83978
2021-07-28,47.025,47.39,46.635,46.98,80906
2021-07-29,47.16,47.45,47.1,47.33,78867
2021-07-30,47.32,47.6,46.73,46.795,97619
2021-08-02,46.93,47.4,46.93,47.0,278457
2021-08-03,47.45,47.57,47.05,47.36,179211
2021-08-04,47.04,47.22,46.43,46.76,83232
2021-08-05,46.98,47.75,46.815,47.67,109723
2021-08-06,47.56,47.875,47.31,47.58,99699
2021-08-09,47.54,47.57,47.11,47.445,54000
2021-08-10,47.44,47.81,47.23,47.57,73821
2021-08-11,47.835,48.25,47.69,48.2,75912
2021-08-12,48.06,48.16,47.755,48.02,81692
2021-08-13,48.08,48.39,48.04,48.36,46816
2021-08-16,48.465,49.09,48.425,48.6,114704
2021-08-17,48.365,48.375,47.745,48.37,75607
2021-08-18,48.255,48.435,47.98,48.24,100055
2021-08-19,48.36,49.1,48.29,48.76,80074
2021-08-20,48.73,49.415,48.49,49.37,104043
2021-08-23,49.16,49.405,48.835,49.04,98905
2021-08-24,49.03,49.03,48.55,48.92,70956
2021-08-25,48.75,49.03,48.75,48.89,76381
2021-08-26,48.82,48.91,48.69,48.79,63624
2021-08-27,48.99,49.4,48.94,49.09,105655
2021-08-30,49.03,49.4,48.96,49.26,84986
2021-08-31,48.92,49.13,48.78,49.02,150965
2021-09-01,49.14,49.675,48.97,49.62,89242
2021-09-02,49.61,50.235,49.58,50.11,79070
2021-09-03,49.86,50.17,49.53,49.815,66863
2021-09-07,49.68,49.89,49.38,49.52,77949
2021-09-08,49.45,50.615,49.37,50.38,84146
2021-09-09,50.06,50.62,50.035,50.24,133966
2021-09-10,50.25,50.53,49.88,49.91,231430
2021-09-13,50.445,50.975,50.21,50.57,136913
2021-09-14,50.91,50.97,50.22,50.38,229994
2021-09-15,50.27,50.9,50.06,50.85,202816
2021-09-16,50.655,50.7,50.135,50.18,176991
2021-09-17,50.25,50.73,49.56,49.84,302324
2021-09-20,49.755,50.19,49.05,49.74,131067
2021-09-21,49.69,49.765,49.01,49.01,132673
2021-09-22,49.205,49.66,48.9,49.35,113492
2021-09-23,49.26,50.265,49.26,49.66,187935
2021-09-24,49.49,49.85,49.11,49.24,103276
2021-09-27,49.2,49.79,48.82,48.88,151071
2021-09-28,48.66,48.86,48.14,48.21,163021
2021-09-29,48.275,48.905,48.1,48.64,156631
2021-09-30,48.7,48.815,48.04,48.31,209068
2021-10-01,48.65,48.68,47.725,47.725,92930
2021-10-04,47.69,48.43,47.675,48.335,158431
2021-10-05,48.42,48.87,47.97,48.35,145946
2021-10-06,48.11,49.13,47.85,49.11,126873
2021-10-07,49.22,49.31,48.585,48.685,202911
2021-10-08,48.76,48.89,48.28,48.35,64276
2021-10-11,48.41,48.41,47.52,47.57,79962
2021-10-12,47.74,48.45,47.74,48.3,107238
2021-10-13,48.46,49.12,48.185,49.09,119400
2021-10-14,49.22,50.225,49.13,50.14,217934
2021-10-15,50.23,50.65,49.79,49.79,132357
2021-10-18,49.5,49.945,49.185,49.87,95943
2021-10-19,50.12,50.37,49.96,50.31,88637
2021-10-20,50.41,51.275,50.3,51.23,210708
2021-10-21,50.98,51.25,50.98,51.08,98123
2021-10-22,51.14,51.5,51.12,51.31,94508
2021-10-25,51.27,51.82,51.095,51.59,104614
2021-10-26,51.68,52.295,51.68,52.03,109344
2021-10-27,52.12,52.17,51.53,51.98,151378
2021-10-28,52.05,52.8,51.98,52.74,165428
2021-10-29,52.65,53.525,52.605,53.2,130994
2021-11-01,53.13,54.015,52.65,53.89,150631
2021-11-02,54.005,54.18,53.41,53.79,160987
2021-11-03,53.92,54.66,53.48,54.02,228473
2021-11-04,54.05,54.17,53.495,54.095,145196
2021-11-05,54.145,54.63,54.08,54.14,87597
2021-11-08,54.11,54.14,52.64,53.1,83981
2021-11-09,53.24,54.185,53.15,54.09,91540
2021-11-10,54.14,54.51,53.8,54.47,99948
2021-11-11,54.415,54.74,54.025,54.685,121329
2021-11-12,54.39,54.755,54.195,54.4,97751
2021-11-15,54.46,54.78,54.05,54.78,66899
2021-11-16,54.83,54.83,54.19,54.215,51714
2021-11-17,54.24,54.24,53.35,53.575,168044
2021-11-18,53.46,53.86,53.205,53.56,68435
2021-11-19,53.46,53.79,53.22,53.61,79754
2021-11-22,53.655,54.585,53.59,53.97,139837
2021-11-23,53.88,54.49,53.825,54.38,124256
2021-11-24,54.375,54.65,54.015,54.52,97152
2021-11-26,54.29,54.315,53.32,53.5,61079
2021-11-29,53.61,54.34,53.45,54.16,90137
2021-11-30,53.92,53.92,52.55,52.73,133884
2021-12-01,53.42,53.725,52.255,52.28,241175
2021-12-02,52.73,53.51,52.63,52.92,208710
2021-12-03,53.3,53.43,51.74,52.74,191991
