date,open,high,low,close,volume
2021-07-21,51.3,53.24,50.86,52.93,46195
2021-07-22,52.475,54.56,52.45,53.95,38535
2021-07-23,54.06,54.785,53.45,54.75,43653
2021-07-26,54.97,55.89,54.535,55.13,68541
2021-07-27,54.52,55.31,54.5,55.02,45716
2021-07-28,55.08,55.85,54.73,55.45,70460
2021-07-29,55.365,55.86,54.895,55.44,43663
2021-07-30,54.875,55.17,53.75,54.05,26602
2021-08-02,54.095,55.09,53.3,53.32,57948
2021-08-03,53.155,54.77,53.06,54.57,56385
2021-08-04,54.1,54.56,53.25,54.48,40653
2021-08-05,54.765,55.08,53.96,54.23,24791
2021-08-06,54.875,55.245,54.575,55.06,16339
2021-08-09,54.57,54.66,53.88,54.07,41396
2021-08-10,54.03,55.79,53.81,55.47,37615
2021-08-11,56.75,57.635,55.46,57.0,178382
2021-08-12,57.09,59.3,56.82,58.81,78624
2021-08-13,58.475,58.475,56.625,56.8,43087
2021-08-16,56.07,56.74,54.45,55.88,51017
2021-08-17,55.53,56.76,54.32,54.79,14752
2021-08-18,54.57,54.57,52.4,52.48,11932
2021-08-19,51.46,52.015,50.85,51.915,68552
2021-08-20,51.615,53.05,51.615,52.69,48610
2021-08-23,52.77,53.13,51.93,52.245,44472
2021-08-24,52.525,52.96,51.73,52.7,65932
2021-08-25,52.05,53.33,52.05,53.02,28593
2021-08-26,52.71,53.25,52.37,53.07,42471
2021-08-27,53.69,56.385,53.69,55.32,89317
2021-08-30,55.62,55.62,54.67,54.82,15294
2021-08-31,54.75,55.915,54.75,55.77,60909
2021-09-01,56.0,56.68,55.49,56.62,93884
2021-09-02,57.22,58.74,56.91,58.32,82646
2021-09-03,58.28,59.14,57.84,58.98,55064
2021-09-07,59.24,60.68,59.19,59.82,122876
2021-09-08,60.28,61.3,59.905,60.87,73760
2021-09-09,60.89,62.1,60.6,60.6,84769
2021-09-10,60.97,61.405,59.54,59.54,41401
2021-09-13,60.745,62.66,60.7,62.65,170010
2021-09-14,62.605,63.25,61.32,61.69,42657
2021-09-15,62.92,65.29,62.79,63.0,95048
2021-09-16,62.54,62.575,61.11,61.185,80953
2021-09-17,61.88,62.03,60.53,60.67,98000
2021-09-20,59.29,61.5,58.81,59.725,78257
2021-09-21,60.12,60.12,58.22,58.24,89197
2021-09-22,59.45,59.57,58.385,58.58,46752
2021-09-23,58.61,60.91,58.61,60.44,33526
2021-09-24,60.58,61.03,58.555,58.58,71347
2021-09-27,60.21,62.58,60.21,62.5,92745
2021-09-28,63.545,64.0,61.86,62.09,56882
2021-09-29,61.675,62.13,60.655,60.875,64310
2021-09-30,60.765,62.29,60.41,61.595,104539
