date,open,high,low,close,volume
2021-07-21,157.7,163.62,157.7,162.39,168189
2021-07-22,161.67,162.02,158.69,160.02,89683
2021-07-23,161.24,162.67,160.41,161.63,83366
2021-07-26,162.13,163.65,160.245,162.76,84484
2021-07-27,161.6,163.97,160.91,163.71,97138
2021-07-28,164.93,166.5,161.1,163.18,56324
2021-07-29,163.965,165.45,162.29,163.73,60229
2021-07-30,163.45,165.26,160.26,160.85,84397
2021-08-02,162.13,166.2,158.89,159.07,126739
2021-08-03,159.25,159.25,153.24,154.76,371095
2021-08-04,152.83,155.15,152.5,153.24,84549
2021-08-05,155.39,162.52,154.95,161.58,235961
2021-08-06,150.0,150.935,145.4,148.88,1120310
2021-08-09,147.05,149.74,146.17,148.79,224965
2021-08-10,149.055,151.48,147.295,148.59,101460
2021-08-11,147.95,150.23,146.8,150.04,134896
2021-08-12,149.61,150.83,146.07,150.395,100505
2021-08-13,150.515,150.585,147.34,148.76,111470
2021-08-16,146.28,146.52,143.19,144.125,194367
2021-08-17,143.23,143.335,140.7,142.62,135193
2021-08-18,141.765,143.17,139.86,140.285,87567
2021-08-19,139.14,141.35,137.32,137.94,109512
2021-08-20,137.33,139.0,136.77,137.81,101301
2021-08-23,139.04,142.88,139.04,142.87,97283
2021-08-24,143.825,146.965,143.41,146.66,106310
2021-08-25,146.925,147.71,144.715,147.71,80959
2021-08-26,147.01,147.69,143.66,143.9,103613
2021-08-27,144.375,148.0,144.13,146.71,85731
2021-08-30,146.68,146.78,143.89,144.2,58389
2021-08-31,144.77,145.46,143.22,144.46,79182
2021-09-01,145.27,148.04,144.66,146.14,136065
2021-09-02,146.38,147.51,143.41,143.77,177160
2021-09-03,143.14,144.45,141.84,142.635,49173
2021-09-07,142.51,147.88,142.51,147.5,141877
2021-09-08,146.85,148.41,144.44,145.67,161249
2021-09-09,145.675,149.52,145.345,146.78,88709
2021-09-10,147.41,147.52,144.89,145.39,69622
2021-09-13,147.14,149.16,143.69,148.81,80078
2021-09-14,148.4,150.74,147.435,150.65,113875
2021-09-15,148.915,151.36,148.37,151.25,93500
2021-09-16,151.08,152.58,149.2,150.18,55481
2021-09-17,150.99,153.51,150.74,152.28,104597
2021-09-20,151.605,154.59,150.52,153.52,151349
2021-09-21,155.09,155.53,151.44,152.87,124025
2021-09-22,154.295,159.97,154.13,159.01,209610
2021-09-23,159.77,167.105,159.73,166.81,184144
2021-09-24,167.99,172.535,167.99,171.96,308798
2021-09-27,172.89,175.37,169.225,169.68,142797
2021-09-28,168.0,169.83,167.14,168.74,126957
2021-09-29,169.1,170.12,166.09,166.235,106926
2021-09-30,166.3,166.3,163.75,164.0,101872
2021-10-01,169.255,174.62,168.5,169.8,209433
2021-10-04,170.03,172.23,168.24,170.73,92863
2021-10-05,170.76,171.59,168.175,169.04,80581
2021-10-06,167.57,171.31,166.91,170.26,91288
2021-10-07,171.75,173.835,170.89,172.23,71303
2021-10-08,173.54,173.97,169.635,169.97,53336
2021-10-11,170.14,171.71,168.48,168.49,48376
2021-10-12,168.61,170.68,167.95,169.53,51389
2021-10-13,168.65,168.91,166.03,168.51,37162
2021-10-14,169.74,170.45,168.42,168.89,33774
2021-10-15,171.45,174.8,170.645,171.98,85185
2021-10-18,170.66,171.79,169.27,169.93,45354
2021-10-19,169.165,170.42,165.975,166.005,164724
