date,open,high,low,close,volume
2021-07-21,14.055,14.34,14.03,14.2,687971
2021-07-22,14.08,14.12,13.78,13.905,654864
2021-07-23,13.98,14.03,13.735,13.81,402452
2021-07-26,13.91,14.075,13.895,14.03,529158
2021-07-27,13.94,13.95,13.655,13.795,631925
2021-07-28,13.86,13.99,13.565,13.87,824341
2021-07-29,14.51,14.78,14.3,14.4,1242782
2021-07-30,14.23,14.295,13.88,13.95,836109
2021-08-02,14.025,14.325,13.88,13.92,840345
2021-08-03,13.97,14.075,13.64,14.025,715725
2021-08-04,13.86,13.92,13.305,13.32,1620633
2021-08-05,13.54,13.815,13.46,13.7,606872
2021-08-06,13.88,13.9,13.73,13.795,503072
2021-08-09,13.7,13.82,13.555,13.745,502799
2021-08-10,13.755,13.905,13.665,13.82,469487
2021-08-11,13.845,13.945,13.67,13.935,580098
2021-08-12,13.915,14.05,13.795,13.9,489466
2021-08-13,13.905,13.95,13.54,13.59,771195
2021-08-16,13.48,13.555,13.33,13.465,720792
2021-08-17,13.28,13.28,12.815,12.985,819456
2021-08-18,12.95,13.21,12.905,13.0,703539
2021-08-19,12.775,12.91,12.575,12.66,1079086
2021-08-20,12.595,12.64,12.38,12.57,583695
2021-08-23,12.71,12.845,12.47,12.72,893847
2021-08-24,12.82,13.135,12.77,13.075,610042
2021-08-25,13.12,13.275,13.025,13.17,751680
2021-08-26,13.13,13.13,12.815,12.895,735405
2021-08-27,12.885,13.365,12.875,13.31,826086
2021-08-30,13.36,13.36,13.035,13.055,587235
2021-08-31,13.05,13.13,12.93,13.035,695217
2021-09-01,13.02,13.215,12.9,13.11,724593
2021-09-02,13.09,13.205,12.975,13.01,758333
2021-09-03,12.985,13.04,12.87,12.885,457958
2021-09-07,12.83,13.04,12.815,12.955,1424512
2021-09-08,12.95,13.215,12.91,13.025,912783
2021-09-09,12.9,12.935,12.72,12.755,1024021
2021-09-10,12.84,12.93,12.665,12.68,649071
2021-09-13,12.78,12.99,12.63,12.99,1058347
2021-09-14,12.97,13.06,12.79,12.855,833937
2021-09-15,12.91,13.25,12.815,13.22,927129
2021-09-16,13.165,13.525,13.1,13.4,1238193
2021-09-17,13.41,13.7,13.39,13.555,1203875
2021-09-20,13.07,13.17,12.635,12.83,1447982
2021-09-21,12.9,12.965,12.66,12.77,559277
