date,open,high,low,close,volume
2021-07-21,75.88,80.34,75.83,79.31,125564
2021-07-22,79.27,79.27,76.96,78.67,66069
2021-07-23,79.53,79.53,77.09,78.17,109409
2021-07-26,78.21,81.39,78.21,80.23,77274
2021-07-27,78.02,79.64,77.79,78.55,104227
2021-07-28,79.23,80.62,78.03,79.57,242361
2021-07-29,80.52,80.69,78.77,79.54,108417
2021-07-30,78.62,78.67,76.3,77.155,77709
2021-08-02,77.33,79.71,75.95,76.7,106120
2021-08-03,76.3,81.25,76.3,80.57,244100
2021-08-04,78.29,80.195,76.08,76.45,108259
2021-08-05,77.43,80.66,76.46,79.83,123958
2021-08-06,81.26,81.9,79.37,80.06,78748
2021-08-09,78.155,79.075,76.65,77.13,59702
2021-08-10,78.44,79.72,78.0,78.01,150525
2021-08-11,77.08,79.0,75.265,78.99,117639
2021-08-12,78.7,79.76,77.46,79.36,41649
2021-08-13,79.52,79.52,75.55,75.59,52890
2021-08-16,74.11,74.2,72.24,72.51,62480
2021-08-17,71.97,74.05,71.5,71.77,44710
2021-08-18,72.05,73.1,69.755,69.83,41586
2021-08-19,67.68,69.165,65.95,67.85,204853
2021-08-20,66.97,68.54,66.16,68.16,48063
2021-08-23,71.49,73.24,70.955,72.2,108915
2021-08-24,73.23,74.68,72.87,74.2,92540
2021-08-25,74.34,75.31,73.5,75.08,55426
2021-08-26,74.52,74.52,72.5,73.12,63080
2021-08-27,74.83,77.03,74.59,76.645,123810
2021-08-30,77.98,77.98,75.91,76.32,52273
2021-08-31,76.51,77.99,74.96,77.1,35643
2021-09-01,76.7,77.29,73.32,74.14,334085
2021-09-02,75.255,78.17,75.05,76.54,96239
2021-09-03,75.74,76.89,74.69,75.55,88242
2021-09-07,74.91,76.67,74.075,74.975,58593
2021-09-08,75.89,76.92,73.96,74.67,111013
2021-09-09,73.56,77.4,73.56,75.66,84726
2021-09-10,77.38,77.38,74.93,74.985,64144
2021-09-13,76.39,78.88,76.21,77.82,62815
2021-09-14,78.76,78.76,75.07,75.69,67337
2021-09-15,77.82,81.89,77.42,81.58,128400
2021-09-16,80.46,80.97,78.95,79.98,53823
2021-09-17,83.28,84.23,82.05,82.57,148462
2021-09-20,78.63,80.775,77.24,79.1,93479
2021-09-21,80.3,80.99,78.215,80.02,84250
2021-09-22,81.83,85.24,81.83,84.325,95222
2021-09-23,84.875,88.66,84.47,87.91,113272
2021-09-24,87.04,90.79,86.77,88.71,101896
2021-09-27,91.54,95.69,91.54,95.47,186775
2021-09-28,96.79,97.15,93.42,94.94,171150
2021-09-29,94.385,96.83,94.13,96.02,112456
2021-09-30,95.46,97.59,94.57,94.57,93756
2021-10-01,95.33,98.935,94.82,98.85,99227
2021-10-04,100.18,104.89,99.14,103.395,189284
2021-10-05,105.085,107.48,102.26,104.13,118793
2021-10-06,100.62,104.53,100.29,104.11,148662
2021-10-07,104.435,105.67,102.62,105.145,71710
2021-10-08,106.62,110.415,106.31,109.91,115117
2021-10-11,112.5,114.03,110.2,110.73,179764
2021-10-12,110.56,112.94,108.25,110.145,141961
2021-10-13,106.995,109.54,105.0,108.2,90365
2021-10-14,110.1,110.45,106.295,108.97,131901
2021-10-15,109.98,110.705,108.0,108.17,98941
2021-10-18,111.16,114.68,108.64,109.235,135898
2021-10-19,109.91,111.315,108.435,110.93,49623
2021-10-20,108.96,111.43,108.53,111.145,80353
2021-10-21,110.505,110.68,107.81,108.94,47904
2021-10-22,110.69,111.09,108.73,109.33,55945
2021-10-25,111.27,112.81,109.08,109.29,66198
2021-10-26,110.63,112.43,109.7,111.62,63878
2021-10-27,109.625,111.55,107.435,107.6,84749
2021-10-28,106.875,109.05,106.5,109.015,87402
2021-10-29,108.76,109.23,105.53,107.205,94855
2021-11-01,109.65,112.09,109.6,111.72,139396
2021-11-02,109.405,116.07,108.14,114.44,241429
2021-11-03,112.715,115.17,110.54,111.75,103390
