date,open,high,low,close,volume
2021-07-21,27.15,27.34,26.97,27.13,137168
2021-07-22,27.19,27.19,26.93,26.96,75722
2021-07-23,27.09,27.35,27.04,27.33,92548
2021-07-26,27.2,27.25,27.0,27.18,119504
2021-07-27,27.1,27.25,26.96,27.2,241936
2021-07-28,27.13,27.16,26.83,27.02,134652
2021-07-29,27.05,27.53,27.05,27.43,133772
2021-07-30,27.38,27.52,27.28,27.39,351618
2021-08-02,27.44,27.66,27.27,27.36,266598
2021-08-03,27.53,28.05,27.5,27.97,135058
2021-08-04,27.89,27.96,27.59,27.64,101666
2021-08-05,27.82,27.92,27.63,27.72,183524
2021-08-06,27.77,27.77,27.54,27.63,320800
2021-08-09,27.59,27.59,27.43,27.48,76418
2021-08-10,27.54,27.65,27.38,27.42,163756
2021-08-11,27.65,27.84,27.51,27.83,105186
2021-08-12,27.88,27.89,27.63,27.66,113160
2021-08-13,27.66,27.72,27.56,27.63,78908
2021-08-16,27.55,27.89,27.51,27.82,128626
2021-08-17,27.74,27.8,27.24,27.44,128868
2021-08-18,27.26,27.48,27.09,27.1,125022
2021-08-19,26.97,27.64,26.93,27.54,198280
2021-08-20,27.46,28.03,27.46,27.72,216122
2021-08-23,27.76,28.07,27.7,27.78,81978
2021-08-24,27.72,27.74,27.51,27.54,73060
2021-08-25,27.59,27.82,27.59,27.76,124890
2021-08-26,27.63,27.84,27.41,27.79,119516
2021-08-27,27.95,28.08,27.79,27.83,87396
2021-08-30,27.84,28.19,27.84,28.07,84502
2021-08-31,28.1,28.1,27.85,27.93,102894
2021-09-01,27.92,27.94,27.56,27.73,153636
2021-09-02,27.94,28.13,27.87,28.11,98928
2021-09-03,28.0,28.11,27.82,27.95,125498
2021-09-07,27.93,27.93,26.97,27.01,259554
2021-09-08,26.95,27.07,26.79,26.95,239392
2021-09-09,27.01,27.04,26.58,26.71,197322
2021-09-10,26.9,26.96,26.76,26.77,137142
2021-09-13,27.0,27.03,26.5,26.69,150724
2021-09-14,26.9,26.9,26.39,26.54,169096
2021-09-15,26.55,27.08,26.52,26.88,132648
2021-09-16,26.85,26.93,26.74,26.75,129094
2021-09-17,26.52,26.54,26.4,26.48,108496
2021-09-20,26.12,26.52,26.11,26.45,148600
2021-09-21,26.61,26.61,26.18,26.34,112890
2021-09-22,26.53,26.74,26.44,26.62,162750
2021-09-23,26.59,27.06,26.59,26.93,114710
2021-09-24,26.81,27.13,26.78,27.05,88462
2021-09-27,26.99,27.08,26.69,27.0,163228
2021-09-28,26.94,26.98,26.29,26.35,238098
2021-09-29,26.33,26.57,26.31,26.4,70650
2021-09-30,26.55,26.55,25.79,25.79,165096
2021-10-01,25.84,26.09,25.5,25.83,182080
2021-10-04,25.78,25.95,25.57,25.66,139040
2021-10-05,25.55,25.97,25.5,25.83,97398
2021-10-06,25.6,26.02,25.36,26.02,182466
2021-10-07,26.17,26.71,26.17,26.35,247036
2021-10-08,25.77,26.51,25.75,26.37,508560
2021-10-11,26.3,26.64,26.11,26.11,346942
2021-10-12,26.48,27.28,26.2,26.95,580640
2021-10-13,27.17,27.18,26.75,26.83,416608
2021-10-14,27.08,27.85,26.87,27.82,417842
2021-10-15,27.97,28.05,27.8,27.87,149502
2021-10-18,27.75,27.87,27.6,27.84,186762
2021-10-19,28.05,28.28,27.96,28.14,128886
2021-10-20,28.14,28.27,27.91,28.0,213196
2021-10-21,27.98,28.06,27.81,28.06,82062
2021-10-22,28.18,28.3,28.02,28.03,100130
2021-10-25,28.0,28.32,27.84,28.07,205956
2021-10-26,28.13,28.22,27.98,28.01,118378
2021-10-27,28.09,28.09,27.71,27.8,160032
2021-10-28,27.95,28.12,27.87,28.11,173636
2021-10-29,28.13,28.61,28.1,28.55,208504
2021-11-01,28.58,28.64,28.3,28.39,271034
2021-11-02,28.44,28.8,28.26,28.71,233066
2021-11-03,28.75,28.89,28.44,28.62,165578
2021-11-04,28.72,29.34,28.64,29.27,278570
2021-11-05,29.52,29.78,29.07,29.11,187024
2021-11-08,29.35,29.35,28.97,29.11,138214
2021-11-09,29.19,29.44,29.13,29.42,155022
2021-11-10,29.38,29.64,29.31,29.44,145322
2021-11-11,29.31,29.77,29.21,29.65,286432
2021-11-12,29.76,30.26,29.76,30.13,401304
2021-11-15,30.17,30.34,30.08,30.33,225542
2021-11-16,30.62,30.88,30.56,30.68,181116
2021-11-17,30.68,30.75,30.52,30.62,309698
2021-11-18,30.73,30.78,30.51,30.56,273834
2021-11-19,30.63,30.81,30.45,30.52,215546
2021-11-22,30.68,30.87,30.52,30.54,146006
2021-11-23,30.6,30.6,30.25,30.48,208342
2021-11-24,30.39,30.49,30.16,30.45,169324
2021-11-26,30.17,30.28,29.93,30.08,170498
2021-11-29,30.29,30.6,30.17,30.47,276630
2021-11-30,30.39,30.4,29.57,29.58,279650
2021-12-01,29.98,30.32,29.21,29.23,238388
2021-12-02,29.48,29.96,29.33,29.86,140940
2021-12-03,29.96,30.17,29.76,30.07,219540
2021-12-06,30.32,31.07,30.3,31.02,289642
2021-12-07,31.31,31.85,31.29,31.6,129094
2021-12-08,31.56,31.69,31.11,31.43,192256
2021-12-09,31.48,31.72,31.28,31.41,167756
2021-12-10,31.52,32.09,31.52,32.07,135164
2021-12-13,32.01,32.23,31.81,32.06,295408
2021-12-14,31.85,31.91,31.15,31.52,169064
2021-12-15,31.54,31.9,31.43,31.82,191742
2021-12-16,31.97,31.97,31.6,31.73,101322
2021-12-17,31.67,31.81,30.95,30.98,262728
2021-12-20,30.64,30.79,30.24,30.67,197940
2021-12-21,30.81,30.88,30.52,30.79,101574
2021-12-22,30.85,31.05,30.8,31.02,109578
2021-12-23,31.14,31.41,31.09,31.28,75256
2021-12-27,31.42,31.82,31.36,31.79,119150
2021-12-28,31.8,31.99,31.76,31.93,82582
2021-12-29,31.91,32.29,31.91,32.22,51766
2021-12-30,32.33,32.35,31.86,31.91,85896
2021-12-31,31.95,32.16,31.76,32.04,93834
2022-01-03,31.99,32.05,30.79,31.0,215738
2022-01-04,30.95,31.47,30.94,31.16,167522
2022-01-05,31.23,31.51,30.74,30.77,180424
2022-01-06,30.95,31.18,30.75,30.96,162416
2022-01-07,30.71,30.73,30.3,30.33,187996
2022-01-10,30.08,30.13,29.81,30.09,150126
2022-01-11,30.11,30.16,29.49,30.15,172374
2022-01-12,30.37,30.6,30.09,30.18,219992
2022-01-13,30.34,30.8,30.31,30.39,307576
2022-01-14,30.1,30.15,29.5,29.6,270306
2022-01-18,29.39,29.39,28.89,29.22,264860
2022-01-19,30.52,30.52,28.93,29.03,655366
2022-01-20,29.35,29.35,28.04,28.08,306452
2022-01-21,28.11,28.62,28.04,28.27,431206
2022-01-24,28.2,28.75,27.92,28.75,488494
2022-01-25,28.12,28.19,27.52,27.84,271146
2022-01-26,27.98,28.32,27.34,27.66,322644
2022-01-27,27.88,28.04,27.24,27.42,203846
2022-01-28,27.33,27.93,27.03,27.91,285244
2022-01-31,27.76,28.39,27.7,28.32,270172
2022-02-01,28.27,28.37,27.81,28.25,228236
2022-02-02,28.3,28.68,28.15,28.62,132180
2022-02-03,28.54,28.82,28.09,28.17,191622
2022-02-04,27.95,28.13,27.45,27.47,246428
2022-02-07,27.46,27.54,26.63,26.72,194464
2022-02-08,26.74,26.93,26.62,26.8,90800
2022-02-09,27.18,27.38,27.08,27.26,232898
2022-02-10,26.74,26.94,26.3,26.43,181350
2022-02-11,26.55,26.62,25.76,25.97,188412
2022-02-14,26.06,26.07,25.73,25.96,128598
2022-02-15,26.27,26.31,25.97,26.08,121160
2022-02-16,26.02,26.27,25.75,26.18,131922
2022-02-17,25.99,26.07,25.62,25.64,155476
2022-02-18,25.57,25.81,25.48,25.61,186900
2022-02-22,25.64,25.78,25.2,25.52,211668
2022-02-23,25.57,25.62,24.79,24.81,225170
2022-02-24,24.5,25.27,24.44,25.23,335684
2022-02-25,25.17,25.66,25.12,25.63,177316
2022-02-28,25.46,25.79,25.39,25.74,209214
2022-03-01,25.63,26.02,25.58,25.78,357354
2022-03-02,25.96,26.44,25.88,26.28,266492
2022-03-03,26.53,26.66,26.4,26.58,262756
2022-03-04,26.5,27.1,26.39,26.99,315264
2022-03-07,26.97,27.91,26.84,27.07,412090
2022-03-08,27.22,27.76,27.07,27.09,310878
2022-03-09,27.49,27.54,26.88,27.38,295048
2022-03-10,27.12,27.27,26.86,27.23,144970
2022-03-11,27.45,27.65,26.97,26.98,123134
2022-03-14,27.34,27.54,27.05,27.24,137500
